Sequence   | Mnemonic                 | Expression                     | Instruction                                                  | M16      | M32      | M64      | CpuId      | Id                                                
2424       | VGATHERDPD               | EVEX.256.66.0F38.W1 92 /vsib   | VGATHERDPD ymm1 {k1}, vm32x                                  | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vgatherdpd_ymm_k1_vm32x                      
2425       | VGATHERDPD               | EVEX.512.66.0F38.W1 92 /vsib   | VGATHERDPD zmm1 {k1}, vm32y                                  | Y        | Y        | Y        | AVX512F    | EVEX_Vgatherdpd_zmm_k1_vm32y                      
2426       | VGATHERDPD               | VEX.128.66.0F38.W1 92 /r       | VGATHERDPD xmm1, vm32x, xmm2                                 | Y        | Y        | Y        | AVX2       | VEX_Vgatherdpd_xmm_vm32x_xmm                      
2427       | VGATHERDPD               | VEX.256.66.0F38.W1 92 /r       | VGATHERDPD ymm1, vm32x, ymm2                                 | Y        | Y        | Y        | AVX2       | VEX_Vgatherdpd_ymm_vm32x_ymm                      
2428       | VGATHERDPS               | EVEX.128.66.0F38.W0 92 /vsib   | VGATHERDPS xmm1 {k1}, vm32x                                  | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vgatherdps_xmm_k1_vm32x                      
2429       | VGATHERDPS               | EVEX.256.66.0F38.W0 92 /vsib   | VGATHERDPS ymm1 {k1}, vm32y                                  | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vgatherdps_ymm_k1_vm32y                      
2430       | VGATHERDPS               | EVEX.512.66.0F38.W0 92 /vsib   | VGATHERDPS zmm1 {k1}, vm32z                                  | Y        | Y        | Y        | AVX512F    | EVEX_Vgatherdps_zmm_k1_vm32z                      
2431       | VGATHERDPS               | VEX.128.66.0F38.W0 92 /r       | VGATHERDPS xmm1, vm32x, xmm2                                 | Y        | Y        | Y        | AVX2       | VEX_Vgatherdps_xmm_vm32x_xmm                      
2432       | VGATHERDPS               | VEX.256.66.0F38.W0 92 /r       | VGATHERDPS ymm1, vm32y, ymm2                                 | Y        | Y        | Y        | AVX2       | VEX_Vgatherdps_ymm_vm32y_ymm                      
2433       | VGATHERPF0DPD            | EVEX.512.66.0F38.W1 C6 /1 /vsib | VGATHERPF0DPD vm32y {k1}                                     | Y        | Y        | Y        | AVX512PF   | EVEX_Vgatherpf0dpd_vm32y_k1                       
2434       | VGATHERPF0DPS            | EVEX.512.66.0F38.W0 C6 /1 /vsib | VGATHERPF0DPS vm32z {k1}                                     | Y        | Y        | Y        | AVX512PF   | EVEX_Vgatherpf0dps_vm32z_k1                       
2435       | VGATHERPF0QPD            | EVEX.512.66.0F38.W1 C7 /1 /vsib | VGATHERPF0QPD vm64z {k1}                                     | Y        | Y        | Y        | AVX512PF   | EVEX_Vgatherpf0qpd_vm64z_k1                       
2436       | VGATHERPF0QPS            | EVEX.512.66.0F38.W0 C7 /1 /vsib | VGATHERPF0QPS vm64z {k1}                                     | Y        | Y        | Y        | AVX512PF   | EVEX_Vgatherpf0qps_vm64z_k1                       
2437       | VGATHERPF1DPD            | EVEX.512.66.0F38.W1 C6 /2 /vsib | VGATHERPF1DPD vm32y {k1}                                     | Y        | Y        | Y        | AVX512PF   | EVEX_Vgatherpf1dpd_vm32y_k1                       
2438       | VGATHERPF1DPS            | EVEX.512.66.0F38.W0 C6 /2 /vsib | VGATHERPF1DPS vm32z {k1}                                     | Y        | Y        | Y        | AVX512PF   | EVEX_Vgatherpf1dps_vm32z_k1                       
2439       | VGATHERPF1QPD            | EVEX.512.66.0F38.W1 C7 /2 /vsib | VGATHERPF1QPD vm64z {k1}                                     | Y        | Y        | Y        | AVX512PF   | EVEX_Vgatherpf1qpd_vm64z_k1                       
2440       | VGATHERPF1QPS            | EVEX.512.66.0F38.W0 C7 /2 /vsib | VGATHERPF1QPS vm64z {k1}                                     | Y        | Y        | Y        | AVX512PF   | EVEX_Vgatherpf1qps_vm64z_k1                       
2441       | VGATHERQPD               | EVEX.128.66.0F38.W1 93 /vsib   | VGATHERQPD xmm1 {k1}, vm64x                                  | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vgatherqpd_xmm_k1_vm64x                      
2442       | VGATHERQPD               | EVEX.256.66.0F38.W1 93 /vsib   | VGATHERQPD ymm1 {k1}, vm64y                                  | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vgatherqpd_ymm_k1_vm64y                      
2443       | VGATHERQPD               | EVEX.512.66.0F38.W1 93 /vsib   | VGATHERQPD zmm1 {k1}, vm64z                                  | Y        | Y        | Y        | AVX512F    | EVEX_Vgatherqpd_zmm_k1_vm64z                      
2444       | VGATHERQPD               | VEX.128.66.0F38.W1 93 /r       | VGATHERQPD xmm1, vm64x, xmm2                                 | Y        | Y        | Y        | AVX2       | VEX_Vgatherqpd_xmm_vm64x_xmm                      
2445       | VGATHERQPD               | VEX.256.66.0F38.W1 93 /r       | VGATHERQPD ymm1, vm64y, ymm2                                 | Y        | Y        | Y        | AVX2       | VEX_Vgatherqpd_ymm_vm64y_ymm                      
2446       | VGATHERQPS               | EVEX.128.66.0F38.W0 93 /vsib   | VGATHERQPS xmm1 {k1}, vm64x                                  | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vgatherqps_xmm_k1_vm64x                      
2447       | VGATHERQPS               | EVEX.256.66.0F38.W0 93 /vsib   | VGATHERQPS xmm1 {k1}, vm64y                                  | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vgatherqps_xmm_k1_vm64y                      
2448       | VGATHERQPS               | EVEX.512.66.0F38.W0 93 /vsib   | VGATHERQPS ymm1 {k1}, vm64z                                  | Y        | Y        | Y        | AVX512F    | EVEX_Vgatherqps_ymm_k1_vm64z                      
2449       | VGATHERQPS               | VEX.128.66.0F38.W0 93 /r       | VGATHERQPS xmm1, vm64x, xmm2                                 | Y        | Y        | Y        | AVX2       | VEX_Vgatherqps_xmm_vm64x_xmm                      
2450       | VGATHERQPS               | VEX.256.66.0F38.W0 93 /r       | VGATHERQPS xmm1, vm64y, xmm2                                 | Y        | Y        | Y        | AVX2       | VEX_Vgatherqps_xmm_vm64y_xmm                      
2451       | VGETEXPPD                | EVEX.128.66.0F38.W1 42 /r      | VGETEXPPD xmm1 {k1}{z}, xmm2/m128/m64bcst                    | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vgetexppd_xmm_k1z_xmmm128b64                 
2452       | VGETEXPPD                | EVEX.256.66.0F38.W1 42 /r      | VGETEXPPD ymm1 {k1}{z}, ymm2/m256/m64bcst                    | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vgetexppd_ymm_k1z_ymmm256b64                 
2453       | VGETEXPPD                | EVEX.512.66.0F38.W1 42 /r      | VGETEXPPD zmm1 {k1}{z}, zmm2/m512/m64bcst{sae}               | Y        | Y        | Y        | AVX512F    | EVEX_Vgetexppd_zmm_k1z_zmmm512b64_sae             
2454       | VGETEXPPS                | EVEX.128.66.0F38.W0 42 /r      | VGETEXPPS xmm1 {k1}{z}, xmm2/m128/m32bcst                    | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vgetexpps_xmm_k1z_xmmm128b32                 
2455       | VGETEXPPS                | EVEX.256.66.0F38.W0 42 /r      | VGETEXPPS ymm1 {k1}{z}, ymm2/m256/m32bcst                    | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vgetexpps_ymm_k1z_ymmm256b32                 
2456       | VGETEXPPS                | EVEX.512.66.0F38.W0 42 /r      | VGETEXPPS zmm1 {k1}{z}, zmm2/m512/m32bcst{sae}               | Y        | Y        | Y        | AVX512F    | EVEX_Vgetexpps_zmm_k1z_zmmm512b32_sae             
2457       | VGETEXPSD                | EVEX.LIG.66.0F38.W1 43 /r      | VGETEXPSD xmm1 {k1}{z}, xmm2, xmm3/m64{sae}                  | Y        | Y        | Y        | AVX512F    | EVEX_Vgetexpsd_xmm_k1z_xmm_xmmm64_sae             
2458       | VGETEXPSS                | EVEX.LIG.66.0F38.W0 43 /r      | VGETEXPSS xmm1 {k1}{z}, xmm2, xmm3/m32{sae}                  | Y        | Y        | Y        | AVX512F    | EVEX_Vgetexpss_xmm_k1z_xmm_xmmm32_sae             
2459       | VGETMANTPD               | EVEX.128.66.0F3A.W1 26 /r ib   | VGETMANTPD xmm1 {k1}{z}, xmm2/m128/m64bcst, imm8             | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vgetmantpd_xmm_k1z_xmmm128b64_imm8           
2460       | VGETMANTPD               | EVEX.256.66.0F3A.W1 26 /r ib   | VGETMANTPD ymm1 {k1}{z}, ymm2/m256/m64bcst, imm8             | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vgetmantpd_ymm_k1z_ymmm256b64_imm8           
2461       | VGETMANTPD               | EVEX.512.66.0F3A.W1 26 /r ib   | VGETMANTPD zmm1 {k1}{z}, zmm2/m512/m64bcst{sae}, imm8        | Y        | Y        | Y        | AVX512F    | EVEX_Vgetmantpd_zmm_k1z_zmmm512b64_imm8_sae       
2462       | VGETMANTPS               | EVEX.128.66.0F3A.W0 26 /r ib   | VGETMANTPS xmm1 {k1}{z}, xmm2/m128/m32bcst, imm8             | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vgetmantps_xmm_k1z_xmmm128b32_imm8           
2463       | VGETMANTPS               | EVEX.256.66.0F3A.W0 26 /r ib   | VGETMANTPS ymm1 {k1}{z}, ymm2/m256/m32bcst, imm8             | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vgetmantps_ymm_k1z_ymmm256b32_imm8           
2464       | VGETMANTPS               | EVEX.512.66.0F3A.W0 26 /r ib   | VGETMANTPS zmm1 {k1}{z}, zmm2/m512/m32bcst{sae}, imm8        | Y        | Y        | Y        | AVX512F    | EVEX_Vgetmantps_zmm_k1z_zmmm512b32_imm8_sae       
2465       | VGETMANTSD               | EVEX.LIG.66.0F3A.W1 27 /r ib   | VGETMANTSD xmm1 {k1}{z}, xmm2, xmm3/m64{sae}, imm8           | Y        | Y        | Y        | AVX512F    | EVEX_Vgetmantsd_xmm_k1z_xmm_xmmm64_imm8_sae       
2466       | VGETMANTSS               | EVEX.LIG.66.0F3A.W0 27 /r ib   | VGETMANTSS xmm1 {k1}{z}, xmm2, xmm3/m32{sae}, imm8           | Y        | Y        | Y        | AVX512F    | EVEX_Vgetmantss_xmm_k1z_xmm_xmmm32_imm8_sae       
2467       | VGF2P8AFFINEINVQB        | EVEX.128.66.0F3A.W1 CF /r ib   | VGF2P8AFFINEINVQB xmm1 {k1}{z}, xmm2, xmm3/m128/m64bcst, imm8 | Y        | Y        | Y        | AVX512VL and GFNI | EVEX_Vgf2p8affineinvqb_xmm_k1z_xmm_xmmm128b64_imm8
2468       | VGF2P8AFFINEINVQB        | EVEX.256.66.0F3A.W1 CF /r ib   | VGF2P8AFFINEINVQB ymm1 {k1}{z}, ymm2, ymm3/m256/m64bcst, imm8 | Y        | Y        | Y        | AVX512VL and GFNI | EVEX_Vgf2p8affineinvqb_ymm_k1z_ymm_ymmm256b64_imm8
2469       | VGF2P8AFFINEINVQB        | EVEX.512.66.0F3A.W1 CF /r ib   | VGF2P8AFFINEINVQB zmm1 {k1}{z}, zmm2, zmm3/m512/m64bcst, imm8 | Y        | Y        | Y        | AVX512F and GFNI | EVEX_Vgf2p8affineinvqb_zmm_k1z_zmm_zmmm512b64_imm8
2470       | VGF2P8AFFINEINVQB        | VEX.128.66.0F3A.W1 CF /r ib    | VGF2P8AFFINEINVQB xmm1, xmm2, xmm3/m128, imm8                | Y        | Y        | Y        | AVX and GFNI | VEX_Vgf2p8affineinvqb_xmm_xmm_xmmm128_imm8        
2471       | VGF2P8AFFINEINVQB        | VEX.256.66.0F3A.W1 CF /r ib    | VGF2P8AFFINEINVQB ymm1, ymm2, ymm3/m256, imm8                | Y        | Y        | Y        | AVX and GFNI | VEX_Vgf2p8affineinvqb_ymm_ymm_ymmm256_imm8        
2472       | VGF2P8AFFINEQB           | EVEX.128.66.0F3A.W1 CE /r ib   | VGF2P8AFFINEQB xmm1 {k1}{z}, xmm2, xmm3/m128/m64bcst, imm8   | Y        | Y        | Y        | AVX512VL and GFNI | EVEX_Vgf2p8affineqb_xmm_k1z_xmm_xmmm128b64_imm8   
2473       | VGF2P8AFFINEQB           | EVEX.256.66.0F3A.W1 CE /r ib   | VGF2P8AFFINEQB ymm1 {k1}{z}, ymm2, ymm3/m256/m64bcst, imm8   | Y        | Y        | Y        | AVX512VL and GFNI | EVEX_Vgf2p8affineqb_ymm_k1z_ymm_ymmm256b64_imm8   
2474       | VGF2P8AFFINEQB           | EVEX.512.66.0F3A.W1 CE /r ib   | VGF2P8AFFINEQB zmm1 {k1}{z}, zmm2, zmm3/m512/m64bcst, imm8   | Y        | Y        | Y        | AVX512F and GFNI | EVEX_Vgf2p8affineqb_zmm_k1z_zmm_zmmm512b64_imm8   
2475       | VGF2P8AFFINEQB           | VEX.128.66.0F3A.W1 CE /r ib    | VGF2P8AFFINEQB xmm1, xmm2, xmm3/m128, imm8                   | Y        | Y        | Y        | AVX and GFNI | VEX_Vgf2p8affineqb_xmm_xmm_xmmm128_imm8           
2476       | VGF2P8AFFINEQB           | VEX.256.66.0F3A.W1 CE /r ib    | VGF2P8AFFINEQB ymm1, ymm2, ymm3/m256, imm8                   | Y        | Y        | Y        | AVX and GFNI | VEX_Vgf2p8affineqb_ymm_ymm_ymmm256_imm8           
2477       | VGF2P8MULB               | EVEX.128.66.0F38.W0 CF /r      | VGF2P8MULB xmm1 {k1}{z}, xmm2, xmm3/m128                     | Y        | Y        | Y        | AVX512VL and GFNI | EVEX_Vgf2p8mulb_xmm_k1z_xmm_xmmm128               
2478       | VGF2P8MULB               | EVEX.256.66.0F38.W0 CF /r      | VGF2P8MULB ymm1 {k1}{z}, ymm2, ymm3/m256                     | Y        | Y        | Y        | AVX512VL and GFNI | EVEX_Vgf2p8mulb_ymm_k1z_ymm_ymmm256               
2479       | VGF2P8MULB               | EVEX.512.66.0F38.W0 CF /r      | VGF2P8MULB zmm1 {k1}{z}, zmm2, zmm3/m512                     | Y        | Y        | Y        | AVX512F and GFNI | EVEX_Vgf2p8mulb_zmm_k1z_zmm_zmmm512               
2480       | VGF2P8MULB               | VEX.128.66.0F38.W0 CF /r       | VGF2P8MULB xmm1, xmm2, xmm3/m128                             | Y        | Y        | Y        | AVX and GFNI | VEX_Vgf2p8mulb_xmm_xmm_xmmm128                    
2481       | VGF2P8MULB               | VEX.256.66.0F38.W0 CF /r       | VGF2P8MULB ymm1, ymm2, ymm3/m256                             | Y        | Y        | Y        | AVX and GFNI | VEX_Vgf2p8mulb_ymm_ymm_ymmm256                    
2482       | VHADDPD                  | VEX.128.66.0F.WIG 7C /r        | VHADDPD xmm1, xmm2, xmm3/m128                                | Y        | Y        | Y        | AVX        | VEX_Vhaddpd_xmm_xmm_xmmm128                       
2483       | VHADDPD                  | VEX.256.66.0F.WIG 7C /r        | VHADDPD ymm1, ymm2, ymm3/m256                                | Y        | Y        | Y        | AVX        | VEX_Vhaddpd_ymm_ymm_ymmm256                       
2484       | VHADDPS                  | VEX.128.F2.0F.WIG 7C /r        | VHADDPS xmm1, xmm2, xmm3/m128                                | Y        | Y        | Y        | AVX        | VEX_Vhaddps_xmm_xmm_xmmm128                       
2485       | VHADDPS                  | VEX.256.F2.0F.WIG 7C /r        | VHADDPS ymm1, ymm2, ymm3/m256                                | Y        | Y        | Y        | AVX        | VEX_Vhaddps_ymm_ymm_ymmm256                       
2486       | VHSUBPD                  | VEX.128.66.0F.WIG 7D /r        | VHSUBPD xmm1, xmm2, xmm3/m128                                | Y        | Y        | Y        | AVX        | VEX_Vhsubpd_xmm_xmm_xmmm128                       
2487       | VHSUBPD                  | VEX.256.66.0F.WIG 7D /r        | VHSUBPD ymm1, ymm2, ymm3/m256                                | Y        | Y        | Y        | AVX        | VEX_Vhsubpd_ymm_ymm_ymmm256                       
2488       | VHSUBPS                  | VEX.128.F2.0F.WIG 7D /r        | VHSUBPS xmm1, xmm2, xmm3/m128                                | Y        | Y        | Y        | AVX        | VEX_Vhsubps_xmm_xmm_xmmm128                       
2489       | VHSUBPS                  | VEX.256.F2.0F.WIG 7D /r        | VHSUBPS ymm1, ymm2, ymm3/m256                                | Y        | Y        | Y        | AVX        | VEX_Vhsubps_ymm_ymm_ymmm256                       
2490       | VINSERTF128              | VEX.256.66.0F3A.W0 18 /r ib    | VINSERTF128 ymm1, ymm2, xmm3/m128, imm8                      | Y        | Y        | Y        | AVX        | VEX_Vinsertf128_ymm_ymm_xmmm128_imm8              
2491       | VINSERTF32X4             | EVEX.256.66.0F3A.W0 18 /r ib   | VINSERTF32X4 ymm1 {k1}{z}, ymm2, xmm3/m128, imm8             | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vinsertf32x4_ymm_k1z_ymm_xmmm128_imm8        
2492       | VINSERTF32X4             | EVEX.512.66.0F3A.W0 18 /r ib   | VINSERTF32X4 zmm1 {k1}{z}, zmm2, xmm3/m128, imm8             | Y        | Y        | Y        | AVX512F    | EVEX_Vinsertf32x4_zmm_k1z_zmm_xmmm128_imm8        
2493       | VINSERTF32X8             | EVEX.512.66.0F3A.W0 1A /r ib   | VINSERTF32X8 zmm1 {k1}{z}, zmm2, ymm3/m256, imm8             | Y        | Y        | Y        | AVX512DQ   | EVEX_Vinsertf32x8_zmm_k1z_zmm_ymmm256_imm8        
2494       | VINSERTF64X2             | EVEX.256.66.0F3A.W1 18 /r ib   | VINSERTF64X2 ymm1 {k1}{z}, ymm2, xmm3/m128, imm8             | Y        | Y        | Y        | AVX512VL and AVX512DQ | EVEX_Vinsertf64x2_ymm_k1z_ymm_xmmm128_imm8        
2495       | VINSERTF64X2             | EVEX.512.66.0F3A.W1 18 /r ib   | VINSERTF64X2 zmm1 {k1}{z}, zmm2, xmm3/m128, imm8             | Y        | Y        | Y        | AVX512DQ   | EVEX_Vinsertf64x2_zmm_k1z_zmm_xmmm128_imm8        
2496       | VINSERTF64X4             | EVEX.512.66.0F3A.W1 1A /r ib   | VINSERTF64X4 zmm1 {k1}{z}, zmm2, ymm3/m256, imm8             | Y        | Y        | Y        | AVX512F    | EVEX_Vinsertf64x4_zmm_k1z_zmm_ymmm256_imm8        
2497       | VINSERTI128              | VEX.256.66.0F3A.W0 38 /r ib    | VINSERTI128 ymm1, ymm2, xmm3/m128, imm8                      | Y        | Y        | Y        | AVX        | VEX_Vinserti128_ymm_ymm_xmmm128_imm8              
2498       | VINSERTI32X4             | EVEX.256.66.0F3A.W0 38 /r ib   | VINSERTI32X4 ymm1 {k1}{z}, ymm2, xmm3/m128, imm8             | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vinserti32x4_ymm_k1z_ymm_xmmm128_imm8        
2499       | VINSERTI32X4             | EVEX.512.66.0F3A.W0 38 /r ib   | VINSERTI32X4 zmm1 {k1}{z}, zmm2, xmm3/m128, imm8             | Y        | Y        | Y        | AVX512F    | EVEX_Vinserti32x4_zmm_k1z_zmm_xmmm128_imm8        
2500       | VINSERTI32X8             | EVEX.512.66.0F3A.W0 3A /r ib   | VINSERTI32X8 zmm1 {k1}{z}, zmm2, ymm3/m256, imm8             | Y        | Y        | Y        | AVX512DQ   | EVEX_Vinserti32x8_zmm_k1z_zmm_ymmm256_imm8        
2501       | VINSERTI64X2             | EVEX.256.66.0F3A.W1 38 /r ib   | VINSERTI64X2 ymm1 {k1}{z}, ymm2, xmm3/m128, imm8             | Y        | Y        | Y        | AVX512VL and AVX512DQ | EVEX_Vinserti64x2_ymm_k1z_ymm_xmmm128_imm8        
2502       | VINSERTI64X2             | EVEX.512.66.0F3A.W1 38 /r ib   | VINSERTI64X2 zmm1 {k1}{z}, zmm2, xmm3/m128, imm8             | Y        | Y        | Y        | AVX512DQ   | EVEX_Vinserti64x2_zmm_k1z_zmm_xmmm128_imm8        
2503       | VINSERTI64X4             | EVEX.512.66.0F3A.W1 3A /r ib   | VINSERTI64X4 zmm1 {k1}{z}, zmm2, ymm3/m256, imm8             | Y        | Y        | Y        | AVX512F    | EVEX_Vinserti64x4_zmm_k1z_zmm_ymmm256_imm8        
2504       | VINSERTPS                | EVEX.128.66.0F3A.W0 21 /r ib   | VINSERTPS xmm1, xmm2, xmm3/m32, imm8                         | Y        | Y        | Y        | AVX512F    | EVEX_Vinsertps_xmm_xmm_xmmm32_imm8                
2505       | VINSERTPS                | VEX.128.66.0F3A.WIG 21 /r ib   | VINSERTPS xmm1, xmm2, xmm3/m32, imm8                         | Y        | Y        | Y        | AVX        | VEX_Vinsertps_xmm_xmm_xmmm32_imm8                 
2506       | VLDDQU                   | VEX.128.F2.0F.WIG F0 /r        | VLDDQU xmm1, m128                                            | Y        | Y        | Y        | AVX        | VEX_Vlddqu_xmm_m128                               
2507       | VLDDQU                   | VEX.256.F2.0F.WIG F0 /r        | VLDDQU ymm1, m256                                            | Y        | Y        | Y        | AVX        | VEX_Vlddqu_ymm_m256                               
2508       | VLDMXCSR                 | VEX.LZ.0F.WIG AE /2            | VLDMXCSR m32                                                 | Y        | Y        | Y        | AVX        | VEX_Vldmxcsr_m32                                  
2509       | VMASKMOVDQU              | VEX.128.66.0F.WIG F7 /r        | VMASKMOVDQU xmm1, xmm2                                       | Y        | Y        | Y        | AVX        | VEX_Vmaskmovdqu_rDI_xmm_xmm                       
2510       | VMASKMOVPD               | VEX.128.66.0F38.W0 2D /r       | VMASKMOVPD xmm1, xmm2, m128                                  | Y        | Y        | Y        | AVX        | VEX_Vmaskmovpd_xmm_xmm_m128                       
2511       | VMASKMOVPD               | VEX.128.66.0F38.W0 2F /r       | VMASKMOVPD m128, xmm1, xmm2                                  | Y        | Y        | Y        | AVX        | VEX_Vmaskmovpd_m128_xmm_xmm                       
2512       | VMASKMOVPD               | VEX.256.66.0F38.W0 2D /r       | VMASKMOVPD ymm1, ymm2, m256                                  | Y        | Y        | Y        | AVX        | VEX_Vmaskmovpd_ymm_ymm_m256                       
2513       | VMASKMOVPD               | VEX.256.66.0F38.W0 2F /r       | VMASKMOVPD m256, ymm1, ymm2                                  | Y        | Y        | Y        | AVX        | VEX_Vmaskmovpd_m256_ymm_ymm                       
2514       | VMASKMOVPS               | VEX.128.66.0F38.W0 2C /r       | VMASKMOVPS xmm1, xmm2, m128                                  | Y        | Y        | Y        | AVX        | VEX_Vmaskmovps_xmm_xmm_m128                       
2515       | VMASKMOVPS               | VEX.128.66.0F38.W0 2E /r       | VMASKMOVPS m128, xmm1, xmm2                                  | Y        | Y        | Y        | AVX        | VEX_Vmaskmovps_m128_xmm_xmm                       
2516       | VMASKMOVPS               | VEX.256.66.0F38.W0 2C /r       | VMASKMOVPS ymm1, ymm2, m256                                  | Y        | Y        | Y        | AVX        | VEX_Vmaskmovps_ymm_ymm_m256                       
2517       | VMASKMOVPS               | VEX.256.66.0F38.W0 2E /r       | VMASKMOVPS m256, ymm1, ymm2                                  | Y        | Y        | Y        | AVX        | VEX_Vmaskmovps_m256_ymm_ymm                       
2518       | VMAXPD                   | EVEX.128.66.0F.W1 5F /r        | VMAXPD xmm1 {k1}{z}, xmm2, xmm3/m128/m64bcst                 | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vmaxpd_xmm_k1z_xmm_xmmm128b64                
2519       | VMAXPD                   | EVEX.256.66.0F.W1 5F /r        | VMAXPD ymm1 {k1}{z}, ymm2, ymm3/m256/m64bcst                 | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vmaxpd_ymm_k1z_ymm_ymmm256b64                
2520       | VMAXPD                   | EVEX.512.66.0F.W1 5F /r        | VMAXPD zmm1 {k1}{z}, zmm2, zmm3/m512/m64bcst{sae}            | Y        | Y        | Y        | AVX512F    | EVEX_Vmaxpd_zmm_k1z_zmm_zmmm512b64_sae            
2521       | VMAXPD                   | VEX.128.66.0F.WIG 5F /r        | VMAXPD xmm1, xmm2, xmm3/m128                                 | Y        | Y        | Y        | AVX        | VEX_Vmaxpd_xmm_xmm_xmmm128                        
2522       | VMAXPD                   | VEX.256.66.0F.WIG 5F /r        | VMAXPD ymm1, ymm2, ymm3/m256                                 | Y        | Y        | Y        | AVX        | VEX_Vmaxpd_ymm_ymm_ymmm256                        
2523       | VMAXPS                   | EVEX.128.0F.W0 5F /r           | VMAXPS xmm1 {k1}{z}, xmm2, xmm3/m128/m32bcst                 | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vmaxps_xmm_k1z_xmm_xmmm128b32                
2524       | VMAXPS                   | EVEX.256.0F.W0 5F /r           | VMAXPS ymm1 {k1}{z}, ymm2, ymm3/m256/m32bcst                 | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vmaxps_ymm_k1z_ymm_ymmm256b32                
2525       | VMAXPS                   | EVEX.512.0F.W0 5F /r           | VMAXPS zmm1 {k1}{z}, zmm2, zmm3/m512/m32bcst{sae}            | Y        | Y        | Y        | AVX512F    | EVEX_Vmaxps_zmm_k1z_zmm_zmmm512b32_sae            
2526       | VMAXPS                   | VEX.128.0F.WIG 5F /r           | VMAXPS xmm1, xmm2, xmm3/m128                                 | Y        | Y        | Y        | AVX        | VEX_Vmaxps_xmm_xmm_xmmm128                        
2527       | VMAXPS                   | VEX.256.0F.WIG 5F /r           | VMAXPS ymm1, ymm2, ymm3/m256                                 | Y        | Y        | Y        | AVX        | VEX_Vmaxps_ymm_ymm_ymmm256                        
2528       | VMAXSD                   | EVEX.LIG.F2.0F.W1 5F /r        | VMAXSD xmm1 {k1}{z}, xmm2, xmm3/m64{sae}                     | Y        | Y        | Y        | AVX512F    | EVEX_Vmaxsd_xmm_k1z_xmm_xmmm64_sae                
2529       | VMAXSD                   | VEX.LIG.F2.0F.WIG 5F /r        | VMAXSD xmm1, xmm2, xmm3/m64                                  | Y        | Y        | Y        | AVX        | VEX_Vmaxsd_xmm_xmm_xmmm64                         
2530       | VMAXSS                   | EVEX.LIG.F3.0F.W0 5F /r        | VMAXSS xmm1 {k1}{z}, xmm2, xmm3/m32{sae}                     | Y        | Y        | Y        | AVX512F    | EVEX_Vmaxss_xmm_k1z_xmm_xmmm32_sae                
2531       | VMAXSS                   | VEX.LIG.F3.0F.WIG 5F /r        | VMAXSS xmm1, xmm2, xmm3/m32                                  | Y        | Y        | Y        | AVX        | VEX_Vmaxss_xmm_xmm_xmmm32                         
2532       | VMCALL                   | NP 0F 01 C1                    | VMCALL                                                       | Y        | Y        | Y        | VMX        | Vmcall                                            
2533       | VMCLEAR                  | 66 0F C7 /6                    | VMCLEAR m64                                                  | Y        | Y        | Y        | VMX        | Vmclear_m64                                       
2534       | VMFUNC                   | NP 0F 01 D4                    | VMFUNC                                                       | Y        | Y        | Y        | VMX        | Vmfunc                                            
2535       | VMINPD                   | EVEX.128.66.0F.W1 5D /r        | VMINPD xmm1 {k1}{z}, xmm2, xmm3/m128/m64bcst                 | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vminpd_xmm_k1z_xmm_xmmm128b64                
2536       | VMINPD                   | EVEX.256.66.0F.W1 5D /r        | VMINPD ymm1 {k1}{z}, ymm2, ymm3/m256/m64bcst                 | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vminpd_ymm_k1z_ymm_ymmm256b64                
2537       | VMINPD                   | EVEX.512.66.0F.W1 5D /r        | VMINPD zmm1 {k1}{z}, zmm2, zmm3/m512/m64bcst{sae}            | Y        | Y        | Y        | AVX512F    | EVEX_Vminpd_zmm_k1z_zmm_zmmm512b64_sae            
2538       | VMINPD                   | VEX.128.66.0F.WIG 5D /r        | VMINPD xmm1, xmm2, xmm3/m128                                 | Y        | Y        | Y        | AVX        | VEX_Vminpd_xmm_xmm_xmmm128                        
