Type        | Z0.IAddressable                                                       | Characterizes an address-identified target
Method      | Z0.ArraySpan.skip16``1(Z0.ArraySpan{``0}@,System.Int32)               | Advances a data source reference to a cell-relative offset and presents the offset cell             reference as a readonly reference to a 16-bit unsigned integer
Method      | Z0.ArraySpan.skip32``1(Z0.ArraySpan{``0}@,System.Int32)               | Advances a data source reference to a cell-relative offset and presents the offset cell             reference as a readonly reference to a 32-bit unsigned integer
Method      | Z0.ArraySpan.skipk64``1(Z0.ArraySpan{``0}@,System.Int32)              | Advances a data source reference to a cell-relative offset and presents the offset cell             reference as a readonly reference to a 32-bit unsigned integer
Type        | Z0.ArraySpan`1                                                        | An array that works like a span, more-or-less
Type        | Z0.BinaryLiteral                                                      | Defines a base2 literal via text and a boxed value; for the literal to be valid,            the text, when parsed, must yield a value equivalent to the boxed value
Property    | Z0.BinaryLiteral.Name                                                 | The literal name
Property    | Z0.BinaryLiteral.Data                                                 | The literal value
Property    | Z0.BinaryLiteral.Text                                                 | Text that represents the boxed value
Type        | Z0.MetadataToken                                                      | Identifies a metadata element along with the declaring module
Type        | Z0.TheEmpty                                                           | Represents the nothingness of the void
Property    | Z0.TheEmpty.The                                                       | The only one
Type        | Z0.TheEmpty`1                                                         | Represents the nothingness of the parametric void
Method      | Z0.TheEmpty`1.The(`0)                                                 | The only parametric one
Method      | Z0.IPartIndexBuilder.Build                                            | Computes the known parts, which excludes those that aren't known, whether they are known unknowables,             unknown unknowables, outside our search scope or simply missing because of an errant build             process, a random file deletion algorithm rampaging throgh the environs 'digitale, or any             unforseen for forseen reason.
Type        | Z0.ITargetPart`2                                                      | Characterizes a directed dependency d:S -&gt; T from a client s:S to a suppler t:T
Property    | Z0.KnownParts.SearchLocation                                          | The location of potentially knowable parts
Property    | Z0.KnownParts.External                                                | External dependencies that don' participate in the componentization framework
Method      | Z0.PartIdParser.WhereSome``1(``0[])                                   | Filters zero-valued elements from the source array
Method      | Z0.PartIdParser.parse``1(System.String)                               | Attempts o parse an enum literal, ignoring case, and returns a null value if parsing failed
Property    | Z0.PartIndexBuilder.Service                                           | Creates the builder, not the index
Method      | Z0.PartIndexBuilder.Build                                             | Creates an index over the known parts
Method      | Z0.PartResolver.Resolve(Z0.FilePath)                                  | Attempts to resolve a part from an assembly file path
Method      | Z0.PartResolver.LoadAssembly(Z0.FilePath)                             | Loads an assembly from a potential part path
Method      | Z0.PartResolver.resolve(System.Reflection.Assembly)                   | Attempts to resolve a part resolution type
Method      | Z0.PartResolver.resolve(System.Type)                                  | Attempts to resolve a part resolution property
Method      | Z0.PartResolver.resolve(System.Reflection.PropertyInfo)               | Attempts to resolve a part from a resolution property
Method      | Z0.PermLiterals.test(Z0.Perm4L)                                       | Determines whether a permutation literal is a symbol
Method      | Z0.PermLiterals.test(Z0.Perm8L)                                       | Determines whether a permutation literal is a symbol
Method      | Z0.PermLiterals.test(Z0.Perm16L)                                      | Determines whether a permutation literal is a symbol
Field       | Z0.TabularWidths.Sequence                                             | The width of a sequence number field
Field       | Z0.TabularWidths.Identifier                                           | The width of a programmatic identifier field
Field       | Z0.TabularWidths.Description                                          | The width of a field that contains summary descriptive information
Field       | Z0.TabularWidths.Count                                                | The width of a count field
Field       | Z0.TabularWidths.Bool                                                 | The width of a boolean field with a concise header
Field       | Z0.TabularWidths.BoolLarge                                            | The width of a boolean field with a not-so-concise header
Field       | Z0.TabularWidths.Num8Dec                                              | The width of a field containing an 8-bit decimal number
Field       | Z0.TabularWidths.Num8Hex                                              | The width of a field containing an 8-bit hex number
Field       | Z0.TabularWidths.Num16Dec                                             | The width of a field containing an 8-bit decimal number
Field       | Z0.TabularWidths.Num16Hex                                             | The width of a field containing an 8-bit hex number
Field       | Z0.TabularWidths.Num32Dec                                             | The width of a field containing an 8-bit decimal number
Field       | Z0.TabularWidths.Num32Hex                                             | The width of a field containing an 8-bit hex number
Field       | Z0.TabularWidths.Num64Dec                                             | The width of a field containing an 8-bit decimal number
Field       | Z0.TabularWidths.Num64Hex                                             | The width of a field containing an 8-bit hex number
Type        | Z0.RecordHeader`1                                                     | Defines enum-predicated header content
Method      | Z0.RecordHeader`1.Render(System.Func{System.Int32,`0,System.String},System.Char)| Formates a header row using a caller-supplied label producer
Type        | Z0.TextCell                                                           | Defines a text segment in the context of a line in a file
Field       | Z0.TextFormat.RowSeparator                                            | Specifies leading content that identifies a non-semantic row division marker
Field       | Z0.TextFormat.HasDataHeader                                           | Indicates whether the first line of the data is a header row
Field       | Z0.TextFormat.IsDelimited                                             | Specifes whether the file contains regular delimited contetn
Field       | Z0.TextFormat.Delimiter                                               | The character used to delimit parts of a line, if delimited
Field       | Z0.TextFormat.CommentPrefix                                           | If specified, indicates the character that begins a comment
Field       | Z0.TextFormat.ColWidth                                                | If specified, defines a uniform column width
Type        | Z0.TextHeader                                                         | Defines header content in a text data file
Type        | Z0.TextLine                                                           | Represents a line of text in the context of a line-oriented text data source
Property    | Z0.TextLine.LineNumber                                                | The line number of the data source from which the line was extracted
Property    | Z0.TextLine.LineText                                                  | The line text, as it was found in the source
Type        | Z0.TextRow                                                            | Defines a row of text parttioned into a sequence of cells
Method      | Z0.TextRow.Format(System.Nullable{System.Char})                       | Joins the enclosed cells to produce a line of text
Type        | Z0.LiteralFieldId                                                     | Defines the fields into which a literal table is partitioned
Field       | Z0.LiteralFieldId.TypeName                                            | The defining type, such as an enum or a type that declares constant fields
Field       | Z0.LiteralFieldId.Index                                               | The declaration order of the literal relative to other literals in the same dataset
Field       | Z0.LiteralFieldId.Name                                                | The literal name
Field       | Z0.LiteralFieldId.Hex                                                 | The literal's value in base-16
Field       | Z0.LiteralFieldId.BitString                                           | The literal's bitstring representation
Field       | Z0.LiteralFieldId.Description                                         | A description of the literal if it exist
Field       | Z0.LiteralFieldWidth.TypeName                                         | The defining type, such as an enum or a type that declares constant fields
Field       | Z0.LiteralFieldWidth.Index                                            | The declaration order of the literal relative to other literals in the same dataset
Field       | Z0.LiteralFieldWidth.Name                                             | The literal name
Field       | Z0.LiteralFieldWidth.Hex                                              | The literal's value in base-16
Field       | Z0.LiteralFieldWidth.BitString                                        | The literal's bitstring representation
Field       | Z0.LiteralFieldWidth.Description                                      | A description of the literal if it exist
Type        | Z0.LiteralTableField                                                  | Defines the fields into which a literal table is partitioned
Field       | Z0.LiteralTableField.TypeName                                         | The defining type, such as an enum or a type that declares constant fields
Field       | Z0.LiteralTableField.Index                                            | The declaration order of the literal relative to other literals in the same dataset
Field       | Z0.LiteralTableField.Name                                             | The literal name
Field       | Z0.LiteralTableField.Hex                                              | The literal's value in base-16
Field       | Z0.LiteralTableField.BitString                                        | The literal's bitstring representation
Field       | Z0.LiteralTableField.Description                                      | A description of the literal if it exist
Type        | Z0.TabularField`1                                                     | Specifies salient characteristics of a tabular field predicated            on an enumeration value
Field       | Z0.TabularField`1.Specifier                                           | The field specifier
Field       | Z0.TabularField`1.Name                                                | The field name
Field       | Z0.TabularField`1.Index                                               | The 0-based field index
Field       | Z0.TabularField`1.Width                                               | The field width
Field       | Z0.TabularFormat.Fields                                               | The field specifications
Field       | Z0.TabularFormat.Headers                                              | The column header names
Field       | Z0.TabularFormat.Delimiter                                            | The default field delimiter
Field       | Z0.TabularFormat.EmitHeader                                           | Whether to produce a header when formatting a collection
Field       | Z0.TabularFormat.FieldCount                                           | The number of fields accounted for
Method      | Z0.TabularFormat.Format                                               | Formats the format specification, not the object being specified
Field       | Z0.TabularFormat`1.Fields                                             | The field specifications
Field       | Z0.TabularFormat`1.Headers                                            | The column header names
Method      | Z0.TabularFormat`1.Format                                             | Formats the format specification, not the object being specified
Type        | Z0.BenchmarkRecord                                                    | Defines a benchmark measure for an operator
Field       | Z0.BenchmarkRecord.OpId                                               | The name of the measured operation
Field       | Z0.BenchmarkRecord.OpCount                                            | Either the invocation count or the number of discrete operations performed
Field       | Z0.BenchmarkRecord.Timing                                             | The measured time
Type        | Z0.ITestLogger                                                        | Defines minimal contract for a log message sink
Type        | Z0.TestCaseRecord                                                     | Describes the outcome of a test case
Method      | Z0.RecordFormatter.Create``1(System.Char)                             | Creates a record formatter predicated on an enum that specifies the record fields
Method      | Z0.RecordHeader.render``1(System.Func{System.Int32,``0,System.String},System.Char)| Formates a header row using a caller-supplied label producer
Method      | Z0.Records.formatter``1(System.Char)                                  | Creates a record formatter predicated on a field definition set defined by an enum
Method      | Z0.Records.formatter``1                                               | Creates a record formatter predicated on a field definition set defined by an enum
Method      | Z0.Records.Formatter``1                                               | Creates a record formatter predicated on an enum that specifies the record fields
Method      | Z0.Records.Formatter``1(System.Char)                                  | Creates a record formatter predicated on a field definition set defined by an enum
Field       | Z0.Tabular.PosMask                                                    | Defines a mask that, when applied, reveals the field position
Method      | Z0.Tabular.index``1(``0)                                              | Computes the field index from a field specifier
Method      | Z0.Tabular.width``1(``0)                                              | Computes the field width from a field specifier
Method      | Z0.Tabular.format``1                                                  | Defines a tabular format specifiecation predicated on a parametric enum type
Method      | Z0.Tabular.field``1(``0)                                              | Defines a tabular field specification predicated on an enumeration literal
Method      | Z0.TabularFormats.derive``1(System.Char)                              | Derives format configuration data from a type
Method      | Z0.TextDocParser.Create``1(System.Func{Z0.TextDoc,Z0.ParseResult{``0}})| Creates a text document parser from a parse function
Method      | Z0.TextDocParsing.ParseDocument(System.IO.StreamReader,System.Nullable{Z0.TextFormat})| Attempts to parse a text document and returns the result if successful
Method      | Z0.TextDocParsing.ParseHeader(Z0.TextLine,Z0.TextFormat@)             | Parses a header row from a line of text
Method      | Z0.TextDocParsing.ParseRow(Z0.TextLine,Z0.TextFormat@)                | Parses a row from a line of text
Type        | Z0.IDataFlow`2                                                        | Characterizes a flow that represents a data movement from A -&gt; B, or, in this case, S -&gt; T
Method      | Z0.ITableLog`2.Save(`1[],Z0.FilePath)                                 | Saves tabular data using derived metadata for format configuration
Method      | Z0.ITabular.DelimitedText(System.Char)                                | Returns a line of text represents the record value
Type        | Z0.BinaryResource                                                     | Describes an embedded data resource
Method      | Z0.BinaryResource.Providers``1                                        | Returns the properties declared by a type that define binary resource content
Method      | Z0.BinaryResource.Location(System.ReadOnlySpan{System.Byte})          | Computes the address of resource content
Type        | Z0.BinaryResourceSpec                                                 | Defines the content of a binary resource
Type        | Z0.HostResourceSpec                                                   | Defines the content of a set of binary resources for an api host
Method      | Z0.Root.add``1(``0@,System.Int32)                                     | Adds an offset to a reference
Method      | Z0.Root.address``1(``0@)                                              | Presents a reference as an address
Method      | Z0.Root.array``1(``0[])                                               | Produces an array from a parameter array
Method      | Z0.Root.insist``1(``0)                                                | Complains if the source operand, of reference type, is null; otherwise returns it
Method      | Z0.Root.bind``2(Z0.Option{``0},System.Func{``0,Z0.Option{``1}})       | Implements the canonical bind operation
Method      | Z0.Root.typecode``1                                                   | Gets type typecode of a parametrically-identified type
Method      | Z0.Root.char(System.Boolean)                                          | Reimagines a boolean value as a character value
Method      | Z0.Root.eStore``1(``0@,System.UInt64@)                                | Stores an enum value of any primal kind to a u64 target
Method      | Z0.Root.eVal``2(``1,``0)                                              | Reads an E-value from an enum of primal T-kind
Method      | Z0.Root.eVal``1(System.Byte,``0)                                      | Envisions a u8 value as a value of an enum of like primal kind
Method      | Z0.Root.eVal``1(System.SByte,``0)                                     | Envisions an i8 value as a value of an enum of like primal kind
Method      | Z0.Root.eVal``1(System.Int16,``0)                                     | Envisions an i16 value as a value of an enum of like primal kind
Method      | Z0.Root.eVal``1(System.UInt16,``0)                                    | Envisions a u16 value as a value of an enum of like primal kind
Method      | Z0.Root.eVal``1(System.Char,``0)                                      | Envisions a c16 value as a value of an enum of like u16 kind
Method      | Z0.Root.eVal``1(System.Int32,``0)                                     | Envisions an i32 value as a value of an enum of like primal kind
Method      | Z0.Root.eVal``1(System.UInt32,``0)                                    | Envisions a u32 value as a value of an enum of like primal kind
Method      | Z0.Root.eVal``1(System.Int64,``0)                                     | Envisions an i64 value as a value of an enum of like primal kind
Method      | Z0.Root.eVal``1(System.UInt64,``0)                                    | Envisions a u64 value as a value of an enum of like primal kind
Method      | Z0.Root.filter``1(``0[],System.Func{``0,System.Boolean})              | Allocates and populates a new array by filtering the source array with             a specified predicate
Method      | Z0.Root.fmap``2(System.Func{``0,``1})                                 | Defines the canonical option functor F:Option[A] -&gt; Option[B] induced by a non-monadic dual f:A-&gt;B
Method      | Z0.Root.guard``2(``0,System.Func{``0,System.Boolean},System.Func{``0,Z0.Option{``1}})| Evaluates a function if a predicate is satisfied; otherwise, returns None
Method      | Z0.Root.hash``1(``0)                                                  | Calculates a hash code for structured content and returns the content along with the calculated hash
Method      | Z0.Root.hash_ref(System.ReadOnlySpan{System.Byte})                    | Computes the FNV-1a hash of the source sequence            See http://en.wikipedia.org/wiki/Fowler%E2%80%93Noll%E2%80%93Vo_hash_function
Method      | Z0.Root.hash(System.UInt32,System.UInt32)                             | Calculates a combined hash for 2 unsigned 32-bit integers
Method      | Z0.Root.hash(System.SByte,System.SByte)                               | Creates a combined/unsigned hash code
Method      | Z0.Root.hash(System.Byte,System.Byte)                                 | Creates a combined/unsigned hash code
Method      | Z0.Root.hash(System.Int16,System.Int16)                               | Creates a combined/unsigned hash code
Method      | Z0.Root.hash(System.UInt16,System.UInt16)                             | Creates a combined/unsigned hash code
Method      | Z0.Root.hash(System.Int32,System.Int32)                               | Creates a combined/unsigned hash code
Method      | Z0.Root.hash(System.UInt64,System.UInt64)                             | Creates a combined/unsigned hash code
Method      | Z0.Root.hash(System.Int64,System.Int64)                               | Creates a combined/unsigned hash code
Method      | Z0.Root.hash(System.SByte)                                            | Creates an unsigned hash code
Method      | Z0.Root.hash(System.Byte)                                             | Creates an unsigned hash code
Method      | Z0.Root.hash(System.Int16)                                            | Creates an unsigned hash code
Method      | Z0.Root.hash(System.UInt16)                                           | Creates an unsigned hash code
Method      | Z0.Root.hash(System.Int32)                                            | Creates an unsigned hash code
Method      | Z0.Root.hash(System.UInt32)                                           | Creates an unsigned hash code
Method      | Z0.Root.hash(System.UInt64)                                           | Creates an unsigned hash code
Method      | Z0.Root.hash(System.Int64)                                            | Creates an unsigned hash code
Method      | Z0.Root.hash(System.ReadOnlySpan{System.SByte})                       | Calculates a combined hash for a sequence integral values
Method      | Z0.Root.hash(System.ReadOnlySpan{System.Byte})                        | Calculates a combined hash for a sequence integral values
Method      | Z0.Root.hash(System.ReadOnlySpan{System.Int16})                       | Calculates a combined hash for a sequence integral values
Method      | Z0.Root.hash(System.ReadOnlySpan{System.UInt16})                      | Calculates a combined hash for a sequence integral values
Method      | Z0.Root.hash(System.ReadOnlySpan{System.Int32})                       | Calculates a combined hash for a sequence integral values
Method      | Z0.Root.hash(System.ReadOnlySpan{System.UInt32})                      | Calculates a combined hash for a sequence integral values
Method      | Z0.Root.hash(System.ReadOnlySpan{System.UInt64})                      | Calculates a combined hash for a sequence integral values
Method      | Z0.Root.hash(System.ReadOnlySpan{System.Int64})                       | Calculates a combined hash for a sequence integral values
Method      | Z0.Root.ifNotNull``2(``0,System.Func{``0,``1},``1)                    | Evaluates a function over a value if the value is not null; otherwise, returns the default result value
Method      | Z0.Root.ifelse``2(``0,System.Func{``0,System.Boolean},System.Func{``0,``1},System.Func{``0,``1})| Executes one of two functions depending on the evaulation criterion
Method      | Z0.Root.ifelse(System.Boolean,System.Action,System.Action)            | Executes one action if a condition is true and another should it be false
Method      | Z0.Root.ifempty(System.String,System.String)                          | A string-specific coalescing operation
Method      | Z0.Root.none``1                                                       | Defines a non-valued option
Method      | Z0.Root.ifnone``2(``0,System.Func{``1},System.Func{``0,``1})          | Transforms an input, branching on nullity evaluation
Method      | Z0.Root.ifnone``2(System.Nullable{``0},System.Func{``1},System.Func{``0,``1})| Transforms an input value, branching on nullity evaluation
Method      | Z0.Root.some``1(``0)                                                  | Defines a valued option
Method      | Z0.Root.ifsome``1(``0,System.Action{``0})                             | Invokes an action if the supplied value is not null
Method      | Z0.Root.ifsome``1(System.Nullable{``0},System.Action{``0})            | Invokes an action if the supplied value is not null
Method      | Z0.Root.iftrue``1(``0,System.Func{``0,System.Boolean},System.Func{``0,``0})| Executes a function if the criterion is true, otherwise returns the supplied value
Method      | Z0.Root.iter``1(System.Collections.Generic.IEnumerable{``0},System.Action{``0},System.Boolean)| Iterates over the supplied items, invoking a receiver for each
Method      | Z0.Root.iter``2(System.ReadOnlySpan{``0},System.ReadOnlySpan{``1},System.Action{``0,``1})| Iterates a pair of readonly spans in tandem, invoking a caller-supplied action for each cell pair
Method      | Z0.Root.iter``2(System.Span{``0},System.Span{``1},System.Action{``0,``1})| Iterates a pair of spans in tandem, invoking a caller-supplied action for each cell pair
Method      | Z0.Root.iteri(System.Int32,System.Int32,System.Action{System.Int32})  | Aplies an action to the sequence of integers min,min+1,...,max - 1
Method      | Z0.Root.iteri``1(System.Collections.Generic.IEnumerable{``0},System.Action{System.Int32,``0})| Iterates over the supplied items, invoking an indexed receiver for each
Method      | Z0.Root.length``2(System.ReadOnlySpan{``0},System.ReadOnlySpan{``1})  | Computs min(x.Length,y.Length)
Method      | Z0.Root.length``2(System.ReadOnlySpan{``0},System.Span{``1})          | Computs min(x.Length,y.Length)
Method      | Z0.Root.length``2(System.Span{``0},System.ReadOnlySpan{``1})          | Computs min(x.Length,y.Length)
Method      | Z0.Root.length``2(System.Span{``0},System.Span{``1})                  | Computs min(x.Length,y.Length)
Method      | Z0.Root.list``1(``0[])                                                | Creates a list from a parameter array
Method      | Z0.Root.map``2(System.Collections.Generic.IEnumerable{``0},System.Func{``0,``1})| Applies a function to an input sequence to yield a transformed output sequence
Method      | Z0.Root.map``2(System.Nullable{``0},System.Func{``0,``1})             | Projects a source value, if non-null, onto a target value; otherwise, returns the target's default value
Method      | Z0.Root.map``2(System.Nullable{``0},System.Func{``0,``1},System.Func{``1})| Projects a source value, if non-null, onto a target value; otherwise, returns value raised by a caller-supplied emitter
Method      | Z0.Root.map``2(System.ReadOnlySpan{``0},System.Func{``0,``1},System.Span{``1})| Projects a source span to target span via a supplied transformation
Method      | Z0.Root.apply``1(System.ReadOnlySpan{``0},System.Func{``0,``0},System.Span{``0})| Applies a unary operator to an input sequence and deposits the result to a caller-supplied target
Method      | Z0.Root.map``1(System.ReadOnlySpan{``0},System.ReadOnlySpan{``0},System.Func{``0,``0,``0},System.Span{``0})| Projects a pair of source spans to target span via a binary operator
Method      | Z0.Root.map``3(System.ReadOnlySpan{``0},System.ReadOnlySpan{``1},System.Func{``0,``1,``2},System.Span{``2})| Iterates a pair of readonly spans in tandem, invoking a function for each cell pair            and deposits the result in a caller-supplied target
Method      | Z0.Root.map``3(System.ReadOnlySpan{``0},System.ReadOnlySpan{``1},System.Func{``0,``1,``2})| Iterates a pair of readonly spans in tandem, invoking a function for each cell pair,             and deposits the result to an allocated target that is returned
Method      | Z0.Root.memref(Z0.MemoryAddress,Z0.ByteSize)                          | Defines a memory reference
Method      | Z0.Root.method``3(System.String)                                      | Searches a type for any method that matches the supplied signature
Method      | Z0.Root.ctor(System.Type,System.Type[])                               | Searches a type for an instance constructor that matches a specified signature
Method      | Z0.Root.ctor``1(System.Type[])                                        | Searches a type for an instance constructor that matches a specified signature
Method      | Z0.Root.nullis``1(``0)                                                | Returns true if the source is null
Method      | Z0.Root.nullnot``1(``0)                                               | Returns true if the source is non-null
Method      | Z0.Root.primal(System.TypeCode)                                       | Returns the type-code identified primal kind
Method      | Z0.Root.readonly``1(System.Span{``0})                                 | Reflects the immutable self
Method      | Z0.Root.readonly``1(``0[])                                            | Reflects the content of an array as a readonly span
Method      | Z0.Root.reduce``1(Z0.Option{Z0.Option{``0}})                          | Implements the canonical join operation that reduces the monadic depth by one level
Method      | Z0.Root.reduce``1(System.Collections.Generic.IEnumerable{``0}[])      | Implements the canonical join operation that reduces the (LiNQ-monadic) depth by one level
Method      | Z0.Root.seq``1(``0[])                                                 | An indespensable combinator that produces a stream from a parameter array
Method      | Z0.Root.skip``1(``0@,System.UInt64)                                   | Skips a specified number of source elements and returns a readonly reference to the resulting element
Method      | Z0.Root.span(System.String)                                           | Creates a readonly character span from a string
Method      | Z0.Root.span``1(``0@,System.Int32)                                    | Creates a T-span from a supplied reference
Method      | Z0.Root.span``1(``0[])                                                | Creates a span from an array
Method      | Z0.Root.span``1(``0@)                                                 | Creates a single-cell T-span from a supplied reference
Method      | Z0.Root.span8u``1(``0@)                                               | Creates a bytespan from a T-cell reference
Method      | Z0.Root.span16u``1(``0@)                                              | Creates a u16 span from a T-cell reference
Method      | Z0.Root.span32u``1(``0@)                                              | Creates a u32 span from a T-cell reference
Method      | Z0.Root.span64u``1(``0@)                                              | Creates a u64 span from a T-cell reference
Method      | Z0.Root.span16c``1(``0@)                                              | Creates a u16 span from a T-cell reference
Method      | Z0.Root.span16c(System.ReadOnlySpan{System.Byte})                     | Creates a u16 span from a T-cell reference
Method      | Z0.Root.span``2(``0@,System.Int32)                                    | Creates a T-span from an S-reference
Method      | Z0.Root.span``2(``0@)                                                 | Creates a T-span from a single S-reference
Method      | Z0.Root.swap``1(System.Span{``0},System.Int32,System.Int32)           | Interchanges span elements i and j
Method      | Z0.Root.testbit(System.Byte,System.Int32)                             | Tests the state of an index-identified source bit
Method      | Z0.Root.Try``1(System.Func{``0},System.Action{System.Exception})      | Evaluates a function within a try block and returns the value of the computation if             successful; otherwise, returns None and invokes an error handler if supplied
Method      | Z0.Root.Try``1(System.Func{Z0.Option{``0}},System.Action{System.Exception})| Evaluates a function within a try block and returns the value of the computation if             successful; otherwise, returns None together with the reported exception
Method      | Z0.Root.Try(System.Action,System.Action{System.Exception})            | Invokes an action within a try block and, upon error, calls the handler if specified.             If no handler is specified, the exception message is emitted to stderr
Method      | Z0.Root.Try``2(``0,System.Func{``0,``1},System.Action{``0,System.Exception})| Evaluates a function within a try block and returns the value of the computation if successful.            Otherwise, returns None together with the reported exception
Method      | Z0.Root.TryCast``1(System.Object)                                     | Casts a value if possible, otherwise returns none
Method      | Z0.Root.tVal``2(``0)                                                  | Reads a T-value from the value of an E-enum of primal T-kind
Method      | Z0.Root.e8u``1(``0)                                                   | Reads a u8 value from the value of an E-enum of primal u8-kind
Method      | Z0.Root.type``1                                                       | Returns the type of the type
Method      | Z0.Root.unbox``1(System.Object)                                       | Takes a value out of a box
Method      | Z0.Root.unbox``1(System.Enum)                                         | Takes an enum value out of a box
Method      | Z0.Root.unpack``1(``0,System.Span{Z0.Bit})                            | Populates a caller-supplied target with unpacked source bits
Method      | Z0.Root.value``1(``0)                                                 | Returns the numeric value represented by a natural type
Method      | Z0.Root.view``1(Z0.W8,``0@)                                           | Presents a readonly T-reference as a reference of bit-width w
Method      | Z0.Root.view``1(Z0.W16,``0@)                                          | Presents a readonly T-reference as a reference of bit-width w
Method      | Z0.Root.view``1(Z0.W32,``0@)                                          | Presents a readonly T-reference as a reference of bit-width w
Method      | Z0.Root.view``1(Z0.W64,``0@)                                          | Presents a readonly T-reference as a reference of bit-width w
Method      | Z0.Root.view``2(``0@)                                                 | Presents a readonly S-reference as a readonly T-reference
Method      | Z0.Root.vread``1(System.Runtime.Intrinsics.Vector128{System.Byte}@)   | Presents a readonly reference to 128-bit vector as a readonly T-reference
Method      | Z0.Root.vread``1(System.Runtime.Intrinsics.Vector128{System.SByte}@)  | Presents a readonly reference to 128-bit vector as a readonly T-reference
Method      | Z0.Root.vread``1(System.Runtime.Intrinsics.Vector128{System.Int16}@)  | Presents a readonly reference to 128-bit vector as a readonly T-reference
Method      | Z0.Root.vread``1(System.Runtime.Intrinsics.Vector128{System.UInt16}@) | Presents a readonly reference to 128-bit vector as a readonly T-reference
Method      | Z0.Root.vread``1(System.Runtime.Intrinsics.Vector128{System.Int32}@)  | Presents a readonly reference to 128-bit vector as a readonly T-reference
Method      | Z0.Root.vread``1(System.Runtime.Intrinsics.Vector128{System.UInt32}@) | Presents a readonly reference to 128-bit vector as a readonly T-reference
Method      | Z0.Root.vread``1(System.Runtime.Intrinsics.Vector128{System.Int64}@)  | Presents a readonly reference to 128-bit vector as a readonly T-reference
Method      | Z0.Root.vread``1(System.Runtime.Intrinsics.Vector128{System.UInt64}@) | Presents a readonly reference to 128-bit vector as a readonly T-reference
Method      | Z0.Root.vread``1(System.Runtime.Intrinsics.Vector128{System.Single}@) | Presents a readonly reference to 128-bit vector as a readonly T-reference
Method      | Z0.Root.vread``1(System.Runtime.Intrinsics.Vector128{System.Double}@) | Presents a readonly reference to 128-bit vector as a readonly T-reference
Method      | Z0.Root.vread``1(System.Runtime.Intrinsics.Vector256{System.Byte}@)   | Presents a readonly reference to 256-bit vector as a readonly T-reference
Method      | Z0.Root.vread``1(System.Runtime.Intrinsics.Vector256{System.SByte}@)  | Presents a readonly reference to 256-bit vector as a readonly T-reference
Method      | Z0.Root.vread``1(System.Runtime.Intrinsics.Vector256{System.Int16}@)  | Presents a readonly reference to 256-bit vector as a readonly T-reference
Method      | Z0.Root.vread``1(System.Runtime.Intrinsics.Vector256{System.UInt16}@) | Presents a readonly reference to 256-bit vector as a readonly T-reference
Method      | Z0.Root.vread``1(System.Runtime.Intrinsics.Vector256{System.Int32}@)  | Presents a readonly reference to 256-bit vector as a readonly T-reference
Method      | Z0.Root.vread``1(System.Runtime.Intrinsics.Vector256{System.UInt32}@) | Presents a readonly reference to 256-bit vector as a readonly T-reference
Method      | Z0.Root.vread``1(System.Runtime.Intrinsics.Vector256{System.Int64}@)  | Presents a readonly reference to 256-bit vector as a readonly T-reference
Method      | Z0.Root.vread``1(System.Runtime.Intrinsics.Vector256{System.UInt64}@) | Presents a readonly reference to 256-bit vector as a readonly T-reference
Method      | Z0.Root.vread``1(System.Runtime.Intrinsics.Vector256{System.Single}@) | Presents a readonly reference to 256-bit vector as a readonly T-reference
Method      | Z0.Root.vread``1(System.Runtime.Intrinsics.Vector256{System.Double}@) | Presents a readonly reference to 256-bit vector as a readonly T-reference
Method      | Z0.Root.vread``1(Z0.Vector512{System.Byte}@)                          | Presents a readonly reference to 512-bit vector as a readonly T-reference
Method      | Z0.Root.vread``1(Z0.Vector512{System.SByte}@)                         | Presents a readonly reference to 512-bit vector as a readonly T-reference
Method      | Z0.Root.vread``1(Z0.Vector512{System.Int16}@)                         | Presents a readonly reference to 512-bit vector as a readonly T-reference
Method      | Z0.Root.vread``1(Z0.Vector512{System.UInt16}@)                        | Presents a readonly reference to 512-bit vector as a readonly T-reference
Method      | Z0.Root.vread``1(Z0.Vector512{System.Int32}@)                         | Presents a readonly reference to 512-bit vector as a readonly T-reference
Method      | Z0.Root.vread``1(Z0.Vector512{System.UInt32}@)                        | Presents a readonly reference to 512-bit vector as a readonly T-reference
Method      | Z0.Root.vread``1(Z0.Vector512{System.Int64}@)                         | Presents a readonly reference to 512-bit vector as a readonly T-reference
Method      | Z0.Root.vread``1(Z0.Vector512{System.UInt64}@)                        | Presents a readonly reference to 512-bit vector as a readonly T-reference
Method      | Z0.Root.vread``1(Z0.Vector512{System.Single}@)                        | Presents a readonly reference to 512-bit vector as a readonly T-reference
Method      | Z0.Root.vread``1(Z0.Vector512{System.Double}@)                        | Presents a readonly reference to 512-bit vector as a readonly T-reference
Method      | Z0.Root.vread``2(System.Runtime.Intrinsics.Vector128{``0}@)           | Presents a readonly reference to 128-bit S-vector as a readonly T-reference
Method      | Z0.Root.vread``2(System.Runtime.Intrinsics.Vector256{``0}@)           | Presents a readonly reference to 256-bit S-vector as a readonly T-reference
Method      | Z0.Root.vread``2(Z0.Vector512{``0}@)                                  | Presents a readonly reference to 512-bit S-vector as a readonly T-reference
Method      | Z0.Root.vread``1(System.Runtime.Intrinsics.Vector128{``0}@)           | Returns a readonly refererence to the leading component of the source
