Method      | Z0.BitVector.add(Z0.BitVector4,Z0.BitVector4)                         | Computes the arithmetic sum z := x + y for bitvectors x and y
Method      | Z0.XTend.ToNatural(Z0.BitVector64)                                    | Converts the source bitvector to an equivalent natural/generic bitvector
Method      | Z0.XTend.ToNatural``2(Z0.BitVector{``1},``0)                          | Converts a generic bitvector to natural bitvector
Method      | Z0.Gf.Poly``1(System.Byte[])                                          | Defines a binary polynomial from a monotonically decreasing exponent sequence
Method      | Z0.Gf.Poly16(System.Byte[])                                           | Defines a binary polynomial of degree at most 15 from a monotonically decreasing exponent sequence
Method      | Z0.Gf.Poly``2(System.Byte[])                                          | Defines a binary polynomial of natural degree N
Method      | Z0.Gf.Poly(Z0.N3,System.Byte[])                                       | Defines a binary polynomial of natural degree N = 3
Method      | Z0.Gf.Poly(Z0.N8,System.Byte[])                                       | Defines a binary polynomial of natural degree N = 8
Method      | Z0.Gf.Poly(Z0.N16,System.Byte[])                                      | Defines a binary polynomial of natural degree N = 10
Method      | Z0.Gf.Poly(Z0.N32,System.Byte[])                                      | Defines a binary polynomial of natural degree N = 32
Method      | Z0.Gf256.clmul(System.Byte,System.Byte)                               | Computes the GF(256) product reduced by the canonical polynomial
Method      | Z0.Gf256.products(System.Byte,System.Byte,System.Byte@)               | Fills caller-allocated memory with a GF(256) multiplication table
Method      | Z0.Gf256.products``1(``0)                                             | Creates an N^2 multiplication table for the values [1...N]
Method      | Z0.Gf256.products(Z0.Matrix256{Z0.N256,System.Byte}@)                 | Computes the full multiplication table for GF(256) modulo the canonical polynomial
Method      | Z0.Gf256.mul_ref(System.Byte,System.Byte)                             | The reference (slow) implementation of GF(256) multiplication reduced            via the canonical polynomial
Method      | Z0.Gf512.products(Z0.Matrix256{Z0.N512,System.UInt16}@)               | Computes the full multiplication table for GF512
Method      | Z0.Gf8.products(System.Byte,System.Byte,System.Byte@)                 | Fills caller-allocated memory with a multiplication table
Method      | Z0.Gf8.products                                                       | Creates a complete multiplication table
Type        | Z0.GfPoly                                                             | Primitive polynomials for GF reduction
Field       | Z0.GfPoly.Gfp_2_1_0                                                   | x^2 + x^1 + x^0
Field       | Z0.GfPoly.Gfp_3_1_0                                                   | x^3 + x^1 + x^0
Field       | Z0.GfPoly.Gfp_4_1_0                                                   | x^4 + x^1 + x^0
Field       | Z0.GfPoly.Gfp_5_2_0                                                   | x^5 + x^2 + x^0
Field       | Z0.GfPoly.Gfp_6_1_0                                                   | x^6 + x^1 + x^0
Field       | Z0.GfPoly.Gfp_7_1_0                                                   | x^7 + x^1 + x^0
Field       | Z0.GfPoly.Gfp_8_4_3_2_0                                               | x^8 + x^4 + x^3 + x^2 + x^0            0b1_0001_1101
Field       | Z0.GfPoly.Gfp_9_4_0                                                   | x^9 + x^4 + x^0
Field       | Z0.GfPoly.Gfp_10_3_0                                                  | x^10 + x^3 + x^0
Field       | Z0.GfPoly.Gfp_11_2_1                                                  | x^11 + x^2 + x^0
Field       | Z0.GfPoly.Gfp_16_9_8_7_6_4_3_2_0                                      | x^16 + x^9 + x^8 + x^7 + x^6 + x^4 + x^3 + x^2 + x^0
Field       | Z0.GfPoly.Gfp_32_22_2_1_0                                             | x^32 + x^22 + x^2 + x^1 + x^0
Type        | Z0.GfPoly16                                                           | Represents a base-2 polynomial of degree at most N = 15. The represented polynomial is of the form            a_i * x^i + . . . a_1 * x^1 + a_0 * x^0 where  a_i = 0 | 1 and i = 0..N
Property    | Z0.GfPoly16.Item(System.Byte)                                         | Returns a bit indicating whether the coefficient for x^i is 1 or 0
Property    | Z0.GfPoly16.Scalar                                                    | Returns the scalar representation of the polynomial
Property    | Z0.GfPoly16.Degree                                                    | The degree (N) of the polynomial
Property    | Z0.GfPoly16.Nonzero                                                   | Specfies whether the polynomial is the zero polynomial
Method      | Z0.GfPoly16.ToBitVector                                               | Converts the polynomial to a bitvector
Method      | Z0.GfPoly16.ToNatPoly                                                 | Converts the polynomial to a representation with natural degree
Method      | Z0.GfPoly16.Format                                                    | Formats the polynomial
Type        | Z0.GfPoly`2                                                           | Represents a base-2 polynomial of degree N. The represented polynomial is of the form            a_i * x^i + . . . a_1 * x^1 + a_0 * x^0 where  a_i = 0 | 1 and i = 0..N
Property    | Z0.GfPoly`2.Item(System.Byte)                                         | Returns a bit indicating whether the coefficient for x^i is 1 or 0
Property    | Z0.GfPoly`2.Scalar                                                    | Returns the scalar representation of the polynomial
Property    | Z0.GfPoly`2.Degree                                                    | The degree (N) of the polynomial
Property    | Z0.GfPoly`2.Nonzero                                                   | Specfies whether the polynomial is the zero polynomial
Method      | Z0.GfPoly`2.Format(System.Nullable{System.Char})                      | Formats the polynomial
Method      | Z0.BvUtil.packseq(System.ReadOnlySpan{System.Byte},System.Byte@)      | Packs a bitsequence determined by the first 8 (or fewer) bytes from the source into a single byte
Method      | Z0.BvUtil.packseq(System.ReadOnlySpan{System.Byte},System.UInt16@)    | Packs a bitsequence determined by the first 16 (or fewer) bytes from the source into an unsigned short
Method      | Z0.BvUtil.packseq(System.ReadOnlySpan{System.Byte},System.UInt32@)    | Packs a bitsequence determined by the first 32 (or fewer) bytes from the source into an unsigned int
Method      | Z0.BvUtil.packseq(System.ReadOnlySpan{System.Byte},System.UInt64@)    | Packs a bitsequence determined by the first 64 (or fewer) bytes from the source into an unsigned long
Method      | Z0.BvRng.BitVector(Z0.IPolyrand,Z0.N4)                                | Produces a 4-bit primal bitvector predicated on a random source
Method      | Z0.BvRng.BitVector(Z0.IPolyrand,Z0.N8)                                | Produces an 8-bit primal bitvector predicated on a random source
Method      | Z0.BvRng.BitVector(Z0.IPolyrand,Z0.N8,System.Int32)                   | Produces an 8-bit primal bitvector of a specified maximial effective width
Method      | Z0.BvRng.BitVector(Z0.IPolyrand,Z0.N16)                               | Produces a 16-bit primal bitvector
Method      | Z0.BvRng.BitVector(Z0.IPolyrand,Z0.N16,System.Int32)                  | Produces a 16-bit primal bitvector of a specified maximial effective width
Method      | Z0.BvRng.BitVector(Z0.IPolyrand,Z0.N32)                               | Produces a 32-bit primal bitvector
Method      | Z0.BvRng.BitVector(Z0.IPolyrand,Z0.N32,System.Int32)                  | Produces a 32-bit primal bitvector of a specified maximial effective width
Method      | Z0.BvRng.BitVector(Z0.IPolyrand,Z0.N64)                               | Produces a 64-bit primal bitvector
Method      | Z0.BvRng.BitVector(Z0.IPolyrand,Z0.N64,System.Int32)                  | Produces a 64-bit primal bitvector of maximal effective width
Method      | Z0.BvRng.BitVector(Z0.IPolyrand,Z0.N128)                              | Produces a 128-bit primal bitvector
Method      | Z0.BvRng.BitVectors(Z0.IPolyrand,Z0.N4)                               | Produces a stream of random 4-bit bitvectors
Method      | Z0.BvRng.BitVector``1(Z0.IPolyrand)                                   | Produces a generic bitvector
Method      | Z0.BvRng.BitVector``1(Z0.IPolyrand,System.Int32)                      | Produces a generic bitvector of a specified maximum effective width
Method      | Z0.BvRng.BitVector``2(Z0.IPolyrand,``0,``1)                           | Produces a natural bitvector
Type        | Z0.BitVectorLogix                                                     | Implements reference bitvector operations
Method      | Z0.BitVectorLogix.and``1(Z0.BitVector{``0},Z0.BitVector{``0})         | Computes the bitwise AND of the source vetors via component-wise logical operations to define a reference implementation
Method      | Z0.BitVectorLogix.nand``1(Z0.BitVector{``0},Z0.BitVector{``0})        | Computes the bitwise AND of the source vetors via component-wise logical operations to define a reference implementation
Method      | Z0.BitVectorLogix.or``1(Z0.BitVector{``0},Z0.BitVector{``0})          | Computes the bitwise OR of the source vetors via component-wise logical operations to define a reference implementation
Method      | Z0.BitVectorLogix.nor``1(Z0.BitVector{``0},Z0.BitVector{``0})         | Computes the bitwise OR of the source vetors via component-wise logical operations to define a reference implementation
Method      | Z0.BitVectorLogix.xor``1(Z0.BitVector{``0},Z0.BitVector{``0})         | Computes the bitwise XOR of the source vetors via component-wise logical operations to define a reference implementation
Method      | Z0.BitVectorLogix.xnor``1(Z0.BitVector{``0},Z0.BitVector{``0})        | Computes the bitwise XOR of the source vetors via component-wise logical operations to define a reference implementation
Method      | Z0.BitVectorLogix.lnot``1(Z0.BitVector{``0},Z0.BitVector{``0})        | Computes the bitwise LeftNot of the source vetors via component-wise logical operations to define a reference implementation
Method      | Z0.BitVectorLogix.rnot``1(Z0.BitVector{``0},Z0.BitVector{``0})        | Computes the bitwise LeftNot of the source vetors via component-wise logical operations to define a reference implementation
Method      | Z0.BitVectorLogix.impl``1(Z0.BitVector{``0},Z0.BitVector{``0})        | Computes the bitwise Impliction of the source vetors via component-wise logical operations to define a reference implementation
Method      | Z0.BitVectorLogix.nonimpl``1(Z0.BitVector{``0},Z0.BitVector{``0})     | Computes the bitwise NotImpliction of the source vetors via component-wise logical operations to define a reference implementation
Method      | Z0.BitVectorLogix.cimpl``1(Z0.BitVector{``0},Z0.BitVector{``0})       | Computes the bitwise ConverseImpliction of the source vetors via component-wise logical operations to define a reference implementation
Method      | Z0.BitVectorLogix.cnonimpl``1(Z0.BitVector{``0},Z0.BitVector{``0})    | Computes the bitwise ConverseImpliction of the source vetors via component-wise logical operations to define a reference implementation
Property    | Z0.IBitVector.Bytes                                                   | Presents bitvector content as a bytespan
Method      | Z0.IBitVector.Byte(System.Int32)                                      | Selects an index-identified mutable 8-bit segment from the source vector
Type        | Z0.BitVector128`2                                                     | Defines a natural bitvector over an intrinsic vector
Method      | Z0.BitVector128`2.op_Implicit(System.Runtime.Intrinsics.Vector128{`1})~Z0.BitVector128{`0,`1}| Implicitly convers a scalar to a bitvector
Method      | Z0.BitVector128`2.op_Implicit(Z0.BitVector128{`0,`1})~System.Runtime.Intrinsics.Vector128{`1}| Implicitly convers a bitvector to its scalar representation
Method      | Z0.BitVector128`2.op_BitwiseAnd(Z0.BitVector128{`0,`1}@,Z0.BitVector128{`0,`1}@)| Computes the bitwias AND between the operands
Method      | Z0.BitVector128`2.op_BitwiseOr(Z0.BitVector128{`0,`1}@,Z0.BitVector128{`0,`1}@)| Computes the bitwias AND between the operands
Method      | Z0.BitVector128`2.op_ExclusiveOr(Z0.BitVector128{`0,`1}@,Z0.BitVector128{`0,`1}@)| Computes the bitwise XOR between the operands
Method      | Z0.BitVector128`2.op_Modulus(Z0.BitVector128{`0,`1}@,Z0.BitVector128{`0,`1}@)| Computes the scalar product of the operands
Method      | Z0.BitVector128`2.op_OnesComplement(Z0.BitVector128{`0,`1}@)          | Computes the bitwise complement of the operand
Method      | Z0.BitVector128`2.op_UnaryNegation(Z0.BitVector128{`0,`1}@)           | Computes the two's complement negation of the operand
Method      | Z0.BitVector128`2.op_LeftShift(Z0.BitVector128{`0,`1}@,System.Int32)  | Shifts the source bits leftwards
Method      | Z0.BitVector128`2.op_RightShift(Z0.BitVector128{`0,`1}@,System.Int32) | Shifts the source bits rightwards
Method      | Z0.BitVector128`2.op_True(Z0.BitVector128{`0,`1}@)                    | Returns true if the source vector is nonzero, false otherwise
Method      | Z0.BitVector128`2.op_False(Z0.BitVector128{`0,`1}@)                   | Returns false if the source vector is the zero vector, false otherwise
Method      | Z0.BitVector128`2.op_Equality(Z0.BitVector128{`0,`1}@,Z0.BitVector128{`0,`1}@)| Determines whether operand content is identical
Method      | Z0.BitVector128`2.op_Inequality(Z0.BitVector128{`0,`1}@,Z0.BitVector128{`0,`1}@)| Determines whether operand content is non-identical
Method      | Z0.BitVector128`2.#ctor(System.Runtime.Intrinsics.Vector128{`1})      | Intializes a bitvector with the lo N bits of a scalar source
Property    | Z0.BitVector128`2.Content                                             | The scalar representation of the vector
Property    | Z0.BitVector128`2.Width                                               | The bitvector's natural width
Property    | Z0.BitVector128`2.Lo                                                  | The bitvector's lower 64 bits
Property    | Z0.BitVector128`2.Hi                                                  | The bitvector's upper 64 bits
Property    | Z0.BitVector128`2.Empty                                               | Specifies whether all bits are disabled
Property    | Z0.BitVector128`2.NonEmpty                                            | Specifies whether at least one bit is enabled
Type        | Z0.BitVector16                                                        | Defines a 16-bit bitvector
Method      | Z0.BitVector16.op_BitwiseAnd(Z0.BitVector16,Z0.BitVector16)           | Computes the bitwise AND of the operands
Method      | Z0.BitVector16.op_BitwiseOr(Z0.BitVector16,Z0.BitVector16)            | Computes the bitwise OR of the operands
Method      | Z0.BitVector16.op_ExclusiveOr(Z0.BitVector16,Z0.BitVector16)          | Computes the bitwise XOR of the operands
Method      | Z0.BitVector16.op_OnesComplement(Z0.BitVector16)                      | Computes the bitwise complement of the operand.
Method      | Z0.BitVector16.op_Addition(Z0.BitVector16,Z0.BitVector16)             | Computes the arithmetic sum of the operands
Method      | Z0.BitVector16.op_UnaryNegation(Z0.BitVector16)                       | Computes the two's complement of the operand
Method      | Z0.BitVector16.op_Subtraction(Z0.BitVector16,Z0.BitVector16)          | Computes the arithmetic difference between the operands
Method      | Z0.BitVector16.op_Modulus(Z0.BitVector16,Z0.BitVector16)              | Computes the scalar product of the operands
Method      | Z0.BitVector16.op_LeftShift(Z0.BitVector16,System.Int32)              | Left-shifts the bits in the source
Method      | Z0.BitVector16.op_RightShift(Z0.BitVector16,System.Int32)             | Right-shifts the bits in the source
Method      | Z0.BitVector16.op_Increment(Z0.BitVector16)                           | Arithmetically increments the source vector
Method      | Z0.BitVector16.op_Decrement(Z0.BitVector16)                           | Arithmetically decrements the source vector
Method      | Z0.BitVector16.op_True(Z0.BitVector16)                                | Returns true if the source vector is nonzero, false otherwise
Method      | Z0.BitVector16.op_False(Z0.BitVector16)                               | Returns false if the source vector is the zero vector, false otherwise
Method      | Z0.BitVector16.op_LogicalNot(Z0.BitVector16)                          | Computes the operand's logical negation: if x = 0 then 1 else 0
Method      | Z0.BitVector16.op_Equality(Z0.BitVector16,Z0.BitVector16)             | Determines whether operand content is identical
Method      | Z0.BitVector16.op_Inequality(Z0.BitVector16,Z0.BitVector16)           | Determines whether operand content is non-identical
Method      | Z0.BitVector16.op_LessThan(Z0.BitVector16,Z0.BitVector16)             | Determines whether the left operand is arithmetically less than the second
Method      | Z0.BitVector16.op_GreaterThan(Z0.BitVector16,Z0.BitVector16)          | Determines whether the left operand is arithmetically greater than the second
Method      | Z0.BitVector16.op_LessThanOrEqual(Z0.BitVector16,Z0.BitVector16)      | Determines whether the left operand is arithmetically less than or equal to the second
Method      | Z0.BitVector16.#ctor(System.UInt16)                                   | Initializes the vector with the source value it represents
Property    | Z0.BitVector16.Scalar                                                 | Extracts the scalar represented by the vector
Property    | Z0.BitVector16.Width                                                  | The number of bits represented by the vector
Property    | Z0.BitVector16.Empty                                                  | Returns true if no bits are enabled, false otherwise
Property    | Z0.BitVector16.NonEmpty                                               | Returns true if the vector has at least one enabled bit; false otherwise
Property    | Z0.BitVector16.Lo                                                     | The vector's 8 least significant bits
Property    | Z0.BitVector16.Hi                                                     | The vector's 8 most significant bits
Property    | Z0.BitVector16.Bytes                                                  | Presents bitvector content as a bytespan
Property    | Z0.BitVector16.Item(System.Int32)                                     | Gets/Sets an identified bit
Property    | Z0.BitVector16.Item(System.Byte,System.Byte)                          | Selects a contiguous range of bits
Type        | Z0.BitVector24                                                        | Defines a 32-bit bitvector
Property    | Z0.BitVector24.Zero                                                   | Allocates a vector with all bits disabled
Property    | Z0.BitVector24.One                                                    | Allocates a vector that has the least bit enabled and all others disabled
Property    | Z0.BitVector24.Ones                                                   | Allocates a vector with all bits enabled
Method      | Z0.BitVector24.op_Implicit(System.UInt32)~Z0.BitVector24              | Implicitly converts a scalar value to a 32-bit bitvector
Method      | Z0.BitVector24.op_Implicit(System.Byte)~Z0.BitVector24                | Implicitly converts a scalar value to a 32-bit bitvector
Method      | Z0.BitVector24.op_Implicit(System.UInt16)~Z0.BitVector24              | Implicitly converts a scalar value to a 32-bit bitvector
Method      | Z0.BitVector24.op_Implicit(System.ValueTuple{System.UInt16,System.Byte})~Z0.BitVector24| Implicitly constructs a bitvector from a tuple
Method      | Z0.BitVector24.op_ExclusiveOr(Z0.BitVector24,Z0.BitVector24)          | Computes the bitwise XOR of the source operands
Method      | Z0.BitVector24.op_BitwiseAnd(Z0.BitVector24,Z0.BitVector24)           | Computes the bitwise AND of the source operands
Method      | Z0.BitVector24.op_Modulus(Z0.BitVector24,Z0.BitVector24)              | Computes the scalar product of the operands
Method      | Z0.BitVector24.op_BitwiseOr(Z0.BitVector24,Z0.BitVector24)            | Computes the bitwise OR of the source operands
Method      | Z0.BitVector24.op_OnesComplement(Z0.BitVector24)                      | Computes the bitwise complement of the operand.
Method      | Z0.BitVector24.op_UnaryNegation(Z0.BitVector24)                       | Computes the two's complement of the operand
Method      | Z0.BitVector24.op_LeftShift(Z0.BitVector24,System.Int32)              | Left-shifts the bits in the source
Method      | Z0.BitVector24.op_RightShift(Z0.BitVector24,System.Int32)             | Right-shifts the bits in the source
Method      | Z0.BitVector24.op_True(Z0.BitVector24)                                | Returns true if the source vector is nonzero, false otherwise
Method      | Z0.BitVector24.op_False(Z0.BitVector24)                               | Returns false if the source vector is the zero vector, false otherwise
Method      | Z0.BitVector24.op_LogicalNot(Z0.BitVector24)                          | Computes the operand's logical negation: if x = 0 then 1 else 0
Method      | Z0.BitVector24.op_Equality(Z0.BitVector24,Z0.BitVector24)             | Determines whether operand content is identical
Method      | Z0.BitVector24.op_Inequality(Z0.BitVector24,Z0.BitVector24)           | Determines whether operand content is non-identical
Method      | Z0.BitVector24.op_LessThan(Z0.BitVector24,Z0.BitVector24)             | Determines whether the left operand is arithmetically less than the second
Method      | Z0.BitVector24.op_GreaterThan(Z0.BitVector24,Z0.BitVector24)          | Determines whether the left operand is arithmetically greater than the second
Method      | Z0.BitVector24.op_LessThanOrEqual(Z0.BitVector24,Z0.BitVector24)      | Determines whether the left operand is arithmetically less than or equal to the second
Method      | Z0.BitVector24.op_GreaterThanOrEqual(Z0.BitVector24,Z0.BitVector24)   | Determines whether the left operand is arithmetically greater than or equal to the second
Method      | Z0.BitVector24.#ctor(System.UInt32)                                   | Initializes the vector
Method      | Z0.BitVector24.#ctor(System.UInt16,System.Byte)                       | Initializes the vector
Property    | Z0.BitVector24.Scalar                                                 | Extracts the scalar represented by the vector
Property    | Z0.BitVector24.Width                                                  | The number of bits represented by the vector
Property    | Z0.BitVector24.Lo8                                                    | The first 8 bits of the vector
Property    | Z0.BitVector24.Mid8                                                   | The middle 8 bits of the vector
Property    | Z0.BitVector24.Hi8                                                    | The upper 8 bits of the vector
Property    | Z0.BitVector24.Lo16                                                   | The first 16 bits of the vector
Property    | Z0.BitVector24.Hi16                                                   | The last 16 bits of the vector
Property    | Z0.BitVector24.Bytes                                                  | Presents bitvector content as a bytespan
Property    | Z0.BitVector24.Empty                                                  | Returns true if no bits are enabled, false otherwise
Property    | Z0.BitVector24.NonEmpty                                               | Returns true if the vector has at least one enabled bit; false otherwise
Property    | Z0.BitVector24.Item(System.Int32)                                     | Queries/Manipulates index-identified bits
Property    | Z0.BitVector24.Item(System.Byte,System.Byte)                          | Selects a contiguous range of bits defined by an inclusive 0-based index range
Type        | Z0.BitVector32                                                        | Defines a 32-bit bitvector
Property    | Z0.BitVector32.Zero                                                   | Allocates a vector with all bits disabled
Property    | Z0.BitVector32.One                                                    | Allocates a vector that has the least bit enabled and all others disabled
Property    | Z0.BitVector32.Ones                                                   | Allocates a vector with all bits enabled
Method      | Z0.BitVector32.op_Implicit(System.Byte)~Z0.BitVector32                | Implicitly converts a scalar value to a 32-bit bitvector
Method      | Z0.BitVector32.op_Implicit(System.UInt16)~Z0.BitVector32              | Implicitly converts a scalar value to a 32-bit bitvector
Method      | Z0.BitVector32.op_Implicit(System.UInt32)~Z0.BitVector32              | Implicitly converts a scalar value to a 32-bit bitvector
Method      | Z0.BitVector32.op_ExclusiveOr(Z0.BitVector32,Z0.BitVector32)          | Computes the bitwise XOR of the source operands
Method      | Z0.BitVector32.op_BitwiseAnd(Z0.BitVector32,Z0.BitVector32)           | Computes the bitwise AND of the source operands
Method      | Z0.BitVector32.op_Modulus(Z0.BitVector32,Z0.BitVector32)              | Computes the scalar product of the operands
Method      | Z0.BitVector32.op_BitwiseOr(Z0.BitVector32,Z0.BitVector32)            | Computes the bitwise OR of the source operands
Method      | Z0.BitVector32.op_OnesComplement(Z0.BitVector32)                      | Computes the bitwise complement of the operand.
Method      | Z0.BitVector32.op_Addition(Z0.BitVector32,Z0.BitVector32)             | Computes the arithmetic sum of the source operands.
Method      | Z0.BitVector32.op_Increment(Z0.BitVector32)                           | Arithmetically increments the source vector
Method      | Z0.BitVector32.op_Decrement(Z0.BitVector32)                           | Arithmetically decrements the source vector
Method      | Z0.BitVector32.op_Subtraction(Z0.BitVector32,Z0.BitVector32)          | Computes the arithmetic difference between the operands
Method      | Z0.BitVector32.op_UnaryNegation(Z0.BitVector32)                       | Computes the two's complement of the operand
Method      | Z0.BitVector32.op_LeftShift(Z0.BitVector32,System.Int32)              | Left-shifts the bits in the source
Method      | Z0.BitVector32.op_RightShift(Z0.BitVector32,System.Int32)             | Right-shifts the bits in the source
Method      | Z0.BitVector32.op_True(Z0.BitVector32)                                | Returns true if the source vector is nonzero, false otherwise
Method      | Z0.BitVector32.op_False(Z0.BitVector32)                               | Returns false if the source vector is the zero vector, false otherwise
Method      | Z0.BitVector32.op_LogicalNot(Z0.BitVector32)                          | Computes the operand's logical negation: if x = 0 then 1 else 0
Method      | Z0.BitVector32.op_Equality(Z0.BitVector32,Z0.BitVector32)             | Determines whether operand content is identical
Method      | Z0.BitVector32.op_Inequality(Z0.BitVector32,Z0.BitVector32)           | Determines whether operand content is non-identical
Method      | Z0.BitVector32.op_LessThan(Z0.BitVector32,Z0.BitVector32)             | Determines whether the left operand is arithmetically less than the second
Method      | Z0.BitVector32.op_GreaterThan(Z0.BitVector32,Z0.BitVector32)          | Determines whether the left operand is arithmetically greater than the second
Method      | Z0.BitVector32.op_LessThanOrEqual(Z0.BitVector32,Z0.BitVector32)      | Determines whether the left operand is arithmetically less than or equal to the second
Method      | Z0.BitVector32.op_GreaterThanOrEqual(Z0.BitVector32,Z0.BitVector32)   | Determines whether the left operand is arithmetically greater than or equal to the second
Method      | Z0.BitVector32.#ctor(System.UInt32)                                   | Initializes the vector with the source value it represents
Property    | Z0.BitVector32.Scalar                                                 | Extracts the scalar represented by the vector
Property    | Z0.BitVector32.Width                                                  | The number of bits represented by the vector
Property    | Z0.BitVector32.Bytes                                                  | Presents bitvector content as a bytespan
Property    | Z0.BitVector32.Empty                                                  | Returns true if no bits are enabled, false otherwise
Property    | Z0.BitVector32.NonEmpty                                               | Returns true if the vector has at least one enabled bit; false otherwise
Property    | Z0.BitVector32.Item(System.Int32)                                     | Queries/Manipulates index-identified bits
Property    | Z0.BitVector32.Item(System.Byte,System.Byte)                          | Selects a contiguous range of bits defined by an inclusive 0-based index range
Type        | Z0.BitVector4                                                         | Defines a 4-bit bitvector
Method      | Z0.BitVector4.op_ExclusiveOr(Z0.BitVector4@,Z0.BitVector4@)           | Computes the XOR of the source operands.             Note that this operator is equivalent to the addition operator (+)
Method      | Z0.BitVector4.op_BitwiseAnd(Z0.BitVector4@,Z0.BitVector4@)            | Computes the bitwise AND of the source operands            Note that the AND operator is equivalent to the (*) operator
Method      | Z0.BitVector4.op_BitwiseOr(Z0.BitVector4@,Z0.BitVector4@)             | Computes the bitwise OR of the source operands
Method      | Z0.BitVector4.op_OnesComplement(Z0.BitVector4)                        | Computes the bitwise complement
Method      | Z0.BitVector4.op_Addition(Z0.BitVector4,Z0.BitVector4)                | Computes the arithmetic sum of the source operands.
Method      | Z0.BitVector4.op_Modulus(Z0.BitVector4,Z0.BitVector4)                 | Computes the scalar product of the operands
Method      | Z0.BitVector4.op_Subtraction(Z0.BitVector4,Z0.BitVector4)             | Subtracts the second operand from the first.
Method      | Z0.BitVector4.op_Equality(Z0.BitVector4,Z0.BitVector4)                | Determines whether operand content is identical
Method      | Z0.BitVector4.op_Inequality(Z0.BitVector4,Z0.BitVector4)              | Determines whether operand content is non-identical
Method      | Z0.BitVector4.op_LessThan(Z0.BitVector4,Z0.BitVector4)                | Determines whether the left operand is arithmetically less than the second
Method      | Z0.BitVector4.op_GreaterThan(Z0.BitVector4,Z0.BitVector4)             | Determines whether the left operand is arithmetically greater than than the second
Method      | Z0.BitVector4.op_LessThanOrEqual(Z0.BitVector4,Z0.BitVector4)         | Determines whether the left operand is arithmetically less than or equal to the second
Method      | Z0.BitVector4.op_GreaterThanOrEqual(Z0.BitVector4,Z0.BitVector4)      | Determines whether the left operand is arithmetically greater than or equal to the second
Property    | Z0.BitVector4.Scalar                                                  | Extracts the scalar represented by the vector
Property    | Z0.BitVector4.Width                                                   | The number of bits represented by the vector
Property    | Z0.BitVector4.Empty                                                   | Returns true if all bits are disabled, false otherwise
Property    | Z0.BitVector4.NonEmpty                                                | Returns true if at least one bit is enabled, false otherwise
Type        | Z0.BitVector64                                                        | Defines a 64-bit bitvector
Method      | Z0.BitVector64.op_Implicit(System.UInt64)~Z0.BitVector64              | Implicitly converts an unsigned 64-bit integer to a 64-bit bitvector
Method      | Z0.BitVector64.op_Implicit(Z0.BitVector64)~System.UInt64              | Implicitly converts a bitvector to a 64-bit unsigned integer
Method      | Z0.BitVector64.op_Explicit(Z0.BitVector64)~Z0.BitVector4              | Explicitly converts a a 64-bit bitvector to an 8-bit bitvector
Method      | Z0.BitVector64.op_Explicit(Z0.BitVector64)~Z0.BitVector8              | Explicitly converts a a 64-bit bitvector to an 8-bit bitvector
Method      | Z0.BitVector64.op_Explicit(Z0.BitVector64)~Z0.BitVector16             | Explicitly converts a a 64-bit bitvector to a 16-bit bitvector
Method      | Z0.BitVector64.op_Explicit(Z0.BitVector64)~Z0.BitVector32             | Explicitly converts a a 64-bit bitvector to a 32-bit bitvector
Method      | Z0.BitVector64.op_Implicit(System.Byte)~Z0.BitVector64                | Implicitly converts a scalar value to a 64-bit bitvector
Method      | Z0.BitVector64.op_Implicit(System.UInt16)~Z0.BitVector64              | Implicitly converts a scalar value to a 64-bit bitvector
Method      | Z0.BitVector64.op_Implicit(System.UInt32)~Z0.BitVector64              | Implicitly converts a scalar value to a 64-bit bitvector
Method      | Z0.BitVector64.op_ExclusiveOr(Z0.BitVector64,Z0.BitVector64)          | Computes the bitwise XOR of the source operands            Note that the XOR operator is equivalent to the (+) operator
Method      | Z0.BitVector64.op_BitwiseAnd(Z0.BitVector64,Z0.BitVector64)           | Computes the bitwise AND of the source operands
Method      | Z0.BitVector64.op_BitwiseOr(Z0.BitVector64,Z0.BitVector64)            | Computes the bitwise OR of the source operands
Method      | Z0.BitVector64.op_Modulus(Z0.BitVector64,Z0.BitVector64)              | Computes the scalar product of the operands
Method      | Z0.BitVector64.op_Addition(Z0.BitVector64,Z0.BitVector64)             | Computes the arithmetic sum of the source operands.
Method      | Z0.BitVector64.op_OnesComplement(Z0.BitVector64)                      | Computes the bitwise complement of the operand
Method      | Z0.BitVector64.op_UnaryNegation(Z0.BitVector64)                       | Negates the operand via two's complement
Method      | Z0.BitVector64.op_Subtraction(Z0.BitVector64,Z0.BitVector64)          | Arithmetically subtracts the second operand from the first.
Method      | Z0.BitVector64.op_LeftShift(Z0.BitVector64,System.Int32)              | Shifts the source bits leftwards
Method      | Z0.BitVector64.op_RightShift(Z0.BitVector64,System.Int32)             | Shifts the source bits rightwards
Method      | Z0.BitVector64.op_Increment(Z0.BitVector64)                           | Increments the vector arithmetically
Method      | Z0.BitVector64.op_Decrement(Z0.BitVector64)                           | Decrements the vector arithmetically
Method      | Z0.BitVector64.op_True(Z0.BitVector64)                                | Returns true if the source vector is nonzero, false otherwise
Method      | Z0.BitVector64.op_False(Z0.BitVector64)                               | Returns false if the source vector is the zero vector, false otherwise
Method      | Z0.BitVector64.op_LogicalNot(Z0.BitVector64)                          | Computes the operand's logical negation: if x = 0 then 1 else 0
