Field       | Z0.Mkl.VmlAccuracy.LowAccuracy                                        | Selects low accuracy VML functions
Field       | Z0.Mkl.VmlAccuracy.HighAccuracy                                       | Selects high accuracy VML functions
Field       | Z0.Mkl.VmlAccuracy.HighAccuracyP                                      | Selects enhanced performance, high accuracy VML functions
Field       | Z0.Mkl.VmlErrorMode.IgnoreErrors                                      | Indicates errors are ignored
Field       | Z0.Mkl.VmlErrorMode.ErrorNumber                                       | Indicates errno variable is set whenever there is an error
Field       | Z0.Mkl.VmlErrorMode.StdErr                                            | Indicates error messages are written to standard error output
Field       | Z0.Mkl.VmlErrorMode.RaiseException                                    | Indicates an exception is raised when there is an error
Field       | Z0.Mkl.VmlErrorMode.ErrorCallback                                     | Indicates a user-speccified error handler is invoked
Field       | Z0.Mkl.VmlErrorMode.PretendNoError                                    | Ignore errors and do not update error status
Type        | Z0.Mkl.VmlMask                                                        | Accuracy, floating-point and error handling control are packed in the VML mode variable.
Field       | Z0.Mkl.VmlMask.Accuracy                                               | Extract accuracy bits
Field       | Z0.Mkl.VmlMask.FpuMode                                                | Extract floating-point control bits
Field       | Z0.Mkl.VmlMask.ErrorMode                                              | Extract error handling control bits, including error callback bits
Field       | Z0.Mkl.VmlMask.ErrorModeStdHandler                                    | Extract error handling control bits, not including error callback bits
Field       | Z0.Mkl.VmlMask.ErrorModeCallback                                      | Extract error callback bits
Field       | Z0.Mkl.VmlMask.OmpThreadCount                                         | Extract OpenMP(R) number of threads mode bits
Field       | Z0.Mkl.VmlMask.FTZDAZ                                                 | Extract FTZ and DAZ bits
Field       | Z0.Mkl.VmlMask.TrapExceptions                                         | Extract exception trap bits
Field       | Z0.Mkl.VmlModeFlags.DefaultRounding                                   | Selects the default/current precision mode
Field       | Z0.Mkl.VmlModeFlags.F32Rounding                                       | Selects acccuracy/rounding mode constistent with 32-bit floating point
Field       | Z0.Mkl.VmlModeFlags.F64Rounding                                       | Selects acccuracy/rounding mode constistent with 64-bit floating point
Field       | Z0.Mkl.VmlModeFlags.RestoreRounding                                   | Selects the prior precision mode
Field       | Z0.Mkl.VmlModeFlags.LowAccuracy                                       | Selects low accuracy VML functions
Field       | Z0.Mkl.VmlModeFlags.HighAccuracy                                      | Selects high accuracy VML functions
Field       | Z0.Mkl.VmlModeFlags.HighAccuracyP                                     | Selects enhanced performance, high accuracy VML functions
Field       | Z0.Mkl.VmlModeFlags.IgnoreErrors                                      | Indicates errors are ignored
Field       | Z0.Mkl.VmlModeFlags.ErrorNumber                                       | Indicates errno variable is set whenever there is an error
Field       | Z0.Mkl.VmlModeFlags.StdErr                                            | Indicates error messages are written to standard error output
Field       | Z0.Mkl.VmlModeFlags.RaiseException                                    | Indicates an exception is raised when there is an error
Field       | Z0.Mkl.VmlModeFlags.ErrorCallback                                     | Indicates a user-speccified error handler is invoked
Field       | Z0.Mkl.VmlModeFlags.PretendNoError                                    | Ignore errors and do not update error status
Field       | Z0.Mkl.VmlPrecision.DefaultRounding                                   | Selects the default/current precision mode
Field       | Z0.Mkl.VmlPrecision.F32Rounding                                       | Selects acccuracy/rounding mode constistent with 32-bit floating point
Field       | Z0.Mkl.VmlPrecision.F64Rounding                                       | Selects acccuracy/rounding mode constistent with 64-bit floating point
Field       | Z0.Mkl.VmlPrecision.RestoreRounding                                   | Selects the prior precision mode
Field       | Z0.Mkl.VslSSMatrixStorage.VSL_SS_MATRIX_STORAGE_ROWS                  | Observation vectors are organized by rows. For example, 10 observations            in dimension 3 will conform to a 10 row 3 column matrix
Field       | Z0.Mkl.VslSSMatrixStorage.VSL_SS_MATRIX_STORAGE_COLS                  | Observation vectors are organized by columns. For example, 10 observations            in dimension 3 will conform to a 3 row by 10 column matrix
Type        | Z0.Mkl.VslGaussianMVMethod                                            | Multivariate (correlated) normal random number generator is based on uncorrelated             Gaussian random number generator (see vslsRngGaussian and vsldRngGaussian functions)
Field       | Z0.Mkl.VslGaussianMVMethod.BoxMuller1                                 | BOXMULLER  generates normally distributed random number x thru the pair of uniformly distributed             numbers u1 and u2 according to the formula: x=sqrt(-ln(u1))*sin(2*Pi*u2)
Field       | Z0.Mkl.VslGaussianMVMethod.BoxMuller2                                 | generates pair of normally distributed random numbers x1 and x2 thru the pair of uniformly             dustributed numbers u1 and u2 according to the formula x1=sqrt(-ln(u1))*sin(2*Pi*u2)             and x2=sqrt(-ln(u1))*cos(2*Pi*u2)
Field       | Z0.Mkl.VslGaussianMVMethod.ICDF                                       | inverse cumulative distribution function method
Type        | Z0.Mkl.VslMatrixStorage                                               | Some multivariate random number generators, e.g. GaussianMV, operate             with matrix parameters. To optimize matrix parameters usage VSL offers             following matrix storage schemes. (See VSL documentation for more details).
Field       | Z0.Mkl.VslMatrixStorage.Full                                          | Whole matrix is stored
Field       | Z0.Mkl.VslMatrixStorage.Packed                                        | Lower/higher triangular matrix is packed in 1-dimensional array
Field       | Z0.Mkl.VslMatrixStorage.Diagonal                                      | Diagonal elements are packed in 1-dimensional array
Field       | Z0.Mkl.VslPoissonMethod.PTPE                                          | Pif lambda&gt;=27, acceptance/rejection method is used with decomposition onto 4 regions:             - 2 parallelograms;             - triangle;             - left exponential tail;             - right exponential tail.             othewise table lookup method is used
Field       | Z0.Mkl.VslRngMethod.VSL_RNG_METHOD_GAUSSIAN_BOXMULLER                 | Generates normally distributed random number x thru the pair of uniformly distributed numbers u1 and u2 according to the formula:            x=sqrt(-ln(u1))*sin(2*Pi*u2)
Field       | Z0.Mkl.VslRngMethod.VSL_RNG_METHOD_GAUSSIAN_BOXMULLER2                | Generates pair of normally distributed random numbers x1 and x2 thru the pair of uniformly distributed numbers u1 and u2            according to the formula             x1=sqrt(-ln(u1))*sin(2*Pi*u2)            x2=sqrt(-ln(u1))*cos(2*Pi*u2)            NOTE: implementation correctly works with odd vector lengths
Field       | Z0.Mkl.VslRngMethod.VSL_RNG_METHOD_GAUSSIAN_ICDF                      | inverse cumulative distribution function method
Type        | Z0.Mkl.VslSSComputeMethod                                             | SS routines provide computation of basic statistical estimates            (central/raw moments up to 4th order, variance-covariance,             minimum, maximum, skewness/kurtosis) using the following methods
Field       | Z0.Mkl.VslSSComputeMethod.VSL_SS_METHOD_FAST                          | Estimates are computed for price of one or two passes over observations using highly optimized Intel(R) MKL routines
Field       | Z0.Mkl.VslSSComputeMethod.VSL_SS_METHOD_1PASS                         | Estimate is computed for price of one pass of the observations
Field       | Z0.Mkl.VslSSComputeMethod.VSL_SS_METHOD_FAST_USER_MEAN                | Estimates are computed for price of one or two passes over observations given user defined mean for central moments, covariance and correlation
Field       | Z0.Mkl.VslSSComputeMethod.VSL_SS_METHOD_CP_TO_COVCOR                  | Convert cross-product matrix to variance-covariance/correlation matrix
Field       | Z0.Mkl.VslSSComputeMethod.VSL_SS_METHOD_SUM_TO_MOM                    | Convert raw/central sums to raw/central moments
Field       | Z0.Mkl.VslSSComputeMethod.VSL_SS_METHOD_SD                            | Parametrization of correlation matrix using spectral decomposition method
Field       | Z0.Mkl.VslSSComputeMethod.VSL_SS_METHOD_TBS                           | Robust estimation of variance-covariance matrix and mean supports Rocke algorithm, TBS-estimator
Field       | Z0.Mkl.VslSSComputeMethod.VSL_SS_METHOD_MI                            | SS routine for estimation of missing values supports Multiple Imputation (MI) method
Field       | Z0.Mkl.VslSSComputeMethod.VSL_SS_METHOD_BACON                         | SS provides routine for detection of outliers, BACON method
Field       | Z0.Mkl.VslSSComputeMethod.VSL_SS_METHOD_SQUANTS_ZW                    | Streaming: intermediate estimates of quantiles during processing the next block are computed
Field       | Z0.Mkl.VslSSComputeMethod.VSL_SS_METHOD_SQUANTS_ZW_FAST               | Streaming: intermediate estimates of quantiles during processing the next block are not computed
Field       | Z0.Mkl.VslSSComputeMethod.VSL_SS_METHOD_RADIX                         | Sorting using the radix method
Field       | Z0.Mkl.VslSSComputeRoutine.VSL_SS_MEAN                                | Computes the array of means.
Field       | Z0.Mkl.VslSSComputeRoutine.VSL_SS_2R_MOM                              | Computes the array of the 2nd order raw moments
Field       | Z0.Mkl.VslSSComputeRoutine.VSL_SS_3R_MOM                              | Computes the array of the 3rd order raw moments
Field       | Z0.Mkl.VslSSComputeRoutine.VSL_SS_4R_MOM                              | Computes the array of the 4th order raw moments
Field       | Z0.Mkl.VslSSComputeRoutine.VSL_SS_2C_MOM                              | Computes the array of central sums of the 2nd order
Field       | Z0.Mkl.VslSSComputeRoutine.VSL_SS_3C_MOM                              | 
Field       | Z0.Mkl.VslSSComputeRoutine.VSL_SS_4C_MOM                              | 
Field       | Z0.Mkl.VslSSComputeRoutine.VSL_SS_SUM                                 | Computes the array of sums
Field       | Z0.Mkl.VslSSComputeRoutine.VSL_SS_2R_SUM                              | Computes the array of raw sums of the 2nd order
Field       | Z0.Mkl.VslSSComputeRoutine.VSL_SS_3R_SUM                              | 
Field       | Z0.Mkl.VslSSComputeRoutine.VSL_SS_4R_SUM                              | 
Field       | Z0.Mkl.VslSSComputeRoutine.VSL_SS_2C_SUM                              | 
Field       | Z0.Mkl.VslSSComputeRoutine.VSL_SS_3C_SUM                              | 
Field       | Z0.Mkl.VslSSComputeRoutine.VSL_SS_4C_SUM                              | 
Field       | Z0.Mkl.VslSSComputeRoutine.VSL_SS_KURTOSIS                            | Computes the array of kurtosis values
Field       | Z0.Mkl.VslSSComputeRoutine.VSL_SS_SKEWNESS                            | Computes the array of skewness values
Field       | Z0.Mkl.VslSSComputeRoutine.VSL_SS_VARIATION                           | Computes the array of variation coefficients
Field       | Z0.Mkl.VslSSComputeRoutine.VSL_SS_MIN                                 | For each dimension, finds the minimum sample value
Field       | Z0.Mkl.VslSSComputeRoutine.VSL_SS_MAX                                 | For each dimension, finds the maximum sample value
Field       | Z0.Mkl.VslSSComputeRoutine.VSL_SS_COV                                 | Computes a covariance matrix.
Field       | Z0.Mkl.VslSSComputeRoutine.VSL_SS_COR                                 | Computes a correlation matrix. The main diagonal of the correlation matrix holds             variances of the random vector components
Field       | Z0.Mkl.VslSSComputeRoutine.VSL_SS_CP                                  | Computes a cross-product matrix
Field       | Z0.Mkl.VslSSComputeRoutine.VSL_SS_POOLED_COV                          | 
Field       | Z0.Mkl.VslSSComputeRoutine.VSL_SS_GROUP_COV                           | 
Field       | Z0.Mkl.VslSSComputeRoutine.VSL_SS_POOLED_MEAN                         | 
Field       | Z0.Mkl.VslSSComputeRoutine.VSL_SS_GROUP_MEAN                          | 
Field       | Z0.Mkl.VslSSComputeRoutine.VSL_SS_QUANTS                              | Computes quantiles
Field       | Z0.Mkl.VslSSComputeRoutine.VSL_SS_ORDER_STATS                         | Computes order statistics
Field       | Z0.Mkl.VslSSComputeRoutine.VSL_SS_SORTED_OBSERV                       | 
Field       | Z0.Mkl.VslSSComputeRoutine.VSL_SS_ROBUST_COV                          | Computes a robust covariance matrix
Field       | Z0.Mkl.VslSSComputeRoutine.VSL_SS_OUTLIERS                            | Detects outliers in the dataset
Field       | Z0.Mkl.VslSSComputeRoutine.VSL_SS_PARTIAL_COV                         | Computes a partial covariance matrix.
Field       | Z0.Mkl.VslSSComputeRoutine.VSL_SS_PARTIAL_COR                         | Computes a partial correlation matrix
Field       | Z0.Mkl.VslSSComputeRoutine.VSL_SS_MISSING_VALS                        | Supports missing values in datasets.
Field       | Z0.Mkl.VslSSComputeRoutine.VSL_SS_PARAMTR_COR                         | Computes a parameterized correlation matrix.
Field       | Z0.Mkl.VslSSComputeRoutine.VSL_SS_STREAM_QUANTS                       | Computes quantiles for streaming data.
Field       | Z0.Mkl.VslSSComputeRoutine.VSL_SS_MDAD                                | Computes median absolute deviation
Field       | Z0.Mkl.VslSSComputeRoutine.VSL_SS_MNAD                                | Computes mean absolute deviation
Type        | Z0.Mkl.VslSSStatus                                                    | Defines summary statistic status codes
Field       | Z0.Mkl.VslSSStatus.VSL_SS_OK                                          | Everything is OK
Field       | Z0.Mkl.VslSSStatus.VSL_SS_NOT_FULL_RANK_MATRIX                        | Correlation matrix is not of full rank.
Field       | Z0.Mkl.VslSSStatus.VSL_SS_SEMIDEFINITE_COR                            | Correlation matrix passed into the parameterization function is semi-definite.
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_ALLOCATION_FAILURE                    | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_DIMEN                             | Dimension value is invalid.
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_OBSERV_N                          | Invalid number (zero or negative) of observations was obtained
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_STORAGE_NOT_SUPPORTED                 | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_INDC_ADDR                         | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_WEIGHTS                           | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_MEAN_ADDR                         | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_2R_MOM_ADDR                       | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_3R_MOM_ADDR                       | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_4R_MOM_ADDR                       | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_2C_MOM_ADDR                       | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_3C_MOM_ADDR                       | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_4C_MOM_ADDR                       | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_KURTOSIS_ADDR                     | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_SKEWNESS_ADDR                     | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_MIN_ADDR                          | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_MAX_ADDR                          | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_VARIATION_ADDR                    | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_COV_ADDR                          | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_COR_ADDR                          | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_ACCUM_WEIGHT_ADDR                 | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_QUANT_ORDER_ADDR                  | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_QUANT_ORDER                       | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_QUANT_ADDR                        | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_ORDER_STATS_ADDR                  | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_MOMORDER_NOT_SUPPORTED                | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_ALL_OBSERVS_OUTLIERS                  | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_ROBUST_COV_ADDR                   | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_ROBUST_MEAN_ADDR                  | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_METHOD_NOT_SUPPORTED                  | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_GROUP_INDC_ADDR                   | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_NULL_TASK_DESCRIPTOR                  | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_OBSERV_ADDR                       | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_SINGULAR_COV                          | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_POOLED_COV_ADDR                   | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_POOLED_MEAN_ADDR                  | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_GROUP_COV_ADDR                    | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_GROUP_MEAN_ADDR                   | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_GROUP_INDC                        | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_OUTLIERS_PARAMS_ADDR              | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_OUTLIERS_PARAMS_N_ADDR            | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_OUTLIERS_WEIGHTS_ADDR             | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_ROBUST_COV_PARAMS_ADDR            | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_ROBUST_COV_PARAMS_N_ADDR          | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_STORAGE_ADDR                      | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_PARTIAL_COV_IDX_ADDR              | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_PARTIAL_COV_ADDR                  | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_PARTIAL_COR_ADDR                  | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_MI_PARAMS_ADDR                    | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_MI_PARAMS_N_ADDR                  | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_MI_BAD_PARAMS_N                   | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_MI_PARAMS                         | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_MI_INIT_ESTIMATES_N_ADDR          | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_MI_INIT_ESTIMATES_ADDR            | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_MI_SIMUL_VALS_ADDR                | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_MI_SIMUL_VALS_N_ADDR              | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_MI_ESTIMATES_N_ADDR               | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_MI_ESTIMATES_ADDR                 | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_MI_SIMUL_VALS_N                   | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_MI_ESTIMATES_N                    | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_MI_OUTPUT_PARAMS                  | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_MI_PRIOR_N_ADDR                   | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_MI_PRIOR_ADDR                     | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_MI_MISSING_VALS_N                 | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_STREAM_QUANT_PARAMS_N_ADDR        | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_STREAM_QUANT_PARAMS_ADDR          | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_STREAM_QUANT_PARAMS_N             | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_STREAM_QUANT_PARAMS               | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_STREAM_QUANT_ORDER_ADDR           | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_STREAM_QUANT_ORDER                | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_STREAM_QUANT_ADDR                 | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_PARAMTR_COR_ADDR                  | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_COR                               | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_PARTIAL_COV_IDX                   | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_SUM_ADDR                          | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_2R_SUM_ADDR                       | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_3R_SUM_ADDR                       | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_4R_SUM_ADDR                       | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_2C_SUM_ADDR                       | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_3C_SUM_ADDR                       | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_4C_SUM_ADDR                       | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_CP_ADDR                           | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_MDAD_ADDR                         | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_MNAD_ADDR                         | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_BAD_SORTED_OBSERV_ADDR                | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_INDICES_NOT_SUPPORTED                 | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_ROBCOV_INTERN_C1                      | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_PARTIALCOV_INTERN_C1                  | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_PARTIALCOV_INTERN_C2                  | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_MISSINGVALS_INTERN_C1                 | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_MISSINGVALS_INTERN_C2                 | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_MISSINGVALS_INTERN_C3                 | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_MISSINGVALS_INTERN_C4                 | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_MISSINGVALS_INTERN_C5                 | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_PARAMTRCOR_INTERN_C1                  | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_COVRANK_INTERNAL_ERROR_C1             | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_INVCOV_INTERNAL_ERROR_C1              | 
Field       | Z0.Mkl.VslSSStatus.VSL_SS_ERROR_INVCOV_INTERNAL_ERROR_C2              | 
Field       | Z0.Mkl.VslSSTaskParameter.VSL_SS_ED_DIMEN                             | Address of a variable that holds the task dimension
Field       | Z0.Mkl.VslSSTaskParameter.VSL_SS_ED_OBSERV_N                          | Address of a variable that holds the number of observations
Field       | Z0.Mkl.VslSSTaskParameter.VSL_SS_ED_OBSERV                            | Address of the observation matrix
Field       | Z0.Mkl.VslSSTaskParameter.VSL_SS_ED_OBSERV_STORAGE                    | Address of a variable that holds the storage format for the observation matrix
Field       | Z0.Mkl.VslSSTaskParameter.VSL_SS_ED_INDC                              | Address of the array of indices
Field       | Z0.Mkl.VslSSTaskParameter.VSL_SS_ED_WEIGHTS                           | Address of the array of observation weights
Field       | Z0.Mkl.VslSSTaskParameter.VSL_SS_ED_MEAN                              | Address of the array of means
Field       | Z0.Mkl.VslSSTaskParameter.VSL_SS_ED_2R_MOM                            | Address of an array of raw moments of the second order
Field       | Z0.Mkl.VslSSTaskParameter.VSL_SS_ED_3R_MOM                            | Address of an array of raw moments of the third order
Field       | Z0.Mkl.VslSSTaskParameter.VSL_SS_ED_4R_MOM                            | Address of an array of raw moments of the fourth order
Field       | Z0.Mkl.VslSSTaskParameter.VSL_SS_ED_2C_MOM                            | 
Field       | Z0.Mkl.VslSSTaskParameter.VSL_SS_ED_3C_MOM                            | 
Field       | Z0.Mkl.VslSSTaskParameter.VSL_SS_ED_4C_MOM                            | 
Field       | Z0.Mkl.VslSSTaskParameter.VSL_SS_ED_SUM                               | Address of array of sums
Field       | Z0.Mkl.VslSSTaskParameter.VSL_SS_ED_2R_SUM                            | Address of array of raw sums of 2nd order
Field       | Z0.Mkl.VslSSTaskParameter.VSL_SS_ED_3R_SUM                            | Address of array of raw sums of 3rd order
Field       | Z0.Mkl.VslSSTaskParameter.VSL_SS_ED_4R_SUM                            | Address of array of raw sums of 4th order
Field       | Z0.Mkl.VslSSTaskParameter.VSL_SS_ED_2C_SUM                            | 
Field       | Z0.Mkl.VslSSTaskParameter.VSL_SS_ED_3C_SUM                            | 
Field       | Z0.Mkl.VslSSTaskParameter.VSL_SS_ED_4C_SUM                            | 
Field       | Z0.Mkl.VslSSTaskParameter.VSL_SS_ED_KURTOSIS                          | Address of the array of kurtosis estimates
Field       | Z0.Mkl.VslSSTaskParameter.VSL_SS_ED_SKEWNESS                          | Address of the array of skewness estimates
Field       | Z0.Mkl.VslSSTaskParameter.VSL_SS_ED_MIN                               | Address of the array of minimum estimates
Field       | Z0.Mkl.VslSSTaskParameter.VSL_SS_ED_MAX                               | Address of the array of maximum estimates
Field       | Z0.Mkl.VslSSTaskParameter.VSL_SS_ED_VARIATION                         | Address of the array of variation coefficients
Field       | Z0.Mkl.VslSSTaskParameter.VSL_SS_ED_COV                               | Address of a covariance matrix
Field       | Z0.Mkl.VslSSTaskParameter.VSL_SS_ED_COV_STORAGE                       | Address of the variable that holds the storage format for a covariance matrix
Field       | Z0.Mkl.VslSSTaskParameter.VSL_SS_ED_COR                               | Address of a correlation matrix
Field       | Z0.Mkl.VslSSTaskParameter.VSL_SS_ED_COR_STORAGE                       | Address of the variable that holds the storage format for a correlation matrix
Field       | Z0.Mkl.VslSSTaskParameter.VSL_SS_ED_CP                                | Address of cross-product matrix
Field       | Z0.Mkl.VslSSTaskParameter.VSL_SS_ED_CP_STORAGE                        | 
Field       | Z0.Mkl.VslSSTaskParameter.VSL_SS_ED_ACCUM_WEIGHT                      | 
Field       | Z0.Mkl.VslSSTaskParameter.VSL_SS_ED_QUANT_ORDER_N                     | 
Field       | Z0.Mkl.VslSSTaskParameter.VSL_SS_ED_QUANT_ORDER                       | 
Field       | Z0.Mkl.VslSSTaskParameter.VSL_SS_ED_QUANT_QUANTILES                   | 
Field       | Z0.Mkl.VslSSTaskParameter.VSL_SS_ED_ORDER_STATS                       | 
Field       | Z0.Mkl.VslSSTaskParameter.VSL_SS_ED_POOLED_COV_STORAGE                | 
Field       | Z0.Mkl.VslSSTaskParameter.VSL_SS_ED_POOLED_MEAN                       | 
Field       | Z0.Mkl.VslSSTaskParameter.VSL_SS_ED_POOLED_COV                        | 
Field       | Z0.Mkl.VslSSTaskParameter.VSL_SS_ED_GROUP_COV_INDC                    | Address of an array of indices for which covariance/means should be computed
Field       | Z0.Mkl.VslSSTaskParameter.VSL_SS_ED_REQ_GROUP_INDC                    | Address of an array of indices for which group estimates such as covariance or means are requested
Field       | Z0.Mkl.VslSSTaskParameter.VSL_SS_ED_GROUP_MEAN                        | 
Field       | Z0.Mkl.VslSSTaskParameter.VSL_SS_ED_GROUP_COV_STORAGE                 | 
Field       | Z0.Mkl.VslSSTaskParameter.VSL_SS_ED_GROUP_COV                         | 
Field       | Z0.Mkl.VslSSTaskParameter.VSL_SS_ED_ROBUST_COV_STORAGE                | 
Field       | Z0.Mkl.VslSSTaskParameter.VSL_SS_ED_ROBUST_COV_PARAMS_N               | 
Field       | Z0.Mkl.VslSSTaskParameter.VSL_SS_ED_ROBUST_COV_PARAMS                 | 
