Type        | PartId                                                                | Defines identifiers for assemblies that comprise this ... monstrosity?
Field       | Z0.Asm.OpCodeId.Xor_RAX_imm32                                         | <c>XOR RAX, imm32</c><br />            <br />            <c>REX.W 35 id</c><br />            <br />            <c>X64</c><br />            <br />            <c>64-bit</c>
Field       | Z0.Asm.OpCodeId.Aaa                                                   | <c>AAA</c><br />            <br />            <c>37</c><br />            <br />            <c>8086+</c><br />            <br />            <c>16/32-bit</c>
Field       | Z0.Asm.OpCodeId.Cmp_rm8_r8                                            | <c>CMP r/m8, r8</c><br />            <br />            <c>38 /r</c><br />            <br />            <c>8086+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Cmp_rm16_r16                                          | <c>CMP r/m16, r16</c><br />            <br />            <c>o16 39 /r</c><br />            <br />            <c>8086+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Cmp_rm32_r32                                          | <c>CMP r/m32, r32</c><br />            <br />            <c>o32 39 /r</c><br />            <br />            <c>386+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Cmp_rm64_r64                                          | <c>CMP r/m64, r64</c><br />            <br />            <c>REX.W 39 /r</c><br />            <br />            <c>X64</c><br />            <br />            <c>64-bit</c>
Field       | Z0.Asm.OpCodeId.Cmp_r8_rm8                                            | <c>CMP r8, r/m8</c><br />            <br />            <c>3A /r</c><br />            <br />            <c>8086+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Cmp_r16_rm16                                          | <c>CMP r16, r/m16</c><br />            <br />            <c>o16 3B /r</c><br />            <br />            <c>8086+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Cmp_r32_rm32                                          | <c>CMP r32, r/m32</c><br />            <br />            <c>o32 3B /r</c><br />            <br />            <c>386+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Cmp_r64_rm64                                          | <c>CMP r64, r/m64</c><br />            <br />            <c>REX.W 3B /r</c><br />            <br />            <c>X64</c><br />            <br />            <c>64-bit</c>
Field       | Z0.Asm.OpCodeId.Cmp_AL_imm8                                           | <c>CMP AL, imm8</c><br />            <br />            <c>3C ib</c><br />            <br />            <c>8086+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Cmp_AX_imm16                                          | <c>CMP AX, imm16</c><br />            <br />            <c>o16 3D iw</c><br />            <br />            <c>8086+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Cmp_EAX_imm32                                         | <c>CMP EAX, imm32</c><br />            <br />            <c>o32 3D id</c><br />            <br />            <c>386+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Cmp_RAX_imm32                                         | <c>CMP RAX, imm32</c><br />            <br />            <c>REX.W 3D id</c><br />            <br />            <c>X64</c><br />            <br />            <c>64-bit</c>
Field       | Z0.Asm.OpCodeId.Aas                                                   | <c>AAS</c><br />            <br />            <c>3F</c><br />            <br />            <c>8086+</c><br />            <br />            <c>16/32-bit</c>
Field       | Z0.Asm.OpCodeId.Inc_r16                                               | <c>INC r16</c><br />            <br />            <c>o16 40+rw</c><br />            <br />            <c>8086+</c><br />            <br />            <c>16/32-bit</c>
Field       | Z0.Asm.OpCodeId.Inc_r32                                               | <c>INC r32</c><br />            <br />            <c>o32 40+rd</c><br />            <br />            <c>386+</c><br />            <br />            <c>16/32-bit</c>
Field       | Z0.Asm.OpCodeId.Dec_r16                                               | <c>DEC r16</c><br />            <br />            <c>o16 48+rw</c><br />            <br />            <c>8086+</c><br />            <br />            <c>16/32-bit</c>
Field       | Z0.Asm.OpCodeId.Dec_r32                                               | <c>DEC r32</c><br />            <br />            <c>o32 48+rd</c><br />            <br />            <c>386+</c><br />            <br />            <c>16/32-bit</c>
Field       | Z0.Asm.OpCodeId.Push_r16                                              | <c>PUSH r16</c><br />            <br />            <c>o16 50+rw</c><br />            <br />            <c>8086+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Push_r32                                              | <c>PUSH r32</c><br />            <br />            <c>o32 50+rd</c><br />            <br />            <c>386+</c><br />            <br />            <c>16/32-bit</c>
Field       | Z0.Asm.OpCodeId.Push_r64                                              | <c>PUSH r64</c><br />            <br />            <c>50+ro</c><br />            <br />            <c>X64</c><br />            <br />            <c>64-bit</c>
Field       | Z0.Asm.OpCodeId.Pop_r16                                               | <c>POP r16</c><br />            <br />            <c>o16 58+rw</c><br />            <br />            <c>8086+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Pop_r32                                               | <c>POP r32</c><br />            <br />            <c>o32 58+rd</c><br />            <br />            <c>386+</c><br />            <br />            <c>16/32-bit</c>
Field       | Z0.Asm.OpCodeId.Pop_r64                                               | <c>POP r64</c><br />            <br />            <c>58+ro</c><br />            <br />            <c>X64</c><br />            <br />            <c>64-bit</c>
Field       | Z0.Asm.OpCodeId.Pushaw                                                | <c>PUSHA</c><br />            <br />            <c>o16 60</c><br />            <br />            <c>186+</c><br />            <br />            <c>16/32-bit</c>
Field       | Z0.Asm.OpCodeId.Pushad                                                | <c>PUSHAD</c><br />            <br />            <c>o32 60</c><br />            <br />            <c>386+</c><br />            <br />            <c>16/32-bit</c>
Field       | Z0.Asm.OpCodeId.Popaw                                                 | <c>POPA</c><br />            <br />            <c>o16 61</c><br />            <br />            <c>186+</c><br />            <br />            <c>16/32-bit</c>
Field       | Z0.Asm.OpCodeId.Popad                                                 | <c>POPAD</c><br />            <br />            <c>o32 61</c><br />            <br />            <c>386+</c><br />            <br />            <c>16/32-bit</c>
Field       | Z0.Asm.OpCodeId.Bound_r16_m1616                                       | <c>BOUND r16, m16&amp;16</c><br />            <br />            <c>o16 62 /r</c><br />            <br />            <c>186+</c><br />            <br />            <c>16/32-bit</c>
Field       | Z0.Asm.OpCodeId.Bound_r32_m3232                                       | <c>BOUND r32, m32&amp;32</c><br />            <br />            <c>o32 62 /r</c><br />            <br />            <c>386+</c><br />            <br />            <c>16/32-bit</c>
Field       | Z0.Asm.OpCodeId.Arpl_rm16_r16                                         | <c>ARPL r/m16, r16</c><br />            <br />            <c>o16 63 /r</c><br />            <br />            <c>286+</c><br />            <br />            <c>16/32-bit</c>
Field       | Z0.Asm.OpCodeId.Arpl_r32m16_r32                                       | <c>ARPL r32/m16, r32</c><br />            <br />            <c>o32 63 /r</c><br />            <br />            <c>386+</c><br />            <br />            <c>16/32-bit</c>
Field       | Z0.Asm.OpCodeId.Movsxd_r16_rm16                                       | <c>MOVSXD r16, r/m16</c><br />            <br />            <c>o16 63 /r</c><br />            <br />            <c>X64</c><br />            <br />            <c>64-bit</c>
Field       | Z0.Asm.OpCodeId.Movsxd_r32_rm32                                       | <c>MOVSXD r32, r/m32</c><br />            <br />            <c>o32 63 /r</c><br />            <br />            <c>X64</c><br />            <br />            <c>64-bit</c>
Field       | Z0.Asm.OpCodeId.Movsxd_r64_rm32                                       | <c>MOVSXD r64, r/m32</c><br />            <br />            <c>REX.W 63 /r</c><br />            <br />            <c>X64</c><br />            <br />            <c>64-bit</c>
Field       | Z0.Asm.OpCodeId.Push_imm16                                            | <c>PUSH imm16</c><br />            <br />            <c>o16 68 iw</c><br />            <br />            <c>186+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Pushd_imm32                                           | <c>PUSH imm32</c><br />            <br />            <c>o32 68 id</c><br />            <br />            <c>386+</c><br />            <br />            <c>16/32-bit</c>
Field       | Z0.Asm.OpCodeId.Pushq_imm32                                           | <c>PUSH imm32</c><br />            <br />            <c>68 id</c><br />            <br />            <c>X64</c><br />            <br />            <c>64-bit</c>
Field       | Z0.Asm.OpCodeId.Imul_r16_rm16_imm16                                   | <c>IMUL r16, r/m16, imm16</c><br />            <br />            <c>o16 69 /r iw</c><br />            <br />            <c>186+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Imul_r32_rm32_imm32                                   | <c>IMUL r32, r/m32, imm32</c><br />            <br />            <c>o32 69 /r id</c><br />            <br />            <c>386+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Imul_r64_rm64_imm32                                   | <c>IMUL r64, r/m64, imm32</c><br />            <br />            <c>REX.W 69 /r id</c><br />            <br />            <c>X64</c><br />            <br />            <c>64-bit</c>
Field       | Z0.Asm.OpCodeId.Pushw_imm8                                            | <c>PUSH imm8</c><br />            <br />            <c>o16 6A ib</c><br />            <br />            <c>186+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Pushd_imm8                                            | <c>PUSH imm8</c><br />            <br />            <c>o32 6A ib</c><br />            <br />            <c>386+</c><br />            <br />            <c>16/32-bit</c>
Field       | Z0.Asm.OpCodeId.Pushq_imm8                                            | <c>PUSH imm8</c><br />            <br />            <c>6A ib</c><br />            <br />            <c>X64</c><br />            <br />            <c>64-bit</c>
Field       | Z0.Asm.OpCodeId.Imul_r16_rm16_imm8                                    | <c>IMUL r16, r/m16, imm8</c><br />            <br />            <c>o16 6B /r ib</c><br />            <br />            <c>186+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Imul_r32_rm32_imm8                                    | <c>IMUL r32, r/m32, imm8</c><br />            <br />            <c>o32 6B /r ib</c><br />            <br />            <c>386+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Imul_r64_rm64_imm8                                    | <c>IMUL r64, r/m64, imm8</c><br />            <br />            <c>REX.W 6B /r ib</c><br />            <br />            <c>X64</c><br />            <br />            <c>64-bit</c>
Field       | Z0.Asm.OpCodeId.Insb_m8_DX                                            | <c>INSB</c><br />            <br />            <c>6C</c><br />            <br />            <c>186+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Insw_m16_DX                                           | <c>INSW</c><br />            <br />            <c>o16 6D</c><br />            <br />            <c>186+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Insd_m32_DX                                           | <c>INSD</c><br />            <br />            <c>o32 6D</c><br />            <br />            <c>386+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Outsb_DX_m8                                           | <c>OUTSB</c><br />            <br />            <c>6E</c><br />            <br />            <c>186+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Outsw_DX_m16                                          | <c>OUTSW</c><br />            <br />            <c>o16 6F</c><br />            <br />            <c>186+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Outsd_DX_m32                                          | <c>OUTSD</c><br />            <br />            <c>o32 6F</c><br />            <br />            <c>386+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Jo_rel8_16                                            | <c>JO rel8</c><br />            <br />            <c>o16 70 cb</c><br />            <br />            <c>8086+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Jo_rel8_32                                            | <c>JO rel8</c><br />            <br />            <c>o32 70 cb</c><br />            <br />            <c>386+</c><br />            <br />            <c>16/32-bit</c>
Field       | Z0.Asm.OpCodeId.Jo_rel8_64                                            | <c>JO rel8</c><br />            <br />            <c>70 cb</c><br />            <br />            <c>X64</c><br />            <br />            <c>64-bit</c>
Field       | Z0.Asm.OpCodeId.Jno_rel8_16                                           | <c>JNO rel8</c><br />            <br />            <c>o16 71 cb</c><br />            <br />            <c>8086+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Jno_rel8_32                                           | <c>JNO rel8</c><br />            <br />            <c>o32 71 cb</c><br />            <br />            <c>386+</c><br />            <br />            <c>16/32-bit</c>
Field       | Z0.Asm.OpCodeId.Jno_rel8_64                                           | <c>JNO rel8</c><br />            <br />            <c>71 cb</c><br />            <br />            <c>X64</c><br />            <br />            <c>64-bit</c>
Field       | Z0.Asm.OpCodeId.Jb_rel8_16                                            | <c>JB rel8</c><br />            <br />            <c>o16 72 cb</c><br />            <br />            <c>8086+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Jb_rel8_32                                            | <c>JB rel8</c><br />            <br />            <c>o32 72 cb</c><br />            <br />            <c>386+</c><br />            <br />            <c>16/32-bit</c>
Field       | Z0.Asm.OpCodeId.Jb_rel8_64                                            | <c>JB rel8</c><br />            <br />            <c>72 cb</c><br />            <br />            <c>X64</c><br />            <br />            <c>64-bit</c>
Field       | Z0.Asm.OpCodeId.Jae_rel8_16                                           | <c>JAE rel8</c><br />            <br />            <c>o16 73 cb</c><br />            <br />            <c>8086+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Jae_rel8_32                                           | <c>JAE rel8</c><br />            <br />            <c>o32 73 cb</c><br />            <br />            <c>386+</c><br />            <br />            <c>16/32-bit</c>
Field       | Z0.Asm.OpCodeId.Jae_rel8_64                                           | <c>JAE rel8</c><br />            <br />            <c>73 cb</c><br />            <br />            <c>X64</c><br />            <br />            <c>64-bit</c>
Field       | Z0.Asm.OpCodeId.Je_rel8_16                                            | <c>JE rel8</c><br />            <br />            <c>o16 74 cb</c><br />            <br />            <c>8086+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Je_rel8_32                                            | <c>JE rel8</c><br />            <br />            <c>o32 74 cb</c><br />            <br />            <c>386+</c><br />            <br />            <c>16/32-bit</c>
Field       | Z0.Asm.OpCodeId.Je_rel8_64                                            | <c>JE rel8</c><br />            <br />            <c>74 cb</c><br />            <br />            <c>X64</c><br />            <br />            <c>64-bit</c>
Field       | Z0.Asm.OpCodeId.Jne_rel8_16                                           | <c>JNE rel8</c><br />            <br />            <c>o16 75 cb</c><br />            <br />            <c>8086+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Jne_rel8_32                                           | <c>JNE rel8</c><br />            <br />            <c>o32 75 cb</c><br />            <br />            <c>386+</c><br />            <br />            <c>16/32-bit</c>
Field       | Z0.Asm.OpCodeId.Jne_rel8_64                                           | <c>JNE rel8</c><br />            <br />            <c>75 cb</c><br />            <br />            <c>X64</c><br />            <br />            <c>64-bit</c>
Field       | Z0.Asm.OpCodeId.Jbe_rel8_16                                           | <c>JBE rel8</c><br />            <br />            <c>o16 76 cb</c><br />            <br />            <c>8086+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Jbe_rel8_32                                           | <c>JBE rel8</c><br />            <br />            <c>o32 76 cb</c><br />            <br />            <c>386+</c><br />            <br />            <c>16/32-bit</c>
Field       | Z0.Asm.OpCodeId.Jbe_rel8_64                                           | <c>JBE rel8</c><br />            <br />            <c>76 cb</c><br />            <br />            <c>X64</c><br />            <br />            <c>64-bit</c>
Field       | Z0.Asm.OpCodeId.Ja_rel8_16                                            | <c>JA rel8</c><br />            <br />            <c>o16 77 cb</c><br />            <br />            <c>8086+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Ja_rel8_32                                            | <c>JA rel8</c><br />            <br />            <c>o32 77 cb</c><br />            <br />            <c>386+</c><br />            <br />            <c>16/32-bit</c>
Field       | Z0.Asm.OpCodeId.Ja_rel8_64                                            | <c>JA rel8</c><br />            <br />            <c>77 cb</c><br />            <br />            <c>X64</c><br />            <br />            <c>64-bit</c>
Field       | Z0.Asm.OpCodeId.Js_rel8_16                                            | <c>JS rel8</c><br />            <br />            <c>o16 78 cb</c><br />            <br />            <c>8086+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Js_rel8_32                                            | <c>JS rel8</c><br />            <br />            <c>o32 78 cb</c><br />            <br />            <c>386+</c><br />            <br />            <c>16/32-bit</c>
Field       | Z0.Asm.OpCodeId.Js_rel8_64                                            | <c>JS rel8</c><br />            <br />            <c>78 cb</c><br />            <br />            <c>X64</c><br />            <br />            <c>64-bit</c>
Field       | Z0.Asm.OpCodeId.Jns_rel8_16                                           | <c>JNS rel8</c><br />            <br />            <c>o16 79 cb</c><br />            <br />            <c>8086+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Jns_rel8_32                                           | <c>JNS rel8</c><br />            <br />            <c>o32 79 cb</c><br />            <br />            <c>386+</c><br />            <br />            <c>16/32-bit</c>
Field       | Z0.Asm.OpCodeId.Jns_rel8_64                                           | <c>JNS rel8</c><br />            <br />            <c>79 cb</c><br />            <br />            <c>X64</c><br />            <br />            <c>64-bit</c>
Field       | Z0.Asm.OpCodeId.Jp_rel8_16                                            | <c>JP rel8</c><br />            <br />            <c>o16 7A cb</c><br />            <br />            <c>8086+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Jp_rel8_32                                            | <c>JP rel8</c><br />            <br />            <c>o32 7A cb</c><br />            <br />            <c>386+</c><br />            <br />            <c>16/32-bit</c>
Field       | Z0.Asm.OpCodeId.Jp_rel8_64                                            | <c>JP rel8</c><br />            <br />            <c>7A cb</c><br />            <br />            <c>X64</c><br />            <br />            <c>64-bit</c>
Field       | Z0.Asm.OpCodeId.Jnp_rel8_16                                           | <c>JNP rel8</c><br />            <br />            <c>o16 7B cb</c><br />            <br />            <c>8086+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Jnp_rel8_32                                           | <c>JNP rel8</c><br />            <br />            <c>o32 7B cb</c><br />            <br />            <c>386+</c><br />            <br />            <c>16/32-bit</c>
Field       | Z0.Asm.OpCodeId.Jnp_rel8_64                                           | <c>JNP rel8</c><br />            <br />            <c>7B cb</c><br />            <br />            <c>X64</c><br />            <br />            <c>64-bit</c>
Field       | Z0.Asm.OpCodeId.Jl_rel8_16                                            | <c>JL rel8</c><br />            <br />            <c>o16 7C cb</c><br />            <br />            <c>8086+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Jl_rel8_32                                            | <c>JL rel8</c><br />            <br />            <c>o32 7C cb</c><br />            <br />            <c>386+</c><br />            <br />            <c>16/32-bit</c>
Field       | Z0.Asm.OpCodeId.Jl_rel8_64                                            | <c>JL rel8</c><br />            <br />            <c>7C cb</c><br />            <br />            <c>X64</c><br />            <br />            <c>64-bit</c>
Field       | Z0.Asm.OpCodeId.Jge_rel8_16                                           | <c>JGE rel8</c><br />            <br />            <c>o16 7D cb</c><br />            <br />            <c>8086+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Jge_rel8_32                                           | <c>JGE rel8</c><br />            <br />            <c>o32 7D cb</c><br />            <br />            <c>386+</c><br />            <br />            <c>16/32-bit</c>
Field       | Z0.Asm.OpCodeId.Jge_rel8_64                                           | <c>JGE rel8</c><br />            <br />            <c>7D cb</c><br />            <br />            <c>X64</c><br />            <br />            <c>64-bit</c>
Field       | Z0.Asm.OpCodeId.Jle_rel8_16                                           | <c>JLE rel8</c><br />            <br />            <c>o16 7E cb</c><br />            <br />            <c>8086+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Jle_rel8_32                                           | <c>JLE rel8</c><br />            <br />            <c>o32 7E cb</c><br />            <br />            <c>386+</c><br />            <br />            <c>16/32-bit</c>
Field       | Z0.Asm.OpCodeId.Jle_rel8_64                                           | <c>JLE rel8</c><br />            <br />            <c>7E cb</c><br />            <br />            <c>X64</c><br />            <br />            <c>64-bit</c>
Field       | Z0.Asm.OpCodeId.Jg_rel8_16                                            | <c>JG rel8</c><br />            <br />            <c>o16 7F cb</c><br />            <br />            <c>8086+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Jg_rel8_32                                            | <c>JG rel8</c><br />            <br />            <c>o32 7F cb</c><br />            <br />            <c>386+</c><br />            <br />            <c>16/32-bit</c>
Field       | Z0.Asm.OpCodeId.Jg_rel8_64                                            | <c>JG rel8</c><br />            <br />            <c>7F cb</c><br />            <br />            <c>X64</c><br />            <br />            <c>64-bit</c>
Field       | Z0.Asm.OpCodeId.Add_rm8_imm8                                          | <c>ADD r/m8, imm8</c><br />            <br />            <c>80 /0 ib</c><br />            <br />            <c>8086+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Or_rm8_imm8                                           | <c>OR r/m8, imm8</c><br />            <br />            <c>80 /1 ib</c><br />            <br />            <c>8086+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Adc_rm8_imm8                                          | <c>ADC r/m8, imm8</c><br />            <br />            <c>80 /2 ib</c><br />            <br />            <c>8086+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Sbb_rm8_imm8                                          | <c>SBB r/m8, imm8</c><br />            <br />            <c>80 /3 ib</c><br />            <br />            <c>8086+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.And_rm8_imm8                                          | <c>AND r/m8, imm8</c><br />            <br />            <c>80 /4 ib</c><br />            <br />            <c>8086+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Sub_rm8_imm8                                          | <c>SUB r/m8, imm8</c><br />            <br />            <c>80 /5 ib</c><br />            <br />            <c>8086+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Xor_rm8_imm8                                          | <c>XOR r/m8, imm8</c><br />            <br />            <c>80 /6 ib</c><br />            <br />            <c>8086+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Cmp_rm8_imm8                                          | <c>CMP r/m8, imm8</c><br />            <br />            <c>80 /7 ib</c><br />            <br />            <c>8086+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Add_rm16_imm16                                        | <c>ADD r/m16, imm16</c><br />            <br />            <c>o16 81 /0 iw</c><br />            <br />            <c>8086+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Add_rm32_imm32                                        | <c>ADD r/m32, imm32</c><br />            <br />            <c>o32 81 /0 id</c><br />            <br />            <c>386+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Add_rm64_imm32                                        | <c>ADD r/m64, imm32</c><br />            <br />            <c>REX.W 81 /0 id</c><br />            <br />            <c>X64</c><br />            <br />            <c>64-bit</c>
Field       | Z0.Asm.OpCodeId.Or_rm16_imm16                                         | <c>OR r/m16, imm16</c><br />            <br />            <c>o16 81 /1 iw</c><br />            <br />            <c>8086+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Or_rm32_imm32                                         | <c>OR r/m32, imm32</c><br />            <br />            <c>o32 81 /1 id</c><br />            <br />            <c>386+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Or_rm64_imm32                                         | <c>OR r/m64, imm32</c><br />            <br />            <c>REX.W 81 /1 id</c><br />            <br />            <c>X64</c><br />            <br />            <c>64-bit</c>
Field       | Z0.Asm.OpCodeId.Adc_rm16_imm16                                        | <c>ADC r/m16, imm16</c><br />            <br />            <c>o16 81 /2 iw</c><br />            <br />            <c>8086+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Adc_rm32_imm32                                        | <c>ADC r/m32, imm32</c><br />            <br />            <c>o32 81 /2 id</c><br />            <br />            <c>386+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Adc_rm64_imm32                                        | <c>ADC r/m64, imm32</c><br />            <br />            <c>REX.W 81 /2 id</c><br />            <br />            <c>X64</c><br />            <br />            <c>64-bit</c>
Field       | Z0.Asm.OpCodeId.Sbb_rm16_imm16                                        | <c>SBB r/m16, imm16</c><br />            <br />            <c>o16 81 /3 iw</c><br />            <br />            <c>8086+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Sbb_rm32_imm32                                        | <c>SBB r/m32, imm32</c><br />            <br />            <c>o32 81 /3 id</c><br />            <br />            <c>386+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Sbb_rm64_imm32                                        | <c>SBB r/m64, imm32</c><br />            <br />            <c>REX.W 81 /3 id</c><br />            <br />            <c>X64</c><br />            <br />            <c>64-bit</c>
Field       | Z0.Asm.OpCodeId.And_rm16_imm16                                        | <c>AND r/m16, imm16</c><br />            <br />            <c>o16 81 /4 iw</c><br />            <br />            <c>8086+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.And_rm32_imm32                                        | <c>AND r/m32, imm32</c><br />            <br />            <c>o32 81 /4 id</c><br />            <br />            <c>386+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.And_rm64_imm32                                        | <c>AND r/m64, imm32</c><br />            <br />            <c>REX.W 81 /4 id</c><br />            <br />            <c>X64</c><br />            <br />            <c>64-bit</c>
Field       | Z0.Asm.OpCodeId.Sub_rm16_imm16                                        | <c>SUB r/m16, imm16</c><br />            <br />            <c>o16 81 /5 iw</c><br />            <br />            <c>8086+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Sub_rm32_imm32                                        | <c>SUB r/m32, imm32</c><br />            <br />            <c>o32 81 /5 id</c><br />            <br />            <c>386+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Sub_rm64_imm32                                        | <c>SUB r/m64, imm32</c><br />            <br />            <c>REX.W 81 /5 id</c><br />            <br />            <c>X64</c><br />            <br />            <c>64-bit</c>
Field       | Z0.Asm.OpCodeId.Xor_rm16_imm16                                        | <c>XOR r/m16, imm16</c><br />            <br />            <c>o16 81 /6 iw</c><br />            <br />            <c>8086+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Xor_rm32_imm32                                        | <c>XOR r/m32, imm32</c><br />            <br />            <c>o32 81 /6 id</c><br />            <br />            <c>386+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Xor_rm64_imm32                                        | <c>XOR r/m64, imm32</c><br />            <br />            <c>REX.W 81 /6 id</c><br />            <br />            <c>X64</c><br />            <br />            <c>64-bit</c>
Field       | Z0.Asm.OpCodeId.Cmp_rm16_imm16                                        | <c>CMP r/m16, imm16</c><br />            <br />            <c>o16 81 /7 iw</c><br />            <br />            <c>8086+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Cmp_rm32_imm32                                        | <c>CMP r/m32, imm32</c><br />            <br />            <c>o32 81 /7 id</c><br />            <br />            <c>386+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.OpCodeId.Cmp_rm64_imm32                                        | <c>CMP r/m64, imm32</c><br />            <br />            <c>REX.W 81 /7 id</c><br />            <br />            <c>X64</c><br />            <br />            <c>64-bit</c>
Field       | Z0.Asm.OpCodeId.Add_rm8_imm8_82                                       | <c>ADD r/m8, imm8</c><br />            <br />            <c>82 /0 ib</c><br />            <br />            <c>8086+</c><br />            <br />            <c>16/32-bit</c>
Field       | Z0.Asm.OpCodeId.Or_rm8_imm8_82                                        | <c>OR r/m8, imm8</c><br />            <br />            <c>82 /1 ib</c><br />            <br />            <c>8086+</c><br />            <br />            <c>16/32-bit</c>
