Method      | Z0.BitGrid.negate``1(Z0.BitGrid16{``0})                               | Computes the two's complement negation of source grid
Method      | Z0.GridLoad.ToBitGrid(System.UInt32,Z0.N32,Z0.N1)                     | Represents the source value as a 32-bit natural bitgrid of dimension 32x1
Method      | Z0.GridLoad.ToBitGrid(System.UInt32,Z0.N2,Z0.N16)                     | Represents the source value as a 32-bit natural bitgrid of dimension 2x16
Method      | Z0.GridLoad.ToBitGrid(System.UInt32,Z0.N16,Z0.N2)                     | Represents the source value as a 32-bit natural bitgrid of dimension 16x2
Method      | Z0.GridLoad.ToBitGrid(System.UInt32,Z0.N4,Z0.N8)                      | Represents the source value as a 32-bit natural bitgrid of dimension 4x8
Method      | Z0.GridLoad.ToBitGrid(System.UInt32,Z0.N8,Z0.N4)                      | Represents the source value as a 32-bit natural bitgrid of dimension 8x4
Method      | Z0.GridLoad.ToBitGrid(System.UInt64,Z0.N64,Z0.N1)                     | Represents the source value as a 64-bit natural bitgrid of dimension 64x1
Method      | Z0.GridLoad.ToBitGrid(System.UInt64,Z0.N1,Z0.N64)                     | Represents the source value as a 64-bit natural bitgrid of dimension 1x64
Method      | Z0.GridLoad.ToBitGrid(System.UInt64,Z0.N32,Z0.N2)                     | Represents the source value as a 64-bit natural bitgrid of dimension 32x2
Method      | Z0.GridLoad.ToBitGrid(System.UInt64,Z0.N2,Z0.N32)                     | Represents the source value as a 64-bit natural bitgrid of dimension 2x32
Method      | Z0.GridLoad.ToBitGrid(System.UInt64,Z0.N16,Z0.N4)                     | Represents the source value as a 64-bit natural bitgrid of dimension 16x4
Method      | Z0.GridLoad.ToBitGrid(System.UInt64,Z0.N4,Z0.N16)                     | Represents the source value as a 64-bit natural bitgrid of dimension 4x16
Method      | Z0.GridLoad.ToBitGrid(System.UInt64,Z0.N8,Z0.N8)                      | Represents the source value as a 64-bit natural bitgrid of dimension 8x8
Method      | Z0.GridLoad.ToBitGrid``1(System.Runtime.Intrinsics.Vector128{``0},Z0.N1,Z0.N128)| Represents the source vector as a 128-bit natural bitgrid of dimension 1x128
Method      | Z0.GridLoad.ToBitGrid``1(System.Runtime.Intrinsics.Vector128{``0},Z0.N128,Z0.N1)| Represents the source vector as a 128-bit natural bitgrid of dimension 128x1
Method      | Z0.GridLoad.ToBitGrid``1(System.Runtime.Intrinsics.Vector128{``0},Z0.N2,Z0.N64)| Represents the source vector as a 128-bit natural bitgrid of dimension 2x64
Method      | Z0.GridLoad.ToBitGrid``1(System.Runtime.Intrinsics.Vector128{``0},Z0.N64,Z0.N2)| Represents the source vector as a 128-bit natural bitgrid of dimension 64x2
Method      | Z0.GridLoad.ToBitGrid``1(System.Runtime.Intrinsics.Vector128{``0},Z0.N4,Z0.N32)| Represents the source vector as a 128-bit natural bitgrid of dimension 4x32
Method      | Z0.GridLoad.ToBitGrid``1(System.Runtime.Intrinsics.Vector128{``0},Z0.N32,Z0.N4)| Represents the source vector as a 128-bit natural bitgrid of dimension 32x4
Method      | Z0.GridLoad.ToBitGrid``1(System.Runtime.Intrinsics.Vector128{``0},Z0.N8,Z0.N16)| Represents the source vector as a 128-bit natural bitgrid of dimension 8x16
Method      | Z0.GridLoad.ToBitGrid``1(System.Runtime.Intrinsics.Vector128{``0},Z0.N16,Z0.N8)| Represents the source vector as a 128-bit natural bitgrid of dimension 16x8
Method      | Z0.GridLoad.ToBitGrid``1(System.Runtime.Intrinsics.Vector256{``0},Z0.N1,Z0.N256)| Represents the source vector as a 256-bit natural bitgrid of dimension 1x256
Method      | Z0.GridLoad.ToBitGrid``1(System.Runtime.Intrinsics.Vector256{``0},Z0.N256,Z0.N1)| Represents the source vector as a 256-bit natural bitgrid of dimension 256x1
Method      | Z0.GridLoad.ToBitGrid``1(System.Runtime.Intrinsics.Vector256{``0},Z0.N2,Z0.N128)| Represents the source vector as a 256-bit natural bitgrid of dimension 2x128
Method      | Z0.GridLoad.ToBitGrid``1(System.Runtime.Intrinsics.Vector256{``0},Z0.N128,Z0.N2)| Represents the source vector as a 256-bit natural bitgrid of dimension 128x2
Method      | Z0.GridLoad.ToBitGrid``1(System.Runtime.Intrinsics.Vector256{``0},Z0.N4,Z0.N64)| Represents the source vector as a 256-bit natural bitgrid of dimension 4x64
Method      | Z0.GridLoad.ToBitGrid``1(System.Runtime.Intrinsics.Vector256{``0},Z0.N64,Z0.N4)| Represents the source vector as a 256-bit natural bitgrid of dimension 64x4
Method      | Z0.GridLoad.ToBitGrid``1(System.Runtime.Intrinsics.Vector256{``0},Z0.N8,Z0.N32)| Represents the source vector as a 256-bit natural bitgrid of dimension 8x32
Method      | Z0.GridLoad.ToBitGrid``1(System.Runtime.Intrinsics.Vector256{``0},Z0.N32,Z0.N8)| Represents the source vector as a 256-bit natural bitgrid of dimension 32x8
Method      | Z0.GridLoad.ToBitGrid``1(System.Runtime.Intrinsics.Vector256{``0},Z0.N16,Z0.N16)| Represents the source vector as a 256-bit natural bitgrid of dimension 16x16
Method      | Z0.GridLoad.ToBitGrid``1(Z0.BitString,Z0.W16)                         | Hydrates a bitgrid from a bitstring
Method      | Z0.GridLoad.ToBitGrid``1(Z0.BitString,Z0.N32,System.Int32,System.Int32,``0)| Hydrates a bitgrid from a bitstring
Method      | Z0.GridLoad.ToBitGrid``1(Z0.BitString,Z0.N64,System.Int32,System.Int32,``0)| Hydrates a bitgrid from a bitstring
Method      | Z0.GridLoad.ToBitGrid``3(Z0.BitString,Z0.N32,``0,``1,``2)             | Hydrates a bitgrid from a bitstring
Method      | Z0.GridLoad.ToBitGrid``3(Z0.BitString,Z0.N64,``0,``1,``2)             | Hydrates a bitgrid from a bitstring
Method      | Z0.GridLoad.ToBitGrid``3(Z0.BitString,Z0.N128,``0,``1,``2)            | Hydrates a bitgrid from a bitstring
Method      | Z0.GridLoad.ToBitGrid``3(Z0.BitString,Z0.N256,``0,``1,``2)            | Hydrates a bitgrid from a bitstring
Method      | Z0.XTend.Map(Z0.GridSpec)                                             | Calculates a grid layout from a specification
Method      | Z0.XTend.ToBitString``1(Z0.BitGrid16{``0})                            | Converts a grid to an equivalent linear bitstring representation
Method      | Z0.XTend.ToBitString``1(Z0.BitGrid32{``0})                            | Converts a grid to an equivalent linear bitstring representation
Method      | Z0.XTend.ToBitString``1(Z0.BitGrid64{``0})                            | Converts a grid to an equivalent linear bitstring representation
Method      | Z0.XTend.ToBitString``3(Z0.BitGrid{``0,``1,``2})                      | Converts a grid to an equivalent linear bitstring representation
Method      | Z0.XTend.ToBitString``1(Z0.BitGrid{``0})                              | Converts a grid to an equivalent linear bitstring representation
Method      | Z0.XTend.ToBitString``3(Z0.BitGrid16{``0,``1,``2})                    | Converts a grid to an equivalent linear bitstring representation
Method      | Z0.XTend.ToBitString``3(Z0.BitGrid32{``0,``1,``2})                    | Converts a grid to an equivalent linear bitstring representation
Method      | Z0.XTend.ToBitString``3(Z0.BitGrid64{``0,``1,``2})                    | Converts a grid to an equivalent linear bitstring representation
Method      | Z0.XTend.ToBitString``3(Z0.BitGrid128{``0,``1,``2})                   | Converts a grid to an equivalent linear bitstring representation
Method      | Z0.XTend.ToBitString``3(Z0.BitGrid256{``0,``1,``2})                   | Converts a grid to an equivalent linear bitstring representation
Method      | Z0.XTend.ToSpan``1(Z0.BitGrid16{``0})                                 | Extracts grid content to a span
Method      | Z0.XTend.ToSpan``1(Z0.BitGrid32{``0})                                 | Extracts grid content to a span
Method      | Z0.XTend.ToSpan``1(Z0.BitGrid64{``0})                                 | Extracts grid content to a span
Method      | Z0.XTend.ToSpan``3(Z0.BitGrid32{``0,``1,``2})                         | Extracts grid content to a span
Method      | Z0.XTend.ToSpan``3(Z0.BitGrid64{``0,``1,``2})                         | Extracts grid content to a span
Method      | Z0.XTend.ToSpan``3(Z0.BitGrid128{``0,``1,``2})                        | Extracts grid content to a span
Method      | Z0.XTend.ToSpan``3(Z0.BitGrid256{``0,``1,``2})                        | Extracts grid content to a span
Method      | Z0.XTend.ToSpan``3(Z0.SubGrid16{``0,``1,``2})                         | Extracts grid content to a span
Method      | Z0.XTend.ToSpan``3(Z0.SubGrid32{``0,``1,``2})                         | Extracts grid content to a span
Method      | Z0.XTend.ToSpan``3(Z0.SubGrid64{``0,``1,``2})                         | Extracts grid content to a span
Method      | Z0.XTend.ToSpan``3(Z0.SubGrid128{``0,``1,``2})                        | Extracts grid content to a span
Method      | Z0.XTend.ToSpan``3(Z0.SubGrid256{``0,``1,``2})                        | Extracts grid content to a span
Method      | Z0.XTend.ToSubGrid(Z0.BitVector24,Z0.N2,Z0.N12)                       | Creates a subgrid of dimensions 2x12 from a 24-bit bitvector
Method      | Z0.XTend.ToSubGrid(Z0.BitVector24,Z0.N12,Z0.N2)                       | Creates a subgrid of dimensions 12x2 from a 24-bit bitvector
Method      | Z0.XTend.ToSubGrid(Z0.BitVector24,Z0.N3,Z0.N8)                        | Creates a subgrid of dimensions 3x8 from a 24-bit bitvector
Method      | Z0.XTend.ToSubGrid(Z0.BitVector24,Z0.N8,Z0.N3)                        | Creates a subgrid of dimensions 8x3 from a 24-bit bitvector
Method      | Z0.XTend.ToSubGrid(Z0.BitVector24,Z0.N4,Z0.N6)                        | Creates a subgrid of dimensions 4x6 from a 24-bit bitvector
Method      | Z0.XTend.ToSubGrid(Z0.BitVector24,Z0.N6,Z0.N4)                        | Creates a subgrid of dimensions 6x4 from a 24-bit bitvector
Field       | Z0.GridMap.RowCount                                                   | The number of rows in the layout
Field       | Z0.GridMap.ColCount                                                   | The number of columns in the layout
Field       | Z0.GridMap.SegWidth                                                   | The number of bits in a segment
Field       | Z0.GridMap.StorageBits                                                | The number of segment-aligned bits required for storage
Field       | Z0.GridMap.StorageBytes                                               | The number of segment-aligned bytes bits required for storage
Field       | Z0.GridMap.SegCount                                                   | The number of segment-aligned storage segments
Method      | Z0.GridMap.Define(Z0.GridSpec@)                                       | Defines a grid map predicated on an existing specification
Property    | Z0.GridMap.Vec128Remainder                                            | The number bytes that do not fit into a whole number of 128-bit vectors
Property    | Z0.GridMap.Vec128Count                                                | The number of whole 128-bit vectors required for storage
Property    | Z0.GridMap.Vec256Count                                                | The number of whole 256-bit vectors required for storage
Property    | Z0.GridMap.Vec256Remainder                                            | The number bytes that do not fit into a whole number of 256-bit vectors
Property    | Z0.GridMap.PointCount                                                 | The total number of items covered by the grid
Method      | Z0.GridMap.Pos(System.Int32,System.Int32)                             | Computes the 0-based linear index determined by a row/col coordinate
Method      | Z0.GridMap.Offset(System.Int32,System.Int32)                          | Computes the storage segment offset for a row/col coordinate
Method      | Z0.GridMap.Seg(System.Int32,System.Int32)                             | Computes the storage segment that covers a specifed row/col coordinate
Type        | Z0.GridSpec                                                           | Characterizes the memory layout of a BitMatrix
Field       | Z0.GridSpec.RowCount                                                  | The number of grid rows
Field       | Z0.GridSpec.ColCount                                                  | The number of grid columns
Field       | Z0.GridSpec.SegWidth                                                  | The number of bits in a storage segment
Field       | Z0.GridSpec.StorageBits                                               | The the toal number of segment-aligned bits allocated for storage
Field       | Z0.GridSpec.StorageBytes                                              | The the toal number of segment-aligned bytes allocated for storage
Field       | Z0.GridSpec.StorageSegs                                               | The the toal number of segments allocated for storage
Type        | Z0.GridSpec`1                                                         | Characterizes the memory layout of a BitMatrix
Field       | Z0.GridSpec`1.RowCount                                                | The number of grid rows
Field       | Z0.GridSpec`1.ColCount                                                | The number of grid columns
Field       | Z0.GridSpec`1.SegWidth                                                | The number of bits in a storage segment
Field       | Z0.GridSpec`1.StorageBits                                             | The the toal number of segment-aligned bits allocated for storage
Field       | Z0.GridSpec`1.StorageBytes                                            | The the toal number of segment-aligned bytes allocated for storage
Field       | Z0.GridSpec`1.StorageSegs                                             | The the toal number of segments allocated for storage
Property    | Z0.GridStats.RowCount                                                 | The number of grid rows
Property    | Z0.GridStats.ColCount                                                 | The number of grid columns
Property    | Z0.GridStats.SegWidth                                                 | The number of bits in a storage segment
Property    | Z0.GridStats.PointCount                                               | The number of points covered by the grid
Property    | Z0.GridStats.SorageSegs                                               | The number of segment-aligned segments required for storage
Property    | Z0.GridStats.StorageBits                                              | The number of segment-aligned bits required for storage
Property    | Z0.GridStats.StorageBytes                                             | The number of segment-aligned bytes bits required for storage
Property    | Z0.GridStats.Vec128Count                                              | The number of whole 128-bit vectors required for storage
Property    | Z0.GridStats.Vec128Remainder                                          | The number bytes that do not fit into a whole number of 128-bit vectors
Property    | Z0.GridStats.Vec256Count                                              | The number of whole 256-bit vectors required for storage
Property    | Z0.GridStats.Vec256Remainder                                          | The number bytes that do not fit into a whole number of 256-bit vectors
Method      | Z0.GridWriter.GridHeader(System.Nullable{System.Int32},System.Nullable{System.Char})| Defines a standard header for a grid map summary line
Type        | Z0.GridDim                                                            | Defines grid dimensions based on specification without parametrization
Field       | Z0.GridDim.RowCount                                                   | The number of grid rows
Field       | Z0.GridDim.ColCount                                                   | The number of grid columns
Method      | Z0.GridDim.Format                                                     | Formats the dimension in canonical form
Type        | Z0.GridDim`3                                                          | Encapsulates metrics that characterize a grid of natural rectangular dimensions
Property    | Z0.GridDim`3.BitCount                                                 | The total number gb of grid bits determined by gb := MxN
Property    | Z0.GridDim`3.RowCount                                                 | The number of grid rows
Property    | Z0.GridDim`3.ColCount                                                 | The number of grid columns
Property    | Z0.GridDim`3.CellWidth                                                | The bit width of a storage cell
Property    | Z0.GridDim`3.BlockWidth                                               | The bit width of a storage block
Property    | Z0.GridDim`3.CellCount                                                | The number of cells required cover a grid
Property    | Z0.GridDim`3.ByteCount                                                | The number of bytes required to cover a grid
Method      | Z0.GridDim`3.BitIndex(System.Int32,System.Int32)                      | Computes the 0-based linear index determined by a row/col coordinate
Method      | Z0.GridDim`3.Format                                                   | Returns a dimension expression of the form RxCxWw where             R := row count            C := column count            W := cell width
Property    | Z0.GridDim`1.RowCount                                                 | The number of rows in the grid
Property    | Z0.GridDim`1.ColCount                                                 | The number of columsn in the grid
Property    | Z0.GridDim`1.CellWidth                                                | The bit-width of a grid cell
Property    | Z0.GridDim`1.BlockWidth                                               | The block width, set to 1 if the grid is unblocked
Property    | Z0.GridDim`1.BitCount                                                 | The total number gb of grid bits determined by gb := MxN
Property    | Z0.GridDim`1.CellCount                                                | The number of cells required cover a grid
Property    | Z0.GridDim`1.ByteCount                                                | The number of bytes required to cover a grid
Method      | Z0.GridDim`1.Pos(System.Int32,System.Int32)                           | Computes the 0-based linear index determined by a row/col coordinate
Method      | Z0.GridDim`1.Format                                                   | Returns a dimension expression of the form RxCxWw where             R := row count            C := column count            W := cell width
Type        | Z0.GridDim`4                                                          | Defines a parametrically-predicated blocked grid
Property    | Z0.GridDim`4.BlockWidth                                               | The bit width of a block
Property    | Z0.GridDim`4.RowCount                                                 | The number of grid rows
Property    | Z0.GridDim`4.ColCount                                                 | The number of grid columns
Property    | Z0.GridDim`4.CellWidth                                                | The bit width of a storage cell
Property    | Z0.GridDim`4.BitCount                                                 | The total number of grid bits
Property    | Z0.GridDim`4.CellCount                                                | The number of cells required cover a grid
Property    | Z0.GridDim`4.ByteCount                                                | The number of bytes required to cover a grid
Property    | Z0.GridDim`4.BlockCount                                               | Computes the aligned number of W-blocks required to cover M*N bits
Property    | Z0.GridDim`4.BlockLength                                              | Computes the number of cells covered by a block
Method      | Z0.GridDim`4.Format                                                   | Returns a dimension expression of the form RxCxWw where             R := row count            C := column count            W := cell width
Property    | Z0.IGridDim.RowCount                                                  | The numbet of rows in the grid
Property    | Z0.IGridDim.ColCount                                                  | The number of columns in the grid
Type        | Z0.IGridDim`1                                                         | Characterizes a grid with parametric cell type
Type        | Z0.IGridDim`3                                                         | Characterizes a grid with parametric row, column and cell types
Type        | Z0.IGridDim`4                                                         | Characterizes a grid with parametric block width, row, column and cell types
Type        | Z0.BitGrid`1                                                          | Defines a grid of bits over a contiguous sequence of primal values stored in blocks of 256 bits
Field       | Z0.BitGrid`1.RowCount                                                 | The number of grid rows
Field       | Z0.BitGrid`1.ColCount                                                 | The number of grid columns
Property    | Z0.BitGrid`1.CellCount                                                | The number of cells over which the grid is defined
Property    | Z0.BitGrid`1.BitCount                                                 | The number of covered bits
Property    | Z0.BitGrid`1.Item(System.Int32)                                       | Transfers 256-bit cpu vectors to/from blocked storage
Method      | Z0.BitGrid`1.Cell(System.Int32)                                       | Reads/writes an index-identified grid cell
Method      | Z0.BitGrid`1.Block(System.Int32)                                      | Returns the 256-bit block corresponding to a block index
Type        | Z0.BitGrid128`3                                                       | A grid of natural dimensions M and N such that M*N = W := 128
Field       | Z0.BitGrid128`3.Data                                                  | The grid state
Field       | Z0.BitGrid128`3.ByteCount                                             | The number of bytes covered by the grid
Method      | Z0.BitGrid128`3.op_Implicit(Z0.Block128{`2}@)~Z0.BitGrid128{`0,`1,`2} | Creates a grid from the leading source block
Method      | Z0.BitGrid128`3.op_Implicit(System.Runtime.Intrinsics.Vector128{`2})~Z0.BitGrid128{`0,`1,`2}| Creates a grid from a generic vector
Method      | Z0.BitGrid128`3.op_Implicit(System.Runtime.Intrinsics.Vector128{System.Byte})~Z0.BitGrid128{`0,`1,`2}| Creates a grid from a 128x8u vector
Property    | Z0.BitGrid128`3.Content                                               | The exposed grid state
Property    | Z0.BitGrid128`3.CellCount                                             | The number of allocated cells
Property    | Z0.BitGrid128`3.BitCount                                              | The number of covered bits
Property    | Z0.BitGrid128`3.RowCount                                              | The number of rows in the grid
Property    | Z0.BitGrid128`3.ColCount                                              | The number of columns in the grid
Method      | Z0.BitGrid128`3.Cell(System.Int32)                                    | Reads an index-identified cell
Type        | Z0.BitGrid16`1                                                        | Defines a 16-bit grid of caller-interpreted dimension
Field       | Z0.BitGrid16`1.Data                                                   | Grid storage
Property    | Z0.BitGrid16`1.BitCount                                               | The number of covered bits := 16
Property    | Z0.BitGrid16`1.Content                                                | Returns a copy of the grid's backing storage
Property    | Z0.BitGrid16`1.CellCount                                              | The number of grid cells := {1 | 2}
Property    | Z0.BitGrid16`1.Cells                                                  | Covers grid content with a span that defines cells of width := {1 | 2}
Property    | Z0.BitGrid16`1.Head                                                   | Yields a mutable reference to the grid's leading storage cell
Property    | Z0.BitGrid16`1.Item(System.Int32)                                     | Maninulates an index-identified cell, where index := {0 | 1}
Method      | Z0.BitGrid16`1.Cell(System.Int32)                                     | Reads/writes an index-identified cell
Type        | Z0.BitGrid16`3                                                        | A grid of natural dimensions M and N such that M*N = W := 16
Field       | Z0.BitGrid16`3.Data                                                   | The grid state
Field       | Z0.BitGrid16`3.ByteCount                                              | The number of bytes covered by the grid
Property    | Z0.BitGrid16`3.Content                                                | The exposed grid state
Property    | Z0.BitGrid16`3.CellCount                                              | The number of allocated cells
Property    | Z0.BitGrid16`3.BitCount                                               | The number of covered bits
Property    | Z0.BitGrid16`3.Head                                                   | The leading storage cell
Property    | Z0.BitGrid16`3.RowCount                                               | The number of rows in the grid
Property    | Z0.BitGrid16`3.ColCount                                               | The number of columns in the grid
Method      | Z0.BitGrid16`3.Cell(System.Int32)                                     | Reads/writes an index-identified cell
Property    | Z0.BitGrid16`3.Item(System.Int32)                                     | Extracts row contant as a bitvector
Type        | Z0.BitGrid256`3                                                       | A grid of natural dimensions M and N such that M*N = W := 256
Field       | Z0.BitGrid256`3.Data                                                  | The grid state
Field       | Z0.BitGrid256`3.ByteCount                                             | The number of bytes covered by the grid
Property    | Z0.BitGrid256`3.Content                                               | The exposed grid state
Property    | Z0.BitGrid256`3.BitCount                                              | The number of covered bits
Property    | Z0.BitGrid256`3.RowCount                                              | The number of rows in the grid
Property    | Z0.BitGrid256`3.ColCount                                              | The number of columns in the grid
Method      | Z0.BitGrid256`3.Cell(System.Int32)                                    | Reads an index-identified cell
Type        | Z0.BitGrid32`1                                                        | Defines a 32-bit grid
Property    | Z0.BitGrid32`1.BitCount                                               | The number of covered bits
Property    | Z0.BitGrid32`1.CellCount                                              | The number of grid cells := {1 | 2 | 4}
Method      | Z0.BitGrid32`1.Cell(System.Int32)                                     | Reads/writes an index-identified cell
Property    | Z0.BitGrid32`1.Item(System.Byte,System.Byte)                          | Slices a sequence of bits
Type        | Z0.BitGrid32`3                                                        | A grid of natural dimensions M and N such that M*N = W := 32
Field       | Z0.BitGrid32`3.Data                                                   | The grid state
Field       | Z0.BitGrid32`3.ByteCount                                              | The number of bytes covered by the grid
Property    | Z0.BitGrid32`3.Content                                                | The exposed grid state
Property    | Z0.BitGrid32`3.BitCount                                               | The number of covered bits
Property    | Z0.BitGrid32`3.RowCount                                               | The number of rows in the grid
Property    | Z0.BitGrid32`3.ColCount                                               | The number of columns in the grid
Method      | Z0.BitGrid32`3.Cell(System.Int32)                                     | Reads/writes an index-identified cell
Property    | Z0.BitGrid32`3.Item(System.Int32)                                     | Extracts row contant as a bitvector
Method      | Z0.BitGrid32`3.As``1                                                  | Converts the current grid defined over T-cells to a target grid defined over U-cells
Type        | Z0.BitGrid64`1                                                        | Defines a 64-bit grid
Property    | Z0.BitGrid64`1.BitCount                                               | The number of covered bits
Method      | Z0.BitGrid64`1.Cell(System.Int32)                                     | Reads/writes an index-identified cell
Property    | Z0.BitGrid64`1.Item(System.Byte,System.Byte)                          | Slices a sequence of bits
Type        | Z0.BitGrid64`3                                                        | A grid of natural dimensions M and N such that M*N = W := 64
Field       | Z0.BitGrid64`3.Data                                                   | The grid state
Field       | Z0.BitGrid64`3.ByteCount                                              | The number of bytes covered by the grid
Property    | Z0.BitGrid64`3.BitCount                                               | The number of covered bits
Property    | Z0.BitGrid64`3.RowCount                                               | The number of rows in the grid
Property    | Z0.BitGrid64`3.ColCount                                               | The number of columns in the grid
Method      | Z0.BitGrid64`3.Cell(System.Int32)                                     | Reads/writes an index-identified cell
Property    | Z0.BitGrid64`3.Item(System.Int32)                                     | Extracts row content as a bitvector
Method      | Z0.BitGrid64`3.As``1                                                  | Converts the current grid defined over T-cells to a target grid defined over U-cells
Type        | Z0.BitGrid`3                                                          | Defines a maximally packed data structure of natural dimensions over a primal type
Property    | Z0.BitGrid`3.Dim                                                      | The grid dimension
Property    | Z0.BitGrid`3.Content                                                  | The allocated storage
Property    | Z0.BitGrid`3.Head                                                     | A reference to the leading storage cell
Property    | Z0.BitGrid`3.RowCount                                                 | The number of grid rows
Property    | Z0.BitGrid`3.ColCount                                                 | The number of grid columns
Property    | Z0.BitGrid`3.BlockCount                                               | The number of allocated 256-bit blocks
Property    | Z0.BitGrid`3.CellCount                                                | The number of cells over which the grid is defined
Property    | Z0.BitGrid`3.BitCount                                                 | The number of bits covered by the grid
Property    | Z0.BitGrid`3.Item(System.Int32)                                       | Transfers 256-bit cpu vectors to/from blocked storage
Method      | Z0.BitGrid`3.Cell(System.Int32)                                       | Reads/writes an index-identified grid cell
Method      | Z0.BitGrid`3.SpanBlock(System.Int32)                                  | Returns the 256-bit block corresponding to a block index
Method      | Z0.BitRng.BitGrid``1(Z0.IPolyrand,Z0.N16)                             | Creates a 16-bit generic bitgrid
Method      | Z0.BitRng.BitGrid``1(Z0.IPolyrand,Z0.N32)                             | Creates a 32-bit generic bitgrid
Method      | Z0.BitRng.BitGrid``1(Z0.IPolyrand,Z0.N64)                             | Creates a 64-bit generic bitgrid
Method      | Z0.BitRng.BitGrid``3(Z0.IPolyrand,``0,``1,``2)                        | Allocates and populates a naturally-sized bitgrid from a random source
Method      | Z0.BitRng.Fill``3(Z0.IPolyrand,Z0.BitGrid{``0,``1,``2}@)              | Fills a caller-supplied naturally-sized bitgrid from a random source
Method      | Z0.BitRng.BitGrid``1(Z0.IPolyrand,Z0.N1,Z0.N16)                       | Creates a 1x16 16-bit natural bitgrid
Method      | Z0.BitRng.BitGrid``1(Z0.IPolyrand,Z0.N16,Z0.N1)                       | Creates a 16x1 6-bit natural bitgrid
Method      | Z0.BitRng.BitGrid``1(Z0.IPolyrand,Z0.N2,Z0.N8)                        | Creates a 2x8 16-bit natural bitgrid
Method      | Z0.BitRng.BitGrid``1(Z0.IPolyrand,Z0.N8,Z0.N2)                        | Creates an 8x2 16-bit natural bitgrid
Method      | Z0.BitRng.BitGrid``1(Z0.IPolyrand,Z0.N4,Z0.N4)                        | Creates a 4x4 16-bit natural bitgrid
Method      | Z0.BitRng.BitGrid``1(Z0.IPolyrand,Z0.N1,Z0.N32)                       | Creates a 1x32 32-bit natural bitgrid
Method      | Z0.BitRng.BitGrid``1(Z0.IPolyrand,Z0.N32,Z0.N1,``0)                   | Creates a 32-bit natural bitgrid of dimension 32x1
Method      | Z0.BitRng.BitGrid``1(Z0.IPolyrand,Z0.N2,Z0.N16,``0)                   | Creates a 32-bit natural bitgrid of dimension 2x16
Method      | Z0.BitRng.BitGrid``1(Z0.IPolyrand,Z0.N16,Z0.N2,``0)                   | Creates a 32-bit natural bitgrid of dimension 16x2
Method      | Z0.BitRng.BitGrid``1(Z0.IPolyrand,Z0.N8,Z0.N4,``0)                    | Creates a natural 32-bit grid of dimension 8x4
Method      | Z0.BitRng.BitGrid``1(Z0.IPolyrand,Z0.N4,Z0.N8,``0)                    | Creates a natural 32-bit grid of dimension 4x8
Method      | Z0.BitRng.BitGrid``1(Z0.IPolyrand,Z0.N1,Z0.N64,``0)                   | Creates a natural 64-bit grid of dimension 1x64
Method      | Z0.BitRng.BitGrid``1(Z0.IPolyrand,Z0.N64,Z0.N1,``0)                   | Creates a natural 64-bit grid of dimension 64x1
Method      | Z0.BitRng.BitGrid``1(Z0.IPolyrand,Z0.N32,Z0.N2,``0)                   | Creates a natural 64-bit grid of dimension 32x2
Method      | Z0.BitRng.BitGrid``1(Z0.IPolyrand,Z0.N2,Z0.N32,``0)                   | Creates a natural 64-bit grid of dimension 2x32
Method      | Z0.BitRng.BitGrid``1(Z0.IPolyrand,Z0.N16,Z0.N4,``0)                   | Creates a natural 64-bit grid of dimension 16x4
Method      | Z0.BitRng.BitGrid``1(Z0.IPolyrand,Z0.N4,Z0.N16,``0)                   | Creates a natural 64-bit grid of dimension 4x16
Method      | Z0.BitRng.BitGrid``1(Z0.IPolyrand,Z0.N8,Z0.N8,``0)                    | Creates a 64-bit natural bitgrid of dimension 8x8 over generic cells
Method      | Z0.BitRng.BitGrid``1(Z0.IPolyrand,Z0.N1,Z0.N128,``0)                  | Creates a 128-bit natural bitgrid of dimension 1x128
Method      | Z0.BitRng.BitGrid``1(Z0.IPolyrand,Z0.N128,Z0.N1,``0)                  | Creates a 128-bit natural bitgrid of dimension 128x1
Method      | Z0.BitRng.BitGrid``1(Z0.IPolyrand,Z0.N2,Z0.N64,``0)                   | Creates a 128-bit natural bitgrid of dimension 2x64
Method      | Z0.BitRng.BitGrid``1(Z0.IPolyrand,Z0.N64,Z0.N2,``0)                   | Creates a 128-bit natural bitgrid of dimension 64x2
Method      | Z0.BitRng.BitGrid``1(Z0.IPolyrand,Z0.N4,Z0.N32,``0)                   | Creates a 128-bit natural bitgrid of dimension 4x32
Method      | Z0.BitRng.BitGrid``1(Z0.IPolyrand,Z0.N32,Z0.N4,``0)                   | Creates a 128-bit natural bitgrid of dimension 32x4
Method      | Z0.BitRng.BitGrid``1(Z0.IPolyrand,Z0.N8,Z0.N16,``0)                   | Creates a 128-bit natural bitgrid of dimension 8x16
Method      | Z0.BitRng.BitGrid``1(Z0.IPolyrand,Z0.N16,Z0.N8,``0)                   | Creates a 128-bit natural bitgrid of dimension 16x8
Method      | Z0.BitRng.BitGrid``1(Z0.IPolyrand,Z0.N1,Z0.N256,``0)                  | Creates a 256-bit natural bitgrid of dimension 1x256
Method      | Z0.BitRng.BitGrid``1(Z0.IPolyrand,Z0.N256,Z0.N1,``0)                  | Creates a 256-bit natural bitgrid of dimension 256x1
Method      | Z0.BitRng.BitGrid``1(Z0.IPolyrand,Z0.N2,Z0.N128,``0)                  | Creates a 256-bit natural bitgrid of dimension 2x128
