Type        | Z0.dinxfp                                                             | Direct vectorized intrinsics over floating-point domains
Method      | Z0.dinxsfp.eq(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double})| int _mm_ucomieq_sd (__m128d a, __m128d b)UCOMISD xmm, xmm/m64
Method      | Z0.dinxsfp.neq(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single})| int _mm_comineq_ss (__m128 a, __m128 b)COMISS xmm, xmm/m32
Method      | Z0.dinxsfp.neq(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double})| int _mm_comineq_sd (__m128d a, __m128d b)COMISD xmm, xmm/m64
Method      | Z0.dinxsfp.gt(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single})| int _mm_comigt_ss (__m128 a, __m128 b)COMISS xmm, xmm/m32
Method      | Z0.dinxsfp.gt(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double})| int _mm_comigt_sd (__m128d a, __m128d b)COMISD xmm, xmm/m64
Method      | Z0.dinxsfp.gteq(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single})| int _mm_comige_ss (__m128 a, __m128 b)COMISS xmm, xmm/m32
Method      | Z0.dinxsfp.gteq(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double})| int _mm_comige_sd (__m128d a, __m128d b)COMISD xmm, xmm/m64
Method      | Z0.dinxsfp.ngt(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single})| __m128 _mm_cmpngt_ss (__m128 a, __m128 b)CMPSS xmm, xmm/m32, imm8(2)
Method      | Z0.dinxsfp.ngt(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double})| __m128d _mm_cmpngt_sd (__m128d a, __m128d b)CMPSD xmm, xmm/m64, imm8(2)
Method      | Z0.dinxsfp.lt(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single})| int _mm_comilt_ss (__m128 a, __m128 b)COMISS xmm, xmm/m32
Method      | Z0.dinxsfp.lt(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double})| int _mm_comilt_sd (__m128d a, __m128d b)COMISD xmm, xmm/m64
Method      | Z0.dinxsfp.nlt(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single})| __m128 _mm_cmpnlt_ss (__m128 a, __m128 b)CMPSS xmm, xmm/m32, imm8(5)
Method      | Z0.dinxsfp.nlt(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double})| __m128d _mm_cmpnlt_sd (__m128d a, __m128d b)CMPSD xmm, xmm/m64, imm8(5)
Method      | Z0.dinxsfp.lteq(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single})| int _mm_ucomile_ss (__m128 a, __m128 b)UCOMISS xmm, xmm/m32
Method      | Z0.dinxsfp.lteq(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double})| int _mm_ucomile_sd (__m128d a, __m128d b)UCOMISD xmm, xmm/m64
Method      | Z0.dinxsfp.cmp(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single},Z0.FpCmpMode)| __m128 _mm_cmp_ss (__m128 a, __m128 b, const int imm8) VCMPSD xmm, xmm, xmm/m64, imm8
Method      | Z0.dinxsfp.cmp(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double},Z0.FpCmpMode)| __m128d _mm_cmp_sd (__m128d a, __m128d b, const int imm8) VCMPSS xmm, xmm, xmm/m32, imm8
Method      | Z0.dinxsfp.ceil(System.Runtime.Intrinsics.Vector128{System.Single})   | __m128 _mm_ceil_ss (__m128 a)ROUNDSD xmm, xmm/m128, imm8(10)
Method      | Z0.dinxsfp.ceil(System.Runtime.Intrinsics.Vector128{System.Double})   | __m128d _mm_ceil_sd (__m128d a)ROUNDSD xmm, xmm/m128, imm8(10)
Method      | Z0.dinxsfp.floor(System.Runtime.Intrinsics.Vector128{System.Single})  | __m128 _mm_ceil_ss (__m128 a)ROUNDSD xmm, xmm/m128, imm8(10)
Method      | Z0.dinxsfp.floor(System.Runtime.Intrinsics.Vector128{System.Double})  | __m128d _mm_ceil_sd (__m128d a)ROUNDSD xmm, xmm/m128, imm8(10)
Method      | Z0.dinxsfp.rcp(System.Runtime.Intrinsics.Vector128{System.Single})    | __m128 _mm_rcp_ss (__m128 a) RCPSS xmm, xmm/m32
Method      | Z0.dinxsfp.sqrt(System.Runtime.Intrinsics.Vector128{System.Single})   | __m128 _mm_sqrt_ss (__m128 a) SQRTSS xmm, xmm/m32
Method      | Z0.dinxsfp.sqrt(System.Runtime.Intrinsics.Vector128{System.Double})   | _m128d _mm_sqrt_sd (__m128d a) SQRTSD xmm, xmm/64
Method      | Z0.dinxsfp.rsqrt(System.Runtime.Intrinsics.Vector128{System.Single}@) | __m128 _mm_rsqrt_ss (__m128 a) RSQRTSS xmm, xmm/m32
Method      | Z0.dinxsfp.IsNaN(System.Runtime.Intrinsics.Vector128{System.Single},System.Int32)| Determines whether the first component is NaN
Method      | Z0.dinxsfp.IsNaN(System.Runtime.Intrinsics.Vector128{System.Double},System.Int32)| Determines whether the first component is NaN
Type        | Z0.ginxfp                                                             | Generic intrinsics over floating-point domains
Method      | Z0.ginxfp.vfpsign``1(Z0.N256)                                         | Defines a vector of 32 or 64-bit floating point values where each component has been intialized to the value -0.0
Type        | Z0.ginxsfp                                                            | Generic scalar intrinsics over floating-point domains
