Method      | Z0.BitMatrixA.cimpl``1(Z0.BitMatrix{``0}@,Z0.BitMatrix{``0}@)         | Computes the converse implication for generic bitmatrices, returning the allocated result
Method      | Z0.BitMatrix16x.Transpose(Z0.BitMatrix16)                             | Transposes a copy of the source matrix
Method      | Z0.BitMatrix32x.ToBitCells(Z0.BitMatrix32)                            | Converts the matrix to a bitvector
Method      | Z0.BitMatrix32x.ToBitMatrix(Z0.NatPerm{Z0.N32})                       | Creates the matrix determined by a permutation
Method      | Z0.BitMatrix32x.ToGeneric(Z0.BitMatrix32)                             | Creates a generic matrix from the primal source data
Method      | Z0.BitMatrix32x.ToNatural(Z0.BitMatrix32)                             | Converts the source matrix to a square matrix of natural order
Method      | Z0.BitMatrix32x.ToNatural(Z0.BitMatrix{System.UInt32})                | Converts the source matrix to a square matrix of natural order
Method      | Z0.BitMatrix32x.IsZero(Z0.BitMatrix32)                                | Determines whether this matrix is equivalent to the canonical 0 matrix
Method      | Z0.BitMatrix4x.ToBitVector(Z0.BitMatrix4)                             | Converts the matrix to a bitvector
Method      | Z0.BitMatrix4x.Transpose(Z0.BitMatrix4)                               | Transposes a copy of the source matrix
Method      | Z0.BitMatrix64x.ToBitVector(Z0.BitMatrix64)                           | Converts the matrix to a bitvector
Method      | Z0.BitMatrix64x.ToBitMatrix(Z0.NatPerm{Z0.N64})                       | Creates the matrix determined by a permutation
Method      | Z0.BitMatrix64x.ToGeneric(Z0.BitMatrix64)                             | Creates a generic matrix from the primal source data
Method      | Z0.BitMatrix64x.ToNatural(Z0.BitMatrix64)                             | Converts the source matrix to a square matrix of natural order
Method      | Z0.BitMatrix64x.ToNatural(Z0.BitMatrix{System.UInt64})                | Converts the source matrix to a square matrix of natural order
Method      | Z0.BitMatrix64x.IsZero(Z0.BitMatrix64)                                | Determines whether this matrix is equivalent to the canonical 0 matrix
Method      | Z0.BitMatrix8x.ToBitVector(Z0.BitMatrix8)                             | Converts the matrix to a bitvector
Method      | Z0.BitMatrix8x.ToGeneric(Z0.BitMatrix8)                               | Creates a generic matrix from the primal source data
Method      | Z0.BitMatrix8x.ToBitMatrix(Z0.NatPerm{Z0.N8})                         | Creates the matrix determined by a permutation
Method      | Z0.BitMatrix8x.ToNatural(Z0.BitMatrix8)                               | Converts the source matrix to a square matrix of natural order
Method      | Z0.BitMatrix8x.ToNatural(Z0.BitMatrix{System.Byte})                   | Converts the source matrix to a square matrix of natural order
Method      | Z0.BitMatrix8x.IsZero(Z0.BitMatrix8)                                  | Determines whether this matrix is equivalent to the canonical 0 matrix
Method      | Z0.BitMatrix8x.ToGraph(Z0.BitMatrix8)                                 | Constructs an 8-node graph via the adjacency matrix interpretation
Method      | Z0.BitMatrix8x.Pack(Z0.BitMatrix8)                                    | Packs the matrix into an unsigned 64-bit integer
Method      | Z0.BitMatrix8x.Transpose(Z0.BitMatrix8)                               | Transposes a copy of the source matrix
Method      | Z0.BitMatrix8x.Diagonal(Z0.BitMatrix8)                                | Retrives the bitvector determined by the matrix diagonal
Method      | Z0.BitMatrix8x.Replicate(Z0.BitMatrix8)                               | Creates a new matrix by cloning the existing matrix or allocating a matrix with the same structure
Method      | Z0.TabularTruth.vector(Z0.N4,Z0.UnaryBitLogic)                        | Computes a the signature, also referred to as the truth vector, for an identified unary operator
Method      | Z0.TabularTruth.vector(Z0.N4,Z0.BinaryLogicKind)                      | Computes a the signature, also referred to as the truth vector, for an identified binary operator
Method      | Z0.TabularTruth.vector(Z0.N4,Z0.BinaryBitLogic)                       | Computes a the signature, also referred to as the truth vector, for an identified binary operator
Method      | Z0.TabularTruth.vector(Z0.N8,Z0.TernaryBitLogic)                      | Computes a the signature, also referred to as the truth vector, for an identified ternary operator
Method      | Z0.TabularTruth.vector(Z0.N16,Z0.BinaryLogicKind)                     | Constructs a canonical vector that defines a kind-identified operator
Type        | Z0.RowBits`1                                                          | Defines a sequence of generic bitvectors, interpreted as rows, for which the width is determined by the bitvector primal type
Method      | Z0.RowBits`1.op_BitwiseAnd(Z0.RowBits{`0}@,Z0.RowBits{`0}@)           | Computes the bitwise AND between the operands
Method      | Z0.RowBits`1.op_BitwiseOr(Z0.RowBits{`0}@,Z0.RowBits{`0}@)            | Computes the bitwise OR between the operands
Method      | Z0.RowBits`1.op_ExclusiveOr(Z0.RowBits{`0}@,Z0.RowBits{`0}@)          | Computes the bitwise XOR between the operands
Method      | Z0.RowBits`1.op_OnesComplement(Z0.RowBits{`0}@)                       | Computes the bitwise complement of the source matrix
Property    | Z0.RowBits`1.Head                                                     | A reference to the first storage cell allocated to the matrix
Property    | Z0.RowBits`1.Bytes                                                    | The underlying matrix presented as a bytespan
Property    | Z0.RowBits`1.IsSquare                                                 | Specifies whether the matrix is square; if so, it can be represented by one of the primal matrices
Property    | Z0.RowBits`1.Item(System.Int32)                                       | Queries/manipulates index-identified row data
Type        | Z0.TableIndex                                                         | Correlates a linear bit index, a cell index and bit offset, and a row/column coordinate in a grid/matrix
Field       | Z0.TableIndex.CellIndex                                               | The container-relative index of the storage segment containing the bit
Field       | Z0.TableIndex.RowCellCount                                            | The number of cells covered by a row
Field       | Z0.TableIndex.BitOffset                                               | The segment-relative bit offset
Field       | Z0.TableIndex.BitIndex                                                | The 0-based position of the cell
Field       | Z0.TableIndex.RowIndex                                                | The 0-based row index
Field       | Z0.TableIndex.ColIndex                                                | The 0-based column index
Type        | Z0.BitMatrix`1                                                        | Defines a square bitmatrix with order determined by the primal type over which it is defined            The intent is to provide a primal bitmatrix generalization
Property    | Z0.BitMatrix`1.Order                                                  | Specifies the number rows/columns
Type        | Z0.BitMatrix16                                                        | Defines a 16x16 matrix of bits
Field       | Z0.BitMatrix16.N                                                      | The matrix order
Property    | Z0.BitMatrix16.Identity                                               | Defines the 16x16 identity bitmatrix
Property    | Z0.BitMatrix16.Zero                                                   | Allocates a 16x16 zero bitmatrix
Method      | Z0.BitMatrix16.Alloc(Z0.bit)                                          | Allocates a matrix with a fill value
Method      | Z0.BitMatrix16.op_BitwiseAnd(Z0.BitMatrix16@,Z0.BitMatrix16@)         | Computes the bitwise and of the operands
Property    | Z0.BitMatrix16.Bytes                                                  | The underlying matrix presented as a bytespan
Property    | Z0.BitMatrix16.Content                                                | The underlying matrix data
Property    | Z0.BitMatrix16.Head                                                   | A reference to the first row of the matrix
Property    | Z0.BitMatrix16.Item(System.Int32,System.Int32)                        | Reads/manipulates the bit in a specified cell
Property    | Z0.BitMatrix16.Item(System.Int32)                                     | Gets/sets an identified row
Type        | Z0.BitMatrix32                                                        | Defines a 32x32 matrix of bits
Field       | Z0.BitMatrix32.N                                                      | The matrix order
Property    | Z0.BitMatrix32.Identity                                               | Allocates a 32x32 identity bitmatrix
Property    | Z0.BitMatrix32.Zero                                                   | Allocates a 32x32 zero bitmatrix
Property    | Z0.BitMatrix32.Content                                                | The underlying matrix data
Property    | Z0.BitMatrix32.Bytes                                                  | The underlying matrix presented as a bytespan
Property    | Z0.BitMatrix32.Head                                                   | A reference to the first row of the matrix
Property    | Z0.BitMatrix32.Order                                                  | The square matrix order
Property    | Z0.BitMatrix32.Item(System.Int32,System.Int32)                        | Queries/manipulates a bit in an identified cell
Property    | Z0.BitMatrix32.Item(System.Int32)                                     | Queries/manipulates row data
Field       | Z0.BitMatrix4.N                                                       | The matrix order
Property    | Z0.BitMatrix4.Identity                                                | Allocates a 4x4 identity bitmatrix
Method      | Z0.BitMatrix4.Alloc(Z0.bit)                                           | Allocates a matrix, optionally assigning each element to the specified bit value
Method      | Z0.BitMatrix4.GetRow(System.Int32)                                    | Gets an index-identified row vector
Type        | Z0.BitMatrix64                                                        | Defines a 64x64 matrix of bits
Field       | Z0.BitMatrix64.N                                                      | The matrix order
Property    | Z0.BitMatrix64.Identity                                               | Defines the 64x64 identity bitmatrix
Property    | Z0.BitMatrix64.Zero                                                   | Defines the 64x64 zero bitmatrix
Property    | Z0.BitMatrix64.Order                                                  | Specifies the number of rows in the matrix
Property    | Z0.BitMatrix64.Bytes                                                  | The underlying matrix presented as a bytespan
Property    | Z0.BitMatrix64.Content                                                | The underlying matrix data
Property    | Z0.BitMatrix64.Head                                                   | A reference to the first row of the matrix
Property    | Z0.BitMatrix64.Item(System.Int32,System.Int32)                        | Reads/manipulates the bit in a specified cell
Property    | Z0.BitMatrix64.Item(System.Int32)                                     | Gets or sets the data for a specified row
Type        | Z0.BitMatrix8                                                         | Defines an 8x8 matrix of bits
Field       | Z0.BitMatrix8.N                                                       | The matrix order
Property    | Z0.BitMatrix8.Identity                                                | Allocates an 8x8 identity bitmatrix
Property    | Z0.BitMatrix8.Zero                                                    | Allocates an 8x8 zero bitmatrix
Property    | Z0.BitMatrix8.Ones                                                    | Allocates an 8x8 1-filled bitmatrix
Property    | Z0.BitMatrix8.Head                                                    | A reference to the first row of the matrix
Property    | Z0.BitMatrix8.Order                                                   | The square matrix order
Property    | Z0.BitMatrix8.Item(System.Int32,System.Int32)                         | Reads/manipulates the bit in a specified cell
Property    | Z0.BitMatrix8.Item(System.Int32)                                      | Gets/Sets the data for a row
Type        | Z0.BitMatrix`3                                                        | Defines a bitmatrix of natural dimensions over a primal type
Method      | Z0.BitMatrix`3.Alloc                                                  | Allocates a Zero-filled mxn matrix
Method      | Z0.BitMatrix`3.Load(System.Span{`2})                                  | Loads a matrix from an array of appopriate length
Property    | Z0.BitMatrix`3.Content                                                | Presents matrix storage as a span of generic cells
Property    | Z0.BitMatrix`3.Head                                                   | Returns a reference to the leading segment of the underlying storage
Property    | Z0.BitMatrix`3.Bytes                                                  | Presents matrix storage as a bytespan
Property    | Z0.BitMatrix`3.RowCount                                               | The number of rows in the matrix
Property    | Z0.BitMatrix`3.ColCount                                               | The number of columns in the matrix
Property    | Z0.BitMatrix`3.CellCount                                              | The number of allocated storage cells
Property    | Z0.BitMatrix`3.Item(System.Int32,System.Int32)                        | Queries/manipulates a bit at a specified row/col
Property    | Z0.BitMatrix`3.Item(System.Int32)                                     | Queries mainpulates a row
Method      | Z0.BitMatrix`3.SetCol(System.Int32,Z0.BitBlock{`0,`2})                | Replaces an index-identied column of data with the content of a column vector
Method      | Z0.BitMatrix`3.GetCol(System.Int32)                                   | Retrieves an index-identied column of data presented as a bitvector
Method      | Z0.BitMatrix`3.Fill(Z0.bit)                                           | Sets all the bits to align with the source value
Method      | Z0.BitMatrix`3.Transpose                                              | The world's most inefficient bitmatrix transpose
Type        | Z0.BitMatrix`2                                                        | Defines a square bitmatrix of natural order over a primal type
Property    | Z0.BitMatrix`2.RowWidth                                               | The bit width of each row/column
Property    | Z0.BitMatrix`2.CellWidth                                              | The bit width of a storage cell
Property    | Z0.BitMatrix`2.RowCellCount                                           | The (padded) number of cells required for each row of storage
Method      | Z0.BitMatrix`2.op_Multiply(Z0.BitMatrix{`0,`1},Z0.BitMatrix{`0,`1})   | Multiplies the left matrix by the right
Property    | Z0.BitMatrix`2.Head                                                   | Returns a reference to the leading segment of the underlying storage
Property    | Z0.BitMatrix`2.Item(System.Int32)                                     | Queries/Specifies a row
Property    | Z0.BitMatrix`2.Order                                                  | The number of rows/cols in the matrix
Property    | Z0.BitMatrix`2.Content                                                | Provides direct access to the underlying bitstore
Method      | Z0.BitMatrix`2.SetCol(System.Int32,Z0.BitBlock{`0,`1})                | Replaces an index-identied column of data with the content of a column vector
Method      | Z0.BitMatrix`2.GetCol(System.Int32)                                   | Retrieves an index-identied column of data presented as a bitvector
Method      | Z0.BitMatrix`2.Fill(Z0.bit)                                           | Sets all the bits to align with the source value
