Method      | Z0.Blocks.aligned``1(Z0.W8,System.Int32)                              | Determines whether a specified number of elements can be evenly covered by 8-bit blocks
Method      | Z0.Block64`1.Extract(System.Int32)                                    | Extracts an index-identified block (non-allocating, but not free due to the price of creating a new wrapper)
Method      | Z0.Block64`1.Fill(`0)                                                 | Broadcasts a value to all blocked cells
Method      | Z0.Block64`1.Clear                                                    | Zero-fills all blocked cells
Method      | Z0.Block64`1.CopyTo(System.Span{`0})                                  | Copies blocked content to a target span
Method      | Z0.Block64`1.As``1                                                    | Reinterprets the storage cell type
Type        | Z0.Block8`1                                                           | Defines a span of contiguous memory that can be evenly partitioned into 8-bit segments
Property    | Z0.Block8`1.Data                                                      | The backing storage
Property    | Z0.Block8`1.Head                                                      | The leading storage cell
Property    | Z0.Block8`1.CellCount                                                 | The number of allocated cells
Property    | Z0.Block8`1.BlockLength                                               | The number of cells in a block
Property    | Z0.Block8`1.BlockCount                                                | The number of covered blocks
Property    | Z0.Block8`1.BitCount                                                  | The number of covered bits
Property    | Z0.Block8`1.Item(System.Int32)                                        | Mediates access to the underlying storage cells via linear index
Property    | Z0.Block8`1.Item(System.Int32,System.Int32)                           | Mediates access to the the underlying storage cells via block index and block-relative cell index
Property    | Z0.Block8`1.Bytes                                                     | Presents the source data as bytespan
Method      | Z0.Block8`1.Cell(System.Int32,System.Int32)                           | Mediates access to the the underlying storage cells via block index and block-relative cell index
Method      | Z0.Block8`1.Block(System.Int32)                                       | Retrieves an index-identified data block
Method      | Z0.Block8`1.Extract(System.Int32)                                     | Extracts an index-identified block (non-allocating, but not free due to the price of creating a new wrapper)
Method      | Z0.Block8`1.Fill(`0)                                                  | Broadcasts a value to all blocked cells
Method      | Z0.Block8`1.Clear                                                     | Zero-fills all blocked cells
Method      | Z0.Block8`1.CopyTo(System.Span{`0})                                   | Copies blocked content to a target span
Method      | Z0.Block8`1.As``1                                                     | Reinterprets the storage cell type
Property    | Z0.Block256`2.Length                                                  | Specifies the length of the vector, i.e. its component count
Method      | Z0.Block256`2.op_Implicit(Z0.Block256{`0,`1})~Z0.NatSpan{`0,`1}       | Vec =&gt; Slice
Method      | Z0.Block256`2.op_Implicit(Z0.NatSpan{`0,`1})~Z0.Block256{`0,`1}       | Slice =&gt; Vec
Method      | Z0.Block256`2.Map``1(System.Func{`1,``0})                             | Projects the source vector onto a target vector of the same length             via a supplied transformation
Method      | Z0.Block256`2.Map``1(System.Func{`1,``0},Z0.Block256{`0,``0}@)        | Projects the source vector onto a caller-supplied target vector of the same length             via a supplied transformation
Type        | Z0.RowVector                                                          | Defines the vector api surface
Method      | Z0.RowVector.natspan``2(Z0.Block256{``1}@,``0)                        | Loads a natural block from blocked storage
Method      | Z0.RowVector.safeload``2(Z0.N256,Z0.NatSpan{``0,``1}@)                | Loads an unsized 256-bit blocked span from a sized unblocked span
Method      | Z0.RowVector.load``2(``1[],``0)                                       | Loads a vector of natural length
Method      | Z0.RowVector.load``2(``0,``1[])                                       | Loads a vector of natural length
Method      | Z0.RowVector.range``2(``1,``0)                                        | Defines a scalar sequence [first, ..., (first + N)]
Method      | Z0.RowVector.blockalloc``2(``0)                                       | Allocates a block vector of natural length
Method      | Z0.RowVector.blockalloc``1(System.Int32)                              | Allocates a block vector optionally filled with a specified value
Method      | Z0.RowVector.blockload``2(System.Span{``1},``0)                       | Loads a vector of natural length from a span that may not be aligned (Allocating if unaligned)
Type        | Z0.RowVector`1                                                        | Defines a vector over cells of unmanaged type
Method      | Z0.RowVector`1.op_Implicit(`0[])~Z0.RowVector{`0}                     | Implicitly converts an array to a vector
Method      | Z0.RowVector`1.op_Implicit(Z0.RowVector{`0})~System.Span{`0}          | Implicitly reveals a vector's underlying memory span
Method      | Z0.RowVector`1.op_Implicit(Z0.RowVector{`0})~System.ReadOnlySpan{`0}  | Implicitly provies a readonly-view of a vector's underlying data
Method      | Z0.RowVector`1.op_BitwiseAnd(Z0.RowVector{`0},Z0.RowVector{`0})       | Calculates the scalar product between the operands
Method      | Z0.RowVector`1.op_Equality(Z0.RowVector{`0},Z0.RowVector{`0})         | Deems vectors are equal if they have the same number of components            and corresponding components have identical content
Method      | Z0.RowVector`1.#ctor(`0[])                                            | Initializes a vector from array content
Property    | Z0.RowVector`1.Item(System.Int32)                                     | Queries/manipulates component values
Property    | Z0.RowVector`1.Data                                                   | The data wrapped by the vector
Property    | Z0.RowVector`1.Length                                                 | The count of vector components, otherwise known as its dimension
Method      | Z0.RowVector`1.Format                                                 | Formats components as a list
Method      | Z0.RowVector`1.CopyTo(System.Span{`0})                                | Copies vector content into a caller-provided span
Property    | Z0.RowVector`2.Dim                                                    | The vector's dimension
Property    | Z0.RowVector`2.Zero                                                   | The zero vector
Method      | Z0.RowVector`2.#ctor(`1[])                                            | Initializes a vector with an array
Property    | Z0.RowVector`2.Item(System.Int32)                                     | Queries/manipulates component values
Property    | Z0.RowVector`2.Data                                                   | The vector data
Property    | Z0.RowVector`2.Length                                                 | The count of vector components, otherwise known as its dimension
Method      | Z0.RowVector`2.Map``1(System.Func{`1,``0})                            | Projects the source vector onto a target vector of the same length             via a supplied transformation
Method      | Z0.RowVector`2.Map``1(System.Func{`1,``0},Z0.RowVector{`0,``0}@)      | Projects the source vector onto a caller-supplied target vector of the same length             via a supplied transformation
