| Sequence  | Id                                                | CodeBytes       | Prefix  | Table   | Group   | Op1                 | Op2                 | Op3                 | Op4                 | OpSize    | AddressSize   | Flags     
| 2300      | EVEX_Vpaddusb_xmm_k1z_xmm_xmmm128                 | dc 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| 2301      | EVEX_Vpaddusb_ymm_k1z_ymm_ymmm256                 | dc 00 00 00     | P66     | T0F     |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| 2302      | EVEX_Vpaddusb_zmm_k1z_zmm_zmmm512                 | dc 00 00 00     | P66     | T0F     |         | zmm_reg             | zmm_vvvv            | zmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| 2303      | Paddusw_mm_mmm64                                  | dd 00 00 00     | PNP     | T0F     |         | mm_reg              | mm_or_mem           |                     |                     |           |               | Mode16, Mode32, Mode64
| 2304      | Paddusw_xmm_xmmm128                               | dd 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| 2305      | VEX_Vpaddusw_xmm_xmm_xmmm128                      | dd 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG
| 2306      | VEX_Vpaddusw_ymm_ymm_ymmm256                      | dd 00 00 00     | P66     | T0F     |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG
| 2307      | EVEX_Vpaddusw_xmm_k1z_xmm_xmmm128                 | dd 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| 2308      | EVEX_Vpaddusw_ymm_k1z_ymm_ymmm256                 | dd 00 00 00     | P66     | T0F     |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| 2309      | EVEX_Vpaddusw_zmm_k1z_zmm_zmmm512                 | dd 00 00 00     | P66     | T0F     |         | zmm_reg             | zmm_vvvv            | zmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| 2310      | Pmaxub_mm_mmm64                                   | de 00 00 00     | PNP     | T0F     |         | mm_reg              | mm_or_mem           |                     |                     |           |               | Mode16, Mode32, Mode64
| 2311      | Pmaxub_xmm_xmmm128                                | de 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| 2312      | VEX_Vpmaxub_xmm_xmm_xmmm128                       | de 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG
| 2313      | VEX_Vpmaxub_ymm_ymm_ymmm256                       | de 00 00 00     | P66     | T0F     |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG
| 2314      | EVEX_Vpmaxub_xmm_k1z_xmm_xmmm128                  | de 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| 2315      | EVEX_Vpmaxub_ymm_k1z_ymm_ymmm256                  | de 00 00 00     | P66     | T0F     |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| 2316      | EVEX_Vpmaxub_zmm_k1z_zmm_zmmm512                  | de 00 00 00     | P66     | T0F     |         | zmm_reg             | zmm_vvvv            | zmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| 2317      | Pandn_mm_mmm64                                    | df 00 00 00     | PNP     | T0F     |         | mm_reg              | mm_or_mem           |                     |                     |           |               | Mode16, Mode32, Mode64
| 2318      | Pandn_xmm_xmmm128                                 | df 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| 2319      | VEX_Vpandn_xmm_xmm_xmmm128                        | df 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG
| 2320      | VEX_Vpandn_ymm_ymm_ymmm256                        | df 00 00 00     | P66     | T0F     |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG
| 2321      | EVEX_Vpandnd_xmm_k1z_xmm_xmmm128b32               | df 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, Broadcast, OpMaskRegister, ZeroingMasking
| 2322      | EVEX_Vpandnd_ymm_k1z_ymm_ymmm256b32               | df 00 00 00     | P66     | T0F     |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, Broadcast, OpMaskRegister, ZeroingMasking
| 2323      | EVEX_Vpandnd_zmm_k1z_zmm_zmmm512b32               | df 00 00 00     | P66     | T0F     |         | zmm_reg             | zmm_vvvv            | zmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, Broadcast, OpMaskRegister, ZeroingMasking
| 2324      | EVEX_Vpandnq_xmm_k1z_xmm_xmmm128b64               | df 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, OpMaskRegister, ZeroingMasking
| 2325      | EVEX_Vpandnq_ymm_k1z_ymm_ymmm256b64               | df 00 00 00     | P66     | T0F     |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, OpMaskRegister, ZeroingMasking
| 2326      | EVEX_Vpandnq_zmm_k1z_zmm_zmmm512b64               | df 00 00 00     | P66     | T0F     |         | zmm_reg             | zmm_vvvv            | zmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, OpMaskRegister, ZeroingMasking
| 2327      | Pavgb_mm_mmm64                                    | e0 00 00 00     | PNP     | T0F     |         | mm_reg              | mm_or_mem           |                     |                     |           |               | Mode16, Mode32, Mode64
| 2328      | Pavgb_xmm_xmmm128                                 | e0 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| 2329      | VEX_Vpavgb_xmm_xmm_xmmm128                        | e0 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG
| 2330      | VEX_Vpavgb_ymm_ymm_ymmm256                        | e0 00 00 00     | P66     | T0F     |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG
| 2331      | EVEX_Vpavgb_xmm_k1z_xmm_xmmm128                   | e0 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| 2332      | EVEX_Vpavgb_ymm_k1z_ymm_ymmm256                   | e0 00 00 00     | P66     | T0F     |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| 2333      | EVEX_Vpavgb_zmm_k1z_zmm_zmmm512                   | e0 00 00 00     | P66     | T0F     |         | zmm_reg             | zmm_vvvv            | zmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| 2334      | Psraw_mm_mmm64                                    | e1 00 00 00     | PNP     | T0F     |         | mm_reg              | mm_or_mem           |                     |                     |           |               | Mode16, Mode32, Mode64
| 2335      | Psraw_xmm_xmmm128                                 | e1 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| 2336      | VEX_Vpsraw_xmm_xmm_xmmm128                        | e1 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG
| 2337      | VEX_Vpsraw_ymm_ymm_xmmm128                        | e1 00 00 00     | P66     | T0F     |         | ymm_reg             | ymm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG
| 2338      | EVEX_Vpsraw_xmm_k1z_xmm_xmmm128                   | e1 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| 2339      | EVEX_Vpsraw_ymm_k1z_ymm_xmmm128                   | e1 00 00 00     | P66     | T0F     |         | ymm_reg             | ymm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| 2340      | EVEX_Vpsraw_zmm_k1z_zmm_xmmm128                   | e1 00 00 00     | P66     | T0F     |         | zmm_reg             | zmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| 2341      | Psrad_mm_mmm64                                    | e2 00 00 00     | PNP     | T0F     |         | mm_reg              | mm_or_mem           |                     |                     |           |               | Mode16, Mode32, Mode64
| 2342      | Psrad_xmm_xmmm128                                 | e2 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| 2343      | VEX_Vpsrad_xmm_xmm_xmmm128                        | e2 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG
| 2344      | VEX_Vpsrad_ymm_ymm_xmmm128                        | e2 00 00 00     | P66     | T0F     |         | ymm_reg             | ymm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG
| 2345      | EVEX_Vpsrad_xmm_k1z_xmm_xmmm128                   | e2 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister, ZeroingMasking
| 2346      | EVEX_Vpsrad_ymm_k1z_ymm_xmmm128                   | e2 00 00 00     | P66     | T0F     |         | ymm_reg             | ymm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister, ZeroingMasking
| 2347      | EVEX_Vpsrad_zmm_k1z_zmm_xmmm128                   | e2 00 00 00     | P66     | T0F     |         | zmm_reg             | zmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister, ZeroingMasking
| 2348      | EVEX_Vpsraq_xmm_k1z_xmm_xmmm128                   | e2 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W, OpMaskRegister, ZeroingMasking
| 2349      | EVEX_Vpsraq_ymm_k1z_ymm_xmmm128                   | e2 00 00 00     | P66     | T0F     |         | ymm_reg             | ymm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W, OpMaskRegister, ZeroingMasking
| 2350      | EVEX_Vpsraq_zmm_k1z_zmm_xmmm128                   | e2 00 00 00     | P66     | T0F     |         | zmm_reg             | zmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W, OpMaskRegister, ZeroingMasking
| 2351      | Pavgw_mm_mmm64                                    | e3 00 00 00     | PNP     | T0F     |         | mm_reg              | mm_or_mem           |                     |                     |           |               | Mode16, Mode32, Mode64
| 2352      | Pavgw_xmm_xmmm128                                 | e3 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| 2353      | VEX_Vpavgw_xmm_xmm_xmmm128                        | e3 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG
| 2354      | VEX_Vpavgw_ymm_ymm_ymmm256                        | e3 00 00 00     | P66     | T0F     |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG
| 2355      | EVEX_Vpavgw_xmm_k1z_xmm_xmmm128                   | e3 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| 2356      | EVEX_Vpavgw_ymm_k1z_ymm_ymmm256                   | e3 00 00 00     | P66     | T0F     |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| 2357      | EVEX_Vpavgw_zmm_k1z_zmm_zmmm512                   | e3 00 00 00     | P66     | T0F     |         | zmm_reg             | zmm_vvvv            | zmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| 2358      | Pmulhuw_mm_mmm64                                  | e4 00 00 00     | PNP     | T0F     |         | mm_reg              | mm_or_mem           |                     |                     |           |               | Mode16, Mode32, Mode64
| 2359      | Pmulhuw_xmm_xmmm128                               | e4 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| 2360      | VEX_Vpmulhuw_xmm_xmm_xmmm128                      | e4 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG
| 2361      | VEX_Vpmulhuw_ymm_ymm_ymmm256                      | e4 00 00 00     | P66     | T0F     |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG
| 2362      | EVEX_Vpmulhuw_xmm_k1z_xmm_xmmm128                 | e4 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| 2363      | EVEX_Vpmulhuw_ymm_k1z_ymm_ymmm256                 | e4 00 00 00     | P66     | T0F     |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| 2364      | EVEX_Vpmulhuw_zmm_k1z_zmm_zmmm512                 | e4 00 00 00     | P66     | T0F     |         | zmm_reg             | zmm_vvvv            | zmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| 2365      | Pmulhw_mm_mmm64                                   | e5 00 00 00     | PNP     | T0F     |         | mm_reg              | mm_or_mem           |                     |                     |           |               | Mode16, Mode32, Mode64
| 2366      | Pmulhw_xmm_xmmm128                                | e5 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| 2367      | VEX_Vpmulhw_xmm_xmm_xmmm128                       | e5 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG
| 2368      | VEX_Vpmulhw_ymm_ymm_ymmm256                       | e5 00 00 00     | P66     | T0F     |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG
| 2369      | EVEX_Vpmulhw_xmm_k1z_xmm_xmmm128                  | e5 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| 2370      | EVEX_Vpmulhw_ymm_k1z_ymm_ymmm256                  | e5 00 00 00     | P66     | T0F     |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| 2371      | EVEX_Vpmulhw_zmm_k1z_zmm_zmmm512                  | e5 00 00 00     | P66     | T0F     |         | zmm_reg             | zmm_vvvv            | zmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| 2372      | Cvttpd2dq_xmm_xmmm128                             | e6 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| 2373      | VEX_Vcvttpd2dq_xmm_xmmm128                        | e6 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG
| 2374      | VEX_Vcvttpd2dq_xmm_ymmm256                        | e6 00 00 00     | P66     | T0F     |         | xmm_reg             | ymm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG
| 2375      | EVEX_Vcvttpd2dq_xmm_k1z_xmmm128b64                | e6 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, OpMaskRegister, ZeroingMasking
| 2376      | EVEX_Vcvttpd2dq_xmm_k1z_ymmm256b64                | e6 00 00 00     | P66     | T0F     |         | xmm_reg             | ymm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, OpMaskRegister, ZeroingMasking
| 2377      | EVEX_Vcvttpd2dq_ymm_k1z_zmmm512b64_sae            | e6 00 00 00     | P66     | T0F     |         | ymm_reg             | zmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, SuppressAllExceptions, OpMaskRegister, ZeroingMasking
| 2378      | Cvtdq2pd_xmm_xmmm64                               | e6 00 00 00     | PF3     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| 2379      | VEX_Vcvtdq2pd_xmm_xmmm64                          | e6 00 00 00     | PF3     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG
| 2380      | VEX_Vcvtdq2pd_ymm_xmmm128                         | e6 00 00 00     | PF3     | T0F     |         | ymm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG
| 2381      | EVEX_Vcvtdq2pd_xmm_k1z_xmmm64b32                  | e6 00 00 00     | PF3     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, Broadcast, OpMaskRegister, ZeroingMasking
| 2382      | EVEX_Vcvtdq2pd_ymm_k1z_xmmm128b32                 | e6 00 00 00     | PF3     | T0F     |         | ymm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, Broadcast, OpMaskRegister, ZeroingMasking
| 2383      | EVEX_Vcvtdq2pd_zmm_k1z_ymmm256b32                 | e6 00 00 00     | PF3     | T0F     |         | zmm_reg             | ymm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, Broadcast, OpMaskRegister, ZeroingMasking
| 2384      | EVEX_Vcvtqq2pd_xmm_k1z_xmmm128b64                 | e6 00 00 00     | PF3     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, OpMaskRegister, ZeroingMasking
| 2385      | EVEX_Vcvtqq2pd_ymm_k1z_ymmm256b64                 | e6 00 00 00     | PF3     | T0F     |         | ymm_reg             | ymm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, OpMaskRegister, ZeroingMasking
| 2386      | EVEX_Vcvtqq2pd_zmm_k1z_zmmm512b64_er              | e6 00 00 00     | PF3     | T0F     |         | zmm_reg             | zmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, RoundingControl, OpMaskRegister, ZeroingMasking
| 2387      | Cvtpd2dq_xmm_xmmm128                              | e6 00 00 00     | PF2     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| 2388      | VEX_Vcvtpd2dq_xmm_xmmm128                         | e6 00 00 00     | PF2     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG
| 2389      | VEX_Vcvtpd2dq_xmm_ymmm256                         | e6 00 00 00     | PF2     | T0F     |         | xmm_reg             | ymm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG
| 2390      | EVEX_Vcvtpd2dq_xmm_k1z_xmmm128b64                 | e6 00 00 00     | PF2     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, OpMaskRegister, ZeroingMasking
| 2391      | EVEX_Vcvtpd2dq_xmm_k1z_ymmm256b64                 | e6 00 00 00     | PF2     | T0F     |         | xmm_reg             | ymm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, OpMaskRegister, ZeroingMasking
| 2392      | EVEX_Vcvtpd2dq_ymm_k1z_zmmm512b64_er              | e6 00 00 00     | PF2     | T0F     |         | ymm_reg             | zmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, RoundingControl, OpMaskRegister, ZeroingMasking
| 2393      | Movntq_m64_mm                                     | e7 00 00 00     | PNP     | T0F     |         | mem                 | mm_reg              |                     |                     |           |               | Mode16, Mode32, Mode64
| 2394      | Movntdq_m128_xmm                                  | e7 00 00 00     | P66     | T0F     |         | mem                 | xmm_reg             |                     |                     |           |               | Mode16, Mode32, Mode64
| 2395      | VEX_Vmovntdq_m128_xmm                             | e7 00 00 00     | P66     | T0F     |         | mem                 | xmm_reg             |                     |                     |           |               | Mode16, Mode32, Mode64, WIG
| 2396      | VEX_Vmovntdq_m256_ymm                             | e7 00 00 00     | P66     | T0F     |         | mem                 | ymm_reg             |                     |                     |           |               | Mode16, Mode32, Mode64, WIG
| 2397      | EVEX_Vmovntdq_m128_xmm                            | e7 00 00 00     | P66     | T0F     |         | mem                 | xmm_reg             |                     |                     |           |               | Mode16, Mode32, Mode64
| 2398      | EVEX_Vmovntdq_m256_ymm                            | e7 00 00 00     | P66     | T0F     |         | mem                 | ymm_reg             |                     |                     |           |               | Mode16, Mode32, Mode64
| 2399      | EVEX_Vmovntdq_m512_zmm                            | e7 00 00 00     | P66     | T0F     |         | mem                 | zmm_reg             |                     |                     |           |               | Mode16, Mode32, Mode64
| 2400      | Psubsb_mm_mmm64                                   | e8 00 00 00     | PNP     | T0F     |         | mm_reg              | mm_or_mem           |                     |                     |           |               | Mode16, Mode32, Mode64
| 2401      | Psubsb_xmm_xmmm128                                | e8 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| 2402      | VEX_Vpsubsb_xmm_xmm_xmmm128                       | e8 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG
| 2403      | VEX_Vpsubsb_ymm_ymm_ymmm256                       | e8 00 00 00     | P66     | T0F     |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG
| 2404      | EVEX_Vpsubsb_xmm_k1z_xmm_xmmm128                  | e8 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| 2405      | EVEX_Vpsubsb_ymm_k1z_ymm_ymmm256                  | e8 00 00 00     | P66     | T0F     |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| 2406      | EVEX_Vpsubsb_zmm_k1z_zmm_zmmm512                  | e8 00 00 00     | P66     | T0F     |         | zmm_reg             | zmm_vvvv            | zmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| 2407      | Psubsw_mm_mmm64                                   | e9 00 00 00     | PNP     | T0F     |         | mm_reg              | mm_or_mem           |                     |                     |           |               | Mode16, Mode32, Mode64
| 2408      | Psubsw_xmm_xmmm128                                | e9 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| 2409      | VEX_Vpsubsw_xmm_xmm_xmmm128                       | e9 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG
| 2410      | VEX_Vpsubsw_ymm_ymm_ymmm256                       | e9 00 00 00     | P66     | T0F     |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG
| 2411      | EVEX_Vpsubsw_xmm_k1z_xmm_xmmm128                  | e9 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| 2412      | EVEX_Vpsubsw_ymm_k1z_ymm_ymmm256                  | e9 00 00 00     | P66     | T0F     |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| 2413      | EVEX_Vpsubsw_zmm_k1z_zmm_zmmm512                  | e9 00 00 00     | P66     | T0F     |         | zmm_reg             | zmm_vvvv            | zmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| 2414      | Pminsw_mm_mmm64                                   | ea 00 00 00     | PNP     | T0F     |         | mm_reg              | mm_or_mem           |                     |                     |           |               | Mode16, Mode32, Mode64
| 2415      | Pminsw_xmm_xmmm128                                | ea 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| 2416      | VEX_Vpminsw_xmm_xmm_xmmm128                       | ea 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG
| 2417      | VEX_Vpminsw_ymm_ymm_ymmm256                       | ea 00 00 00     | P66     | T0F     |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG
| 2418      | EVEX_Vpminsw_xmm_k1z_xmm_xmmm128                  | ea 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| 2419      | EVEX_Vpminsw_ymm_k1z_ymm_ymmm256                  | ea 00 00 00     | P66     | T0F     |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| 2420      | EVEX_Vpminsw_zmm_k1z_zmm_zmmm512                  | ea 00 00 00     | P66     | T0F     |         | zmm_reg             | zmm_vvvv            | zmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| 2421      | Por_mm_mmm64                                      | eb 00 00 00     | PNP     | T0F     |         | mm_reg              | mm_or_mem           |                     |                     |           |               | Mode16, Mode32, Mode64
| 2422      | Por_xmm_xmmm128                                   | eb 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
