| Id                                                | CodeBytes       | Prefix  | Table   | Group   | Op1                 | Op2                 | Op3                 | Op4                 | OpSize    | AddressSize   | Flags
| EVEX_Vprolvd_zmm_k1z_zmm_zmmm512b32               | 15 00 00 00     | P66     | T0F38   |         | zmm_reg             | zmm_vvvv            | zmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, Broadcast, OpMaskRegister, ZeroingMasking
| EVEX_Vprolvq_xmm_k1z_xmm_xmmm128b64               | 15 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, OpMaskRegister, ZeroingMasking
| EVEX_Vprolvq_ymm_k1z_ymm_ymmm256b64               | 15 00 00 00     | P66     | T0F38   |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, OpMaskRegister, ZeroingMasking
| EVEX_Vprolvq_zmm_k1z_zmm_zmmm512b64               | 15 00 00 00     | P66     | T0F38   |         | zmm_reg             | zmm_vvvv            | zmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, OpMaskRegister, ZeroingMasking
| EVEX_Vpmovusqd_xmmm64_k1z_xmm                     | 15 00 00 00     | PF3     | T0F38   |         | xmm_or_mem          | xmm_reg             |                     |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister, ZeroingMasking
| EVEX_Vpmovusqd_xmmm128_k1z_ymm                    | 15 00 00 00     | PF3     | T0F38   |         | xmm_or_mem          | ymm_reg             |                     |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister, ZeroingMasking
| EVEX_Vpmovusqd_ymmm256_k1z_zmm                    | 15 00 00 00     | PF3     | T0F38   |         | ymm_or_mem          | zmm_reg             |                     |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister, ZeroingMasking
| VEX_Vpermps_ymm_ymm_ymmm256                       | 16 00 00 00     | P66     | T0F38   |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64
| EVEX_Vpermps_ymm_k1z_ymm_ymmm256b32               | 16 00 00 00     | P66     | T0F38   |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, Broadcast, OpMaskRegister, ZeroingMasking
| EVEX_Vpermps_zmm_k1z_zmm_zmmm512b32               | 16 00 00 00     | P66     | T0F38   |         | zmm_reg             | zmm_vvvv            | zmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, Broadcast, OpMaskRegister, ZeroingMasking
| EVEX_Vpermpd_ymm_k1z_ymm_ymmm256b64               | 16 00 00 00     | P66     | T0F38   |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, OpMaskRegister, ZeroingMasking
| EVEX_Vpermpd_zmm_k1z_zmm_zmmm512b64               | 16 00 00 00     | P66     | T0F38   |         | zmm_reg             | zmm_vvvv            | zmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, OpMaskRegister, ZeroingMasking
| Ptest_xmm_xmmm128                                 | 17 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| VEX_Vptest_xmm_xmmm128                            | 17 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG
| VEX_Vptest_ymm_ymmm256                            | 17 00 00 00     | P66     | T0F38   |         | ymm_reg             | ymm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG
| VEX_Vbroadcastss_xmm_xmmm32                       | 18 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| VEX_Vbroadcastss_ymm_xmmm32                       | 18 00 00 00     | P66     | T0F38   |         | ymm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| EVEX_Vbroadcastss_xmm_k1z_xmmm32                  | 18 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister, ZeroingMasking
| EVEX_Vbroadcastss_ymm_k1z_xmmm32                  | 18 00 00 00     | P66     | T0F38   |         | ymm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister, ZeroingMasking
| EVEX_Vbroadcastss_zmm_k1z_xmmm32                  | 18 00 00 00     | P66     | T0F38   |         | zmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister, ZeroingMasking
| VEX_Vbroadcastsd_ymm_xmmm64                       | 19 00 00 00     | P66     | T0F38   |         | ymm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| EVEX_Vbroadcastf32x2_ymm_k1z_xmmm64               | 19 00 00 00     | P66     | T0F38   |         | ymm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister, ZeroingMasking
| EVEX_Vbroadcastf32x2_zmm_k1z_xmmm64               | 19 00 00 00     | P66     | T0F38   |         | zmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister, ZeroingMasking
| EVEX_Vbroadcastsd_ymm_k1z_xmmm64                  | 19 00 00 00     | P66     | T0F38   |         | ymm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, W, OpMaskRegister, ZeroingMasking
| EVEX_Vbroadcastsd_zmm_k1z_xmmm64                  | 19 00 00 00     | P66     | T0F38   |         | zmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, W, OpMaskRegister, ZeroingMasking
| VEX_Vbroadcastf128_ymm_m128                       | 1a 00 00 00     | P66     | T0F38   |         | ymm_reg             | mem                 |                     |                     |           |               | Mode16, Mode32, Mode64
| EVEX_Vbroadcastf32x4_ymm_k1z_m128                 | 1a 00 00 00     | P66     | T0F38   |         | ymm_reg             | mem                 |                     |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister, ZeroingMasking
| EVEX_Vbroadcastf32x4_zmm_k1z_m128                 | 1a 00 00 00     | P66     | T0F38   |         | zmm_reg             | mem                 |                     |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister, ZeroingMasking
| EVEX_Vbroadcastf64x2_ymm_k1z_m128                 | 1a 00 00 00     | P66     | T0F38   |         | ymm_reg             | mem                 |                     |                     |           |               | Mode16, Mode32, Mode64, W, OpMaskRegister, ZeroingMasking
| EVEX_Vbroadcastf64x2_zmm_k1z_m128                 | 1a 00 00 00     | P66     | T0F38   |         | zmm_reg             | mem                 |                     |                     |           |               | Mode16, Mode32, Mode64, W, OpMaskRegister, ZeroingMasking
| EVEX_Vbroadcastf32x8_zmm_k1z_m256                 | 1b 00 00 00     | P66     | T0F38   |         | zmm_reg             | mem                 |                     |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister, ZeroingMasking
| EVEX_Vbroadcastf64x4_zmm_k1z_m256                 | 1b 00 00 00     | P66     | T0F38   |         | zmm_reg             | mem                 |                     |                     |           |               | Mode16, Mode32, Mode64, W, OpMaskRegister, ZeroingMasking
| Pabsb_mm_mmm64                                    | 1c 00 00 00     | PNP     | T0F38   |         | mm_reg              | mm_or_mem           |                     |                     |           |               | Mode16, Mode32, Mode64
| Pabsb_xmm_xmmm128                                 | 1c 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| VEX_Vpabsb_xmm_xmmm128                            | 1c 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG
| VEX_Vpabsb_ymm_ymmm256                            | 1c 00 00 00     | P66     | T0F38   |         | ymm_reg             | ymm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG
| EVEX_Vpabsb_xmm_k1z_xmmm128                       | 1c 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| EVEX_Vpabsb_ymm_k1z_ymmm256                       | 1c 00 00 00     | P66     | T0F38   |         | ymm_reg             | ymm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| EVEX_Vpabsb_zmm_k1z_zmmm512                       | 1c 00 00 00     | P66     | T0F38   |         | zmm_reg             | zmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| Pabsw_mm_mmm64                                    | 1d 00 00 00     | PNP     | T0F38   |         | mm_reg              | mm_or_mem           |                     |                     |           |               | Mode16, Mode32, Mode64
| Pabsw_xmm_xmmm128                                 | 1d 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| VEX_Vpabsw_xmm_xmmm128                            | 1d 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG
| VEX_Vpabsw_ymm_ymmm256                            | 1d 00 00 00     | P66     | T0F38   |         | ymm_reg             | ymm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG
| EVEX_Vpabsw_xmm_k1z_xmmm128                       | 1d 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| EVEX_Vpabsw_ymm_k1z_ymmm256                       | 1d 00 00 00     | P66     | T0F38   |         | ymm_reg             | ymm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| EVEX_Vpabsw_zmm_k1z_zmmm512                       | 1d 00 00 00     | P66     | T0F38   |         | zmm_reg             | zmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| Pabsd_mm_mmm64                                    | 1e 00 00 00     | PNP     | T0F38   |         | mm_reg              | mm_or_mem           |                     |                     |           |               | Mode16, Mode32, Mode64
| Pabsd_xmm_xmmm128                                 | 1e 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| VEX_Vpabsd_xmm_xmmm128                            | 1e 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG
| VEX_Vpabsd_ymm_ymmm256                            | 1e 00 00 00     | P66     | T0F38   |         | ymm_reg             | ymm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG
| EVEX_Vpabsd_xmm_k1z_xmmm128b32                    | 1e 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, Broadcast, OpMaskRegister, ZeroingMasking
| EVEX_Vpabsd_ymm_k1z_ymmm256b32                    | 1e 00 00 00     | P66     | T0F38   |         | ymm_reg             | ymm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, Broadcast, OpMaskRegister, ZeroingMasking
| EVEX_Vpabsd_zmm_k1z_zmmm512b32                    | 1e 00 00 00     | P66     | T0F38   |         | zmm_reg             | zmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, Broadcast, OpMaskRegister, ZeroingMasking
| EVEX_Vpabsq_xmm_k1z_xmmm128b64                    | 1f 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, OpMaskRegister, ZeroingMasking
| EVEX_Vpabsq_ymm_k1z_ymmm256b64                    | 1f 00 00 00     | P66     | T0F38   |         | ymm_reg             | ymm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, OpMaskRegister, ZeroingMasking
| EVEX_Vpabsq_zmm_k1z_zmmm512b64                    | 1f 00 00 00     | P66     | T0F38   |         | zmm_reg             | zmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, OpMaskRegister, ZeroingMasking
| Pmovsxbw_xmm_xmmm64                               | 20 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| VEX_Vpmovsxbw_xmm_xmmm64                          | 20 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG
| VEX_Vpmovsxbw_ymm_xmmm128                         | 20 00 00 00     | P66     | T0F38   |         | ymm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG
| EVEX_Vpmovsxbw_xmm_k1z_xmmm64                     | 20 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| EVEX_Vpmovsxbw_ymm_k1z_xmmm128                    | 20 00 00 00     | P66     | T0F38   |         | ymm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| EVEX_Vpmovsxbw_zmm_k1z_ymmm256                    | 20 00 00 00     | P66     | T0F38   |         | zmm_reg             | ymm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| EVEX_Vpmovswb_xmmm64_k1z_xmm                      | 20 00 00 00     | PF3     | T0F38   |         | xmm_or_mem          | xmm_reg             |                     |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister, ZeroingMasking
| EVEX_Vpmovswb_xmmm128_k1z_ymm                     | 20 00 00 00     | PF3     | T0F38   |         | xmm_or_mem          | ymm_reg             |                     |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister, ZeroingMasking
| EVEX_Vpmovswb_ymmm256_k1z_zmm                     | 20 00 00 00     | PF3     | T0F38   |         | ymm_or_mem          | zmm_reg             |                     |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister, ZeroingMasking
| Pmovsxbd_xmm_xmmm32                               | 21 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| VEX_Vpmovsxbd_xmm_xmmm32                          | 21 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG
| VEX_Vpmovsxbd_ymm_xmmm64                          | 21 00 00 00     | P66     | T0F38   |         | ymm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG
| EVEX_Vpmovsxbd_xmm_k1z_xmmm32                     | 21 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| EVEX_Vpmovsxbd_ymm_k1z_xmmm64                     | 21 00 00 00     | P66     | T0F38   |         | ymm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| EVEX_Vpmovsxbd_zmm_k1z_xmmm128                    | 21 00 00 00     | P66     | T0F38   |         | zmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| EVEX_Vpmovsdb_xmmm32_k1z_xmm                      | 21 00 00 00     | PF3     | T0F38   |         | xmm_or_mem          | xmm_reg             |                     |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister, ZeroingMasking
| EVEX_Vpmovsdb_xmmm64_k1z_ymm                      | 21 00 00 00     | PF3     | T0F38   |         | xmm_or_mem          | ymm_reg             |                     |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister, ZeroingMasking
| EVEX_Vpmovsdb_xmmm128_k1z_zmm                     | 21 00 00 00     | PF3     | T0F38   |         | xmm_or_mem          | zmm_reg             |                     |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister, ZeroingMasking
| Pmovsxbq_xmm_xmmm16                               | 22 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| VEX_Vpmovsxbq_xmm_xmmm16                          | 22 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG
| VEX_Vpmovsxbq_ymm_xmmm32                          | 22 00 00 00     | P66     | T0F38   |         | ymm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG
| EVEX_Vpmovsxbq_xmm_k1z_xmmm16                     | 22 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| EVEX_Vpmovsxbq_ymm_k1z_xmmm32                     | 22 00 00 00     | P66     | T0F38   |         | ymm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| EVEX_Vpmovsxbq_zmm_k1z_xmmm64                     | 22 00 00 00     | P66     | T0F38   |         | zmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| EVEX_Vpmovsqb_xmmm16_k1z_xmm                      | 22 00 00 00     | PF3     | T0F38   |         | xmm_or_mem          | xmm_reg             |                     |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister, ZeroingMasking
| EVEX_Vpmovsqb_xmmm32_k1z_ymm                      | 22 00 00 00     | PF3     | T0F38   |         | xmm_or_mem          | ymm_reg             |                     |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister, ZeroingMasking
| EVEX_Vpmovsqb_xmmm64_k1z_zmm                      | 22 00 00 00     | PF3     | T0F38   |         | xmm_or_mem          | zmm_reg             |                     |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister, ZeroingMasking
| Pmovsxwd_xmm_xmmm64                               | 23 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| VEX_Vpmovsxwd_xmm_xmmm64                          | 23 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG
| VEX_Vpmovsxwd_ymm_xmmm128                         | 23 00 00 00     | P66     | T0F38   |         | ymm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG
| EVEX_Vpmovsxwd_xmm_k1z_xmmm64                     | 23 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| EVEX_Vpmovsxwd_ymm_k1z_xmmm128                    | 23 00 00 00     | P66     | T0F38   |         | ymm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| EVEX_Vpmovsxwd_zmm_k1z_ymmm256                    | 23 00 00 00     | P66     | T0F38   |         | zmm_reg             | ymm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| EVEX_Vpmovsdw_xmmm64_k1z_xmm                      | 23 00 00 00     | PF3     | T0F38   |         | xmm_or_mem          | xmm_reg             |                     |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister, ZeroingMasking
| EVEX_Vpmovsdw_xmmm128_k1z_ymm                     | 23 00 00 00     | PF3     | T0F38   |         | xmm_or_mem          | ymm_reg             |                     |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister, ZeroingMasking
| EVEX_Vpmovsdw_ymmm256_k1z_zmm                     | 23 00 00 00     | PF3     | T0F38   |         | ymm_or_mem          | zmm_reg             |                     |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister, ZeroingMasking
| Pmovsxwq_xmm_xmmm32                               | 24 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| VEX_Vpmovsxwq_xmm_xmmm32                          | 24 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG
| VEX_Vpmovsxwq_ymm_xmmm64                          | 24 00 00 00     | P66     | T0F38   |         | ymm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG
| EVEX_Vpmovsxwq_xmm_k1z_xmmm32                     | 24 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| EVEX_Vpmovsxwq_ymm_k1z_xmmm64                     | 24 00 00 00     | P66     | T0F38   |         | ymm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| EVEX_Vpmovsxwq_zmm_k1z_xmmm128                    | 24 00 00 00     | P66     | T0F38   |         | zmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG, OpMaskRegister, ZeroingMasking
| EVEX_Vpmovsqw_xmmm32_k1z_xmm                      | 24 00 00 00     | PF3     | T0F38   |         | xmm_or_mem          | xmm_reg             |                     |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister, ZeroingMasking
| EVEX_Vpmovsqw_xmmm64_k1z_ymm                      | 24 00 00 00     | PF3     | T0F38   |         | xmm_or_mem          | ymm_reg             |                     |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister, ZeroingMasking
| EVEX_Vpmovsqw_xmmm128_k1z_zmm                     | 24 00 00 00     | PF3     | T0F38   |         | xmm_or_mem          | zmm_reg             |                     |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister, ZeroingMasking
| Pmovsxdq_xmm_xmmm64                               | 25 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| VEX_Vpmovsxdq_xmm_xmmm64                          | 25 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG
| VEX_Vpmovsxdq_ymm_xmmm128                         | 25 00 00 00     | P66     | T0F38   |         | ymm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG
| EVEX_Vpmovsxdq_xmm_k1z_xmmm64                     | 25 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister, ZeroingMasking
| EVEX_Vpmovsxdq_ymm_k1z_xmmm128                    | 25 00 00 00     | P66     | T0F38   |         | ymm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister, ZeroingMasking
| EVEX_Vpmovsxdq_zmm_k1z_ymmm256                    | 25 00 00 00     | P66     | T0F38   |         | zmm_reg             | ymm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister, ZeroingMasking
| EVEX_Vpmovsqd_xmmm64_k1z_xmm                      | 25 00 00 00     | PF3     | T0F38   |         | xmm_or_mem          | xmm_reg             |                     |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister, ZeroingMasking
| EVEX_Vpmovsqd_xmmm128_k1z_ymm                     | 25 00 00 00     | PF3     | T0F38   |         | xmm_or_mem          | ymm_reg             |                     |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister, ZeroingMasking
| EVEX_Vpmovsqd_ymmm256_k1z_zmm                     | 25 00 00 00     | PF3     | T0F38   |         | ymm_or_mem          | zmm_reg             |                     |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister, ZeroingMasking
| EVEX_Vptestmb_k_k1_xmm_xmmm128                    | 26 00 00 00     | P66     | T0F38   |         | k_reg               | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister
| EVEX_Vptestmb_k_k1_ymm_ymmm256                    | 26 00 00 00     | P66     | T0F38   |         | k_reg               | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister
| EVEX_Vptestmb_k_k1_zmm_zmmm512                    | 26 00 00 00     | P66     | T0F38   |         | k_reg               | zmm_vvvv            | zmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister
| EVEX_Vptestmw_k_k1_xmm_xmmm128                    | 26 00 00 00     | P66     | T0F38   |         | k_reg               | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W, OpMaskRegister
| EVEX_Vptestmw_k_k1_ymm_ymmm256                    | 26 00 00 00     | P66     | T0F38   |         | k_reg               | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W, OpMaskRegister
| EVEX_Vptestmw_k_k1_zmm_zmmm512                    | 26 00 00 00     | P66     | T0F38   |         | k_reg               | zmm_vvvv            | zmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W, OpMaskRegister
| EVEX_Vptestnmb_k_k1_xmm_xmmm128                   | 26 00 00 00     | PF3     | T0F38   |         | k_reg               | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister
| EVEX_Vptestnmb_k_k1_ymm_ymmm256                   | 26 00 00 00     | PF3     | T0F38   |         | k_reg               | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister
| EVEX_Vptestnmb_k_k1_zmm_zmmm512                   | 26 00 00 00     | PF3     | T0F38   |         | k_reg               | zmm_vvvv            | zmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister
| EVEX_Vptestnmw_k_k1_xmm_xmmm128                   | 26 00 00 00     | PF3     | T0F38   |         | k_reg               | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W, OpMaskRegister
| EVEX_Vptestnmw_k_k1_ymm_ymmm256                   | 26 00 00 00     | PF3     | T0F38   |         | k_reg               | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W, OpMaskRegister
| EVEX_Vptestnmw_k_k1_zmm_zmmm512                   | 26 00 00 00     | PF3     | T0F38   |         | k_reg               | zmm_vvvv            | zmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W, OpMaskRegister
| EVEX_Vptestmd_k_k1_xmm_xmmm128b32                 | 27 00 00 00     | P66     | T0F38   |         | k_reg               | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, Broadcast, OpMaskRegister
| EVEX_Vptestmd_k_k1_ymm_ymmm256b32                 | 27 00 00 00     | P66     | T0F38   |         | k_reg               | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, Broadcast, OpMaskRegister
| EVEX_Vptestmd_k_k1_zmm_zmmm512b32                 | 27 00 00 00     | P66     | T0F38   |         | k_reg               | zmm_vvvv            | zmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, Broadcast, OpMaskRegister
| EVEX_Vptestmq_k_k1_xmm_xmmm128b64                 | 27 00 00 00     | P66     | T0F38   |         | k_reg               | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, OpMaskRegister
| EVEX_Vptestmq_k_k1_ymm_ymmm256b64                 | 27 00 00 00     | P66     | T0F38   |         | k_reg               | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, OpMaskRegister
